reading,start_char,end_char,priority_rank,priority_label,priority_tags
くし,く,し,0,high,ichi1|news1|news2|nf08|nf28
ふわふわ,ふ,わ,0,high,ichi1|spec1
ああいう,あ,う,0,high,spec1
とうりやく,と,く,0,high,news1|nf17
たいいん,た,ん,0,high,ichi1|news1|nf04|nf12
ばすく,ば,く,0,high,gai1
せんえん,せ,ん,0,high,spec1
やくす,や,す,0,high,ichi1|news2|nf32
ぱわあ,ぱ,あ,0,high,gai1
こくもつ,こ,つ,0,high,ichi1|news1|nf11
じようえい,じ,い,0,high,ichi1|news1|nf07
うりだし,う,し,0,high,news1|nf17
はらいこむ,は,む,0,high,ichi1|news2|nf41
しよお,し,お,0,high,gai1
はんじ,は,じ,0,high,ichi1|news1|nf06
ひんじ,ひ,じ,0,high,gai1
さあばあ,さ,あ,0,high,gai1
さんせき,さ,き,0,high,ichi1|news2|nf25
でんき,で,き,0,high,ichi1|news1|nf02|nf05|nf12|nf14
ふてい,ふ,い,0,high,news1|nf12
ちしまれつとう,ち,う,0,high,news1|nf24
ぽかぽか,ぽ,か,0,high,ichi1
きはい,き,い,0,high,ichi1|news1|nf06
にかけて,に,て,0,high,spec1
わんぴいす,わ,す,0,high,gai1|ichi1
きゆうてい,き,い,0,high,news1|nf19
せいしようねん,せ,ん,0,high,news1|nf07
のびる,の,る,0,high,ichi1|news2|nf26
かんしんじ,か,じ,0,high,news1|nf13
きにち,き,ち,0,high,ichi1|news1|nf09
ああちえりい,あ,い,0,high,gai1
のうど,の,ど,0,high,news1|nf07
ごと,ご,と,0,high,ichi1
かくかぞく,か,く,0,high,news1|nf17
ふともも,ふ,も,0,high,spec1
なんびよう,な,う,0,high,news1|nf12
そくじ,そ,じ,0,high,news1|nf06
ふおすたあちやいるど,ふ,ど,0,high,gai1
うえすと,う,と,0,high,gai1|ichi1
みじゆく,み,く,0,high,ichi1|news1|nf18
しいずにんぐ,し,ぐ,0,high,gai1
さいしき,さ,き,0,high,news1|nf23
どきよう,ど,う,0,high,news1|nf18
またせる,ま,る,0,high,news1|nf18
ひつどく,ひ,く,0,high,ichi1
もたれる,も,る,0,high,ichi1
せけん,せ,ん,0,high,ichi1|news1|nf06
きもちよい,き,い,0,high,spec1|spec2
てく,て,く,0,high,gai1
おつかれさま,お,ま,0,high,spec1
きようわせい,き,い,0,high,news1|nf21
あまえ,あ,え,0,high,news1|nf19
おふさいど,お,ど,0,high,gai1
むしよく,む,く,0,high,ichi1|news1|news2|nf04|nf32
まなぶ,ま,ぶ,0,high,ichi1|news2|nf25
しんきよく,し,く,0,high,news1|nf18
まとも,ま,も,0,high,ichi2|spec1
どなりこむ,ど,む,0,high,news1|nf23
ぎつしり,ぎ,り,0,high,ichi1
すべて,す,て,0,high,ichi1
そこいれ,そ,れ,0,high,news1|nf13
だいかん,だ,ん,0,high,news1|nf24
ぐんぶ,ぐ,ぶ,0,high,news1|nf05|nf21
かいおうせい,か,い,0,high,spec1
ああち,あ,ち,0,high,gai1
ひんしゆ,ひ,ゆ,0,high,ichi1|news1|nf08
おしもんどう,お,う,0,high,ichi1|news2|nf40
うどん,う,ん,0,high,ichi1
こころよい,こ,い,0,high,ichi1|news1|nf22
なさけ,な,け,0,high,ichi1|news2|nf32
よわむし,よ,し,0,high,ichi1|news2|nf47
にくたい,に,い,0,high,ichi1|news1|nf11
すぐ,す,ぐ,0,high,ichi1
ないか,な,か,0,high,ichi1|news1|nf11
のうどう,の,う,0,high,news1|nf24
かけひき,か,き,0,high,news1|nf09
じようちよ,じ,よ,0,high,ichi1|news1|nf14
ろけつとだん,ろ,ん,0,high,spec1
さくげん,さ,ん,0,high,ichi1|news1|nf01
そんがいほけん,そ,ん,0,high,news1|nf13
しま,し,ま,0,high,ichi1|news1|news2|nf02|nf32
そうそう,そ,う,0,high,news1|nf06|nf17
しようひんけん,し,ん,0,high,news1|nf20
だいやく,だ,く,0,high,news1|nf21
かくど,か,ど,0,high,ichi1|news1|nf09
にんにく,に,く,0,high,spec1
へいさ,へ,さ,0,high,ichi1|news1|nf05
ひつぜんてき,ひ,き,0,high,ichi1|news1|nf17
さいがい,さ,い,0,high,ichi1|news1|nf03
じえねれえしよん,じ,ん,0,high,gai1
のたんびに,の,に,0,high,spec1
あつためる,あ,る,0,high,ichi1
ちゆうぶる,ち,る,0,high,ichi1|news1|nf11
ぎようざ,ぎ,ざ,0,high,ichi1|news2|nf45
げんしよく,げ,く,0,high,news1|nf03
きようちよう,き,う,0,high,ichi1|news1|news2|nf03|nf26
つるぎ,つ,ぎ,0,high,news1|nf10
ちゆうかく,ち,く,0,high,ichi1|news1|nf06
おおがね,お,ね,0,high,ichi1|news1|nf14
よういく,よ,く,0,high,news1|nf18
うわぎ,う,ぎ,0,high,ichi1|news1|nf17
きゆうし,き,し,0,high,news1|nf19|nf23
じゆうじつ,じ,つ,0,high,ichi1|news1|nf04
きやびん,き,ん,0,high,gai1
ばつぽんてき,ば,き,0,high,news1|nf05
さんぼん,さ,ん,0,high,news1|nf12
けんき,け,き,0,high,news1|nf15
ろくが,ろ,が,0,high,ichi1|news1|nf12
ぜんきよく,ぜ,く,0,high,news1|nf21
たんしよ,た,よ,0,high,ichi1|news1|news2|nf22|nf27
きしやかいけん,き,ん,0,high,spec1
めんじよ,め,よ,0,high,news1|nf13
りようごく,り,く,0,high,news1|nf01
ざんそん,ざ,ん,0,high,news1|nf24
だつさんしん,だ,ん,0,high,news1|nf12
どじ,ど,じ,0,high,ichi1|news1|nf01
めりい,め,い,0,high,gai1
ほんるい,ほ,い,0,high,news1|nf14
さむさ,さ,さ,0,high,ichi1|news1|nf10
ねどこ,ね,こ,0,high,ichi1|news2|nf32
しかく,し,く,0,high,ichi1|news1|news2|nf03|nf09|nf31
ひかくてき,ひ,き,0,high,ichi1|news2|nf38
こんちよう,こ,う,0,high,ichi1|news1|nf19
はんが,は,が,0,high,ichi1|news1|nf11
しよしんしや,し,や,0,high,news1|nf13
いちりつ,い,つ,0,high,ichi1|news1|nf04|nf07
のなか,の,か,0,high,news1|nf14
のうしゆく,の,く,0,high,ichi1|news1|nf12
ちゆうとん,ち,ん,0,high,news1|nf13
えいきよう,え,う,0,high,ichi1|news1|nf01
しよたいめん,し,ん,0,high,news1|nf21
ぽりいぷ,ぽ,ぷ,0,high,gai1
ちよつかつ,ち,つ,0,high,news1|nf16
れりいふ,れ,ふ,0,high,gai1
ふろん,ふ,ん,0,high,gai1
のいろおぜ,の,ぜ,0,high,gai1|ichi1
のうりん,の,ん,0,high,ichi1|news1|nf07
おそれる,お,る,0,high,ichi1|news1|nf15
しゆうねん,し,ん,0,high,ichi1|news1|nf02|nf11
こうせいせき,こ,き,0,high,news1|nf17
そなえつける,そ,る,0,high,ichi1
さしつかえる,さ,る,0,high,ichi1|news2|nf35
そば,そ,ば,0,high,ichi1|news1|news2|nf03|nf43
すらすら,す,ら,0,high,ichi1|spec1
めいろ,め,ろ,0,high,ichi1|news1|nf23
くにつち,く,ち,0,high,ichi1|news1|nf06
ぎよせん,ぎ,ん,0,high,ichi1|news1|nf06
じゆんちよう,じ,う,0,high,ichi1|news1|nf04
ただいま,た,ま,0,high,ichi1
ふしぜん,ふ,ん,0,high,ichi1|news1|nf11
むさく,む,く,0,high,news1|nf21
かいはつぶ,か,ぶ,0,high,news1|nf18
りぽおと,り,と,0,high,gai1|ichi1
きやんぱす,き,す,0,high,gai1|ichi1
ねんがく,ね,く,0,high,news1|nf22
うてん,う,ん,0,high,ichi1|news1|nf22
とうほく,と,く,0,high,news1|nf02
かかり,か,り,0,high,ichi1|news1|nf10
ということは,と,は,0,high,spec1
ちゆうげん,ち,ん,0,high,news1|nf06|nf14
ゆらい,ゆ,い,0,high,ichi1|news1|nf15
わがいえ,わ,え,0,high,ichi1|news1|nf12
るり,る,り,0,high,news2|nf36|spec1
うすい,う,い,0,high,ichi1|news1|nf14|nf20
さかだち,さ,ち,0,high,ichi1|news2|nf43
くれえたあ,く,あ,0,high,gai1
かんかつ,か,つ,0,high,ichi1|news1|nf12
えつじ,え,じ,0,high,gai1
じゆんぎよう,じ,う,0,high,news1|nf16
まこころ,ま,ろ,0,high,ichi1|news2|nf32
ぱあとたいまあ,ぱ,あ,0,high,gai1
とういん,と,ん,0,high,news1|nf06
いんし,い,し,0,high,ichi1|news1|nf16|nf19
ひいた,ひ,た,0,high,gai1
ふれあう,ふ,う,0,high,ichi1|news2|nf43
にげ,に,げ,0,high,news1|nf17
あきびと,あ,と,0,high,ichi1|news1|nf13
うんよう,う,う,0,high,ichi1|news1|nf03
したてる,し,る,0,high,ichi1|news2|nf46
しゆつぱんしや,し,や,0,high,ichi1|news1|nf05
いしがけ,い,け,0,high,news1|nf13
ぶらんこ,ぶ,こ,0,high,ichi1|spec1
しようすう,し,う,0,high,ichi1|news1|nf03
すとれえと,す,と,0,high,gai1
せいご,せ,ご,0,high,news1|nf11
おもで,お,で,0,high,ichi1|news1|nf07
ねびえ,ね,え,0,high,ichi1
うりあげだか,う,か,0,high,news1|nf04
せんにん,せ,ん,0,high,news1|nf14|nf18
おもう,お,う,0,high,ichi1|news1|nf02
かねあい,か,い,0,high,news1|nf23
りつかい,り,い,0,high,news1|nf19
かいちよう,か,う,0,high,ichi1|news1|nf01|nf19
しゆん,し,ん,0,high,spec1
はこび,は,び,0,high,news1|nf08
