reading,start_char,end_char,priority_rank,priority_label,priority_tags
とうぎ,と,ぎ,0,high,ichi1|news1|nf06
ありあ,あ,あ,0,high,gai1
あつぶねえ,あ,え,0,high,ichi1|news2|nf39
ぷりてい,ぷ,い,0,high,gai1
かりしよぶん,か,ん,0,high,news1|nf15
らうどすぴいかあ,ら,あ,0,high,gai1
うつたえ,う,え,0,high,ichi1|news1|nf05
のし,の,し,0,high,news1|nf05
ぜんでら,ぜ,ら,0,high,news1|nf22
みんぞく,み,く,0,high,ichi1|news1|nf01
ゆうかり,ゆ,り,0,high,gai1
いつぽ,い,ぽ,0,high,news1|nf05
あくていびてい,あ,い,0,high,gai1
あみのさん,あ,ん,0,high,spec1
きりくち,き,ち,0,high,news1|nf20
やすつぽい,や,い,0,high,ichi1
りようがわ,り,わ,0,high,ichi1|news1|nf14
まなこ,ま,こ,0,high,ichi1
ようしよ,よ,よ,0,high,ichi1|news1|news2|nf15|nf36
めもりある,め,る,0,high,gai1
ぼくじよう,ぼ,う,0,high,ichi1|news1|nf11
ひようさつ,ひ,つ,0,high,ichi1|news2|nf37
さんぶさく,さ,く,0,high,news1|nf22
ふうかく,ふ,く,0,high,news1|nf18
ほんやく,ほ,く,0,high,ichi1|news1|nf06
しぼう,し,う,0,high,ichi1|news1|nf04|nf10
あれ,あ,れ,0,high,ichi1|news1|nf14|nf21
らつく,ら,く,0,high,gai1
せずに,せ,に,0,high,spec1
ほうりつじむしよ,ほ,よ,0,high,news1|nf20
しゆつしよう,し,う,0,high,ichi1|news1|nf06
りもこん,り,ん,0,high,gai1|ichi1
おすかあ,お,あ,0,high,gai1
とりいれる,と,る,0,high,ichi1
あした,あ,た,0,high,ichi1|news1|nf05
みせす,み,す,0,high,gai1|ichi1
てれつくす,て,す,0,high,gai1
しきさい,し,い,0,high,ichi1|news1|nf06
ひようじゆん,ひ,ん,0,high,ichi1|news1|nf04
りせ,り,せ,0,high,gai1
かんぞう,か,う,0,high,ichi1|news1|nf06
しようすう,し,う,0,high,ichi1|news1|nf03
けいぞくてき,け,き,0,high,news1|nf14
さんるうふ,さ,ふ,0,high,gai1
たんいつ,た,つ,0,high,ichi1|news1|nf10
けつする,け,る,0,high,news1|nf16
あんかあ,あ,あ,0,high,gai1
じやぐち,じ,ち,0,high,ichi1|news1|nf24
であし,で,し,0,high,news1|nf12
あずかりじよ,あ,よ,0,high,ichi1
ぼうし,ぼ,し,0,high,ichi1|news1|nf02|nf09
おせわになる,お,る,0,high,spec1
のおぶる,の,る,0,high,gai1
ひまらや,ひ,や,0,high,gai1
じよこう,じ,う,0,high,ichi1|news2|nf30
こくみんけんこうほけん,こ,ん,0,high,news1|nf21
なち,な,ち,0,high,gai1
じはあど,じ,ど,0,high,gai1
ぴらにあ,ぴ,あ,0,high,gai1
いちはやく,い,く,0,high,spec1
しようへき,し,き,0,high,news1|nf10
うず,う,ず,0,high,news1|nf16
そこねる,そ,る,0,high,ichi1|news2|nf45
うつわもの,う,の,0,high,news1|nf23
かえつて,か,て,0,high,ichi1
くりすたる,く,る,0,high,gai1
やすくにじんじや,や,や,0,high,spec1
にゆうしよく,に,く,0,high,news1|nf08
ようつう,よ,う,0,high,news1|nf11
かなぐ,か,ぐ,0,high,news1|nf22
つかねる,つ,る,0,high,ichi1|news2|nf40
でりいと,で,と,0,high,gai1
おおばあらん,お,ん,0,high,gai1
ぱすわあど,ぱ,ど,0,high,gai1
こうせいぶつしつ,こ,つ,0,high,news1|nf13
ちあがある,ち,る,0,high,gai1
くろじ,く,じ,0,high,ichi1|news1|nf02
めいよ,め,よ,0,high,ichi1|news1|nf02
わつぺん,わ,ん,0,high,gai1
きめら,き,ら,0,high,gai1
せんべい,せ,い,0,high,ichi1
はつゆめ,は,め,0,high,ichi1|news2|nf46
きりすて,き,て,0,high,news1|nf20
いくど,い,ど,0,high,ichi1
しよくどう,し,う,0,high,ichi1|news1|nf08|nf16
うりもの,う,の,0,high,ichi1|news1|nf08
えいかいわ,え,わ,0,high,spec1
ほおむしつく,ほ,く,0,high,gai1
えんき,え,き,0,high,ichi1|news1|nf06|nf23
しゆつちよう,し,う,0,high,ichi1|news1|nf07
けんぶつにん,け,ん,0,high,ichi1|news2|nf30
こうせいしよう,こ,う,0,high,news1|nf02
きんだいてき,き,き,0,high,news1|nf18
ようじん,よ,ん,0,high,ichi1|news1|news2|nf09|nf28
ほちよう,ほ,う,0,high,ichi1|news1|nf09
いざない,い,い,0,high,news1|nf14
ひあたり,ひ,り,0,high,ichi1|news2|nf25
どうこう,ど,う,0,high,ichi1|news1|nf03|nf05|nf08|nf22
たちまち,た,ち,0,high,ichi1
えんせい,え,い,0,high,news1|nf10
ごがん,ご,ん,0,high,news1|nf19
だんてい,だ,い,0,high,ichi1|news1|nf22
ぽけつとさいず,ぽ,ず,0,high,gai1
おとな,お,な,0,high,ichi1|news1|nf03
ゆうじよう,ゆ,う,0,high,ichi1|news1|nf10
いしむろ,い,ろ,0,high,news1|nf23
ろむ,ろ,む,0,high,gai1
ごこく,ご,く,0,high,news1|nf15
んです,ん,す,0,high,spec1
かこい,か,い,0,high,ichi1|news1|nf22
しようじん,し,ん,0,high,ichi1|news1|nf07
くにくのさく,く,く,0,high,news1|nf19
えすてさろん,え,ん,0,high,spec1
ちようこく,ち,く,0,high,ichi1|news1|nf06
だぶだぶ,だ,ぶ,0,high,ichi1
ねんいり,ね,り,0,high,ichi1|news2|nf28
れふえりい,れ,い,0,high,gai1
じやのめ,じ,め,0,high,news1|nf14
こよう,こ,う,0,high,ichi1|news1|nf02
おせつかい,お,い,0,high,ichi1
によしよう,に,う,0,high,ichi1|news1|nf01
しえりい,し,い,0,high,gai1
ゆうじ,ゆ,じ,0,high,news1|nf14
れつとうかん,れ,ん,0,high,ichi1|news2|nf33
きようどうたい,き,い,0,high,news1|nf02
のべる,の,る,0,high,ichi1|news2|nf46
さるうん,さ,ん,0,high,gai1
ぼおるど,ぼ,ど,0,high,gai1
こんとらすと,こ,と,0,high,gai1
くちぐせ,く,せ,0,high,ichi1|news1|nf20
すいさんぶつ,す,つ,0,high,news1|nf19
こつく,こ,く,0,high,gai1|ichi1
ひろい,ひ,い,0,high,ichi1|news1|nf04
すとろんちうむ,す,む,0,high,gai1
せんれい,せ,い,0,high,ichi1|news1|nf18
こがらし,こ,し,0,high,ichi1|news2|nf37
おかしや,お,や,0,high,spec1
おしぼり,お,り,0,high,ichi1
とうは,と,は,0,high,news1|nf08
じんみやく,じ,く,0,high,news1|nf10
らすとすぱあと,ら,と,0,high,gai1
へんちよう,へ,う,0,high,news1|nf14
にもの,に,の,0,high,news1|nf21
よつつ,よ,つ,0,high,ichi1|news1|nf06
さとおや,さ,や,0,high,news1|nf21
おろしうりしじよう,お,う,0,high,news1|nf22
ざいしつ,ざ,つ,0,high,news1|nf17
びちく,び,く,0,high,news1|nf09
くぼみ,く,み,0,high,ichi1|spec1
くみちよう,く,う,0,high,news1|nf08
ふつとう,ふ,う,0,high,ichi1|news1|nf18
みたす,み,す,0,high,ichi1|news1|nf11
かもく,か,く,0,high,ichi1|news1|nf09
ぱきすたん,ぱ,ん,0,high,gai1
やくそく,や,く,0,high,ichi1|news1|nf05
はちがつ,は,つ,0,high,news1|nf01|spec1
くない,く,い,0,high,news1|nf04
はんさむ,は,む,0,high,gai1|ichi1
りしよく,り,く,0,high,news1|nf23
かかりいん,か,ん,0,high,news1|nf16
つばくろ,つ,ろ,0,high,ichi1|news1|nf21
ふおつくすとろつと,ふ,と,0,high,gai1
ろつくううる,ろ,る,0,high,gai1
にんどう,に,う,0,high,news1|nf06
つぽい,つ,い,0,high,spec1
へんけん,へ,ん,0,high,ichi1|news1|nf10
げえむせんたあ,げ,あ,0,high,gai1
うえぶぺえじ,う,じ,0,high,spec1
ほほえむ,ほ,む,0,high,ichi1
ていさい,て,い,0,high,ichi1|news1|nf21
だつかい,だ,い,0,high,news1|nf15
