reading,start_char,end_char,priority_rank,priority_label,priority_tags
ぼお,ぼ,お,0,high,gai1
にぐん,に,ん,0,high,news1|nf15
やまやま,や,ま,0,high,news1|nf19
のうし,の,し,0,high,ichi1|news1|nf03
みさ,み,さ,0,high,gai1
どうにもならない,ど,い,0,high,spec1
こつかこうむいん,こ,ん,0,high,news1|nf10
ばとんたつち,ば,ち,0,high,gai1
ぼおるぺん,ぼ,ん,0,high,gai1|ichi1
きふく,き,く,0,high,news1|nf20
いぞく,い,く,0,high,news1|nf03
つまさき,つ,き,0,high,ichi2|spec1
でらつくす,で,す,0,high,gai1
でんおん,で,ん,0,high,ichi1|news1|nf11
すてんれす,す,す,0,high,gai1
いえろお,い,お,0,high,gai1
びいふ,び,ふ,0,high,gai1
てんかぶつ,て,つ,0,high,news1|nf21
はで,は,で,0,high,ichi1|news1|nf08
さんぶさく,さ,く,0,high,news1|nf22
なぜか,な,か,0,high,ichi1
いふく,い,く,0,high,ichi1|news1|nf13
にげる,に,る,0,high,ichi1|news1|nf15
ごこく,ご,く,0,high,news1|nf15
ちちくび,ち,び,0,high,news2|nf42|spec1
ぐらんす,ぐ,す,0,high,gai1
てんぽらりい,て,い,0,high,gai1
うんどうば,う,ば,0,high,ichi1|news2|nf26
くらす,く,す,0,high,gai1|ichi1|news2|nf39
りくろ,り,ろ,0,high,news1|nf18
ひきあい,ひ,い,0,high,news1|nf15
こおど,こ,ど,0,high,gai1|ichi1
かんしよう,か,う,0,high,ichi1|news1|nf09|nf12|nf19|nf24
めべり,め,り,0,high,news1|nf18
こくべつ,こ,つ,0,high,news1|nf01
ふかい,ふ,い,0,high,ichi1|news1|nf17|nf23
にじゆうろくにち,に,ち,0,high,spec1
まにあ,ま,あ,0,high,gai1
とくさく,と,く,0,high,news1|nf15
まど,ま,ど,0,high,ichi1|news1|nf04
ひといき,ひ,き,0,high,news2|nf25|spec1
あかしんごう,あ,う,0,high,news1|nf18
きようつうご,き,ご,0,high,ichi1|news2|nf30
そしきてき,そ,き,0,high,news1|nf11
とくだん,と,ん,0,high,news1|nf23
へいさつ,へ,つ,0,high,news1|nf09
ようき,よ,き,0,high,ichi1|news1|nf07|nf21
りようぐん,り,ん,0,high,news1|nf18
ぶるうばあど,ぶ,ど,0,high,gai1
ひめい,ひ,い,0,high,ichi1|news1|nf11
ぶうつ,ぶ,つ,0,high,gai1
ここちいい,こ,い,0,high,spec1
しゆうせき,し,き,0,high,news1|nf11
よりみち,よ,ち,0,high,ichi1|news2|nf47
ていしよく,て,く,0,high,ichi1|news1|nf14|nf22
ないぞう,な,う,0,high,ichi1|news1|nf13|nf15
しゆんそく,し,く,0,high,news1|nf18
こうしゆうえいせい,こ,い,0,high,news1|nf19
まぐねつと,ま,と,0,high,gai1
しゆじく,し,く,0,high,news1|nf12
りいと,り,と,0,high,gai1
りくかい,り,い,0,high,news1|nf19
とりかえる,と,る,0,high,ichi1|news2|nf25
りようあし,り,し,0,high,news1|nf15
しさ,し,さ,0,high,ichi1|news1|nf18
しよ,し,よ,0,high,ichi1
まるまる,ま,る,0,high,ichi1|news2|nf38
ばか,ば,か,0,high,ichi1|news2|nf45|spec1
たあぼ,た,ぼ,0,high,gai1
ちようにく,ち,く,0,high,news1|nf23
れいとうしよくひん,れ,ん,0,high,spec1
いたずら,い,ら,0,high,ichi1
はた,は,た,0,high,ichi1|news1|nf04|nf18|spec1
くりおおる,く,る,0,high,gai1
いらつしやいませ,い,せ,0,high,ichi1
きんむじかん,き,ん,0,high,spec1
げつか,げ,か,0,high,news1|nf10
ついて,つ,て,0,high,news1|nf10
かりすま,か,ま,0,high,gai1
とおる,と,る,0,high,gai1|ichi1|news1|nf14
