reading,start_char,end_char,priority_rank,priority_label,priority_tags
りんご,り,ご,3,none,
ごりら,ご,ら,3,none,
らつぱ,ら,ぱ,3,none,
ぱんだ,ぱ,だ,3,none,
だるま,だ,ま,3,none,
まくら,ま,ら,3,none,
らくだ,ら,だ,3,none,
だいこん,だ,ん,3,none,
こま,こ,ま,3,none,
まり,ま,り,3,none,
りす,り,す,3,none,
すいか,す,か,3,none,
からす,か,す,3,none,
すずめ,す,め,3,none,
めだか,め,か,3,none,
かめ,か,め,3,none,
めがね,め,ね,3,none,
ねこ,ね,こ,3,none,
こいぬ,こ,ぬ,3,none,
ぬりえ,ぬ,え,3,none,
えんぴつ,え,つ,3,none,
つくえ,つ,え,3,none,
えがお,え,お,3,none,
おにぎり,お,り,3,none,
りようり,り,り,3,none,
りれき,り,き,3,none,
きつね,き,ね,3,none,
ねずみ,ね,み,3,none,
みかん,み,ん,3,none,
みそ,み,そ,3,none,
そら,そ,ら,3,none,
らいおん,ら,ん,3,none,
おかし,お,し,3,none,
しお,し,お,3,none,
おさら,お,ら,3,none,
らせん,ら,ん,3,none,
せみ,せ,み,3,none,
みず,み,ず,3,none,
ずこう,ず,う,3,none,
うさぎ,う,ぎ,3,none,
ぎんが,ぎ,が,3,none,
がつこう,が,う,3,none,
うみ,う,み,3,none,
みち,み,ち,3,none,
ちず,ち,ず,3,none,
ずぼん,ず,ん,3,none,
ぼうし,ぼ,し,3,none,
しまうま,し,ま,3,none,
ますく,ま,く,3,none,
くるま,く,ま,3,none,
まめ,ま,め,3,none,
めろん,め,ん,3,none,
ろうそく,ろ,く,3,none,
くじら,く,ら,3,none,
らじお,ら,お,3,none,
おんせん,お,ん,3,none,
せんろ,せ,ろ,3,none,
ろけつと,ろ,と,3,none,
とけい,と,い,3,none,
いす,い,す,3,none,
すもう,す,う,3,none,
うどん,う,ん,3,none,
どらやき,ど,き,3,none,
きりん,き,ん,3,none,
