left_agent,right_agent,games,left_wins,right_wins,draws,left_win_rate,right_win_rate
alpha_beta,pvs,6,3,3,0,0.5,0.5
alpha_beta,beam_negamax,6,4,2,0,0.6666666666666666,0.3333333333333333
alpha_beta,graph_control,6,6,0,0,1.0,0.0
alpha_beta,graph_pvs,6,5,1,0,0.8333333333333334,0.16666666666666666
alpha_beta,beam_alpha_beta,6,4,2,0,0.6666666666666666,0.3333333333333333
alpha_beta,beam_pvs,6,4,2,0,0.6666666666666666,0.3333333333333333
pvs,beam_negamax,6,4,2,0,0.6666666666666666,0.3333333333333333
pvs,graph_control,6,6,0,0,1.0,0.0
pvs,graph_pvs,6,6,0,0,1.0,0.0
pvs,beam_alpha_beta,6,4,2,0,0.6666666666666666,0.3333333333333333
pvs,beam_pvs,6,4,2,0,0.6666666666666666,0.3333333333333333
beam_negamax,graph_control,6,6,0,0,1.0,0.0
beam_negamax,graph_pvs,6,6,0,0,1.0,0.0
beam_negamax,beam_alpha_beta,6,3,3,0,0.5,0.5
beam_negamax,beam_pvs,6,3,3,0,0.5,0.5
graph_control,graph_pvs,6,0,6,0,0.0,1.0
graph_control,beam_alpha_beta,6,0,6,0,0.0,1.0
graph_control,beam_pvs,6,0,6,0,0.0,1.0
graph_pvs,beam_alpha_beta,6,0,6,0,0.0,1.0
graph_pvs,beam_pvs,6,1,5,0,0.16666666666666666,0.8333333333333334
beam_alpha_beta,beam_pvs,6,3,3,0,0.5,0.5
