dictionary_seed,agent,games,wins,losses,draws,win_rate
0,alpha_beta,6,2,4,0,0.3333333333333333
0,pvs,6,3,3,0,0.5
0,beam_alpha_beta,6,3,3,0,0.5
0,beam_pvs,6,4,2,0,0.6666666666666666
1,alpha_beta,6,2,4,0,0.3333333333333333
1,pvs,6,1,5,0,0.16666666666666666
1,beam_alpha_beta,6,5,1,0,0.8333333333333334
1,beam_pvs,6,4,2,0,0.6666666666666666
2,alpha_beta,6,3,3,0,0.5
2,pvs,6,3,3,0,0.5
2,beam_alpha_beta,6,3,3,0,0.5
2,beam_pvs,6,3,3,0,0.5
3,alpha_beta,6,6,0,0,1.0
3,pvs,6,4,2,0,0.6666666666666666
3,beam_alpha_beta,6,1,5,0,0.16666666666666666
3,beam_pvs,6,1,5,0,0.16666666666666666
4,alpha_beta,6,2,4,0,0.3333333333333333
4,pvs,6,1,5,0,0.16666666666666666
4,beam_alpha_beta,6,4,2,0,0.6666666666666666
4,beam_pvs,6,5,1,0,0.8333333333333334
5,alpha_beta,6,4,2,0,0.6666666666666666
5,pvs,6,5,1,0,0.8333333333333334
5,beam_alpha_beta,6,2,4,0,0.3333333333333333
5,beam_pvs,6,1,5,0,0.16666666666666666
6,alpha_beta,6,2,4,0,0.3333333333333333
6,pvs,6,4,2,0,0.6666666666666666
6,beam_alpha_beta,6,4,2,0,0.6666666666666666
6,beam_pvs,6,2,4,0,0.3333333333333333
7,alpha_beta,6,2,4,0,0.3333333333333333
7,pvs,6,3,3,0,0.5
7,beam_alpha_beta,6,4,2,0,0.6666666666666666
7,beam_pvs,6,3,3,0,0.5
8,alpha_beta,6,4,2,0,0.6666666666666666
8,pvs,6,4,2,0,0.6666666666666666
8,beam_alpha_beta,6,2,4,0,0.3333333333333333
8,beam_pvs,6,2,4,0,0.3333333333333333
9,alpha_beta,6,5,1,0,0.8333333333333334
9,pvs,6,4,2,0,0.6666666666666666
9,beam_alpha_beta,6,2,4,0,0.3333333333333333
9,beam_pvs,6,1,5,0,0.16666666666666666
