match_id,dict_size,dictionary_seed,repetition,agent,opponent,seat,won,draw,turn_count,mean_time_sec,median_time_sec,p95_time_sec,max_time_sec,timeout_count,invalid_move_count,move_count,nodes_searched,candidate_evaluations
D5000_seed0_random_vs_greedy_rep0,5000,0,0,random,greedy,first,False,False,32,6.662499999999999e-05,6.5000000000000004e-06,0.000962,0.000962,0,0,16,0,0
D5000_seed0_random_vs_greedy_rep0,5000,0,0,greedy,random,second,True,False,32,0.000113,0.0001215,0.000275,0.000275,0,0,16,0,0
D5000_seed0_random_vs_greedy_rep1,5000,0,1,random,greedy,first,False,False,26,9.346153846153848e-05,7e-06,0.001141,0.001141,0,0,13,0,0
D5000_seed0_random_vs_greedy_rep1,5000,0,1,greedy,random,second,True,False,26,0.00010938461538461539,0.000113,0.000191,0.000191,0,0,13,0,0
D5000_seed0_random_vs_greedy_rep2,5000,0,2,random,greedy,first,False,False,22,6.972727272727272e-05,6e-06,0.000691,0.000691,0,0,11,0,0
D5000_seed0_random_vs_greedy_rep2,5000,0,2,greedy,random,second,True,False,22,0.00016809090909090908,0.000148,0.000374,0.000374,0,0,11,0,0
D5000_seed0_random_vs_greedy_rep3,5000,0,3,random,greedy,first,False,False,18,0.00020244444444444444,1.7e-05,0.001704,0.001704,0,0,9,0,0
D5000_seed0_random_vs_greedy_rep3,5000,0,3,greedy,random,second,True,False,18,0.0002956666666666667,0.000323,0.000575,0.000575,0,0,9,0,0
D5000_seed0_random_vs_greedy_rep4,5000,0,4,random,greedy,first,False,False,24,0.00010125,1.8e-05,0.001036,0.001036,0,0,12,0,0
D5000_seed0_random_vs_greedy_rep4,5000,0,4,greedy,random,second,True,False,24,0.00022725000000000002,0.00024400000000000002,0.000321,0.000321,0,0,12,0,0
D5000_seed0_random_vs_monte_carlo_rep0,5000,0,0,random,monte_carlo,first,False,False,152,1.867105263157895e-05,1e-05,1.6e-05,0.000697,0,0,76,0,0
D5000_seed0_random_vs_monte_carlo_rep0,5000,0,0,monte_carlo,random,second,True,False,152,0.28968161842105267,0.3083245,0.420281,0.44316,0,0,76,0,0
D5000_seed0_random_vs_monte_carlo_rep1,5000,0,1,random,monte_carlo,first,False,False,232,1.4870689655172414e-05,9e-06,1.3e-05,0.000712,0,0,116,0,0
D5000_seed0_random_vs_monte_carlo_rep1,5000,0,1,monte_carlo,random,second,True,False,232,0.2636451206896552,0.28679699999999997,0.408542,0.483143,0,0,116,0,0
D5000_seed0_random_vs_monte_carlo_rep2,5000,0,2,random,monte_carlo,first,False,False,278,1.253956834532374e-05,9e-06,1.4e-05,0.000496,0,0,139,0,0
D5000_seed0_random_vs_monte_carlo_rep2,5000,0,2,monte_carlo,random,second,True,False,278,0.251103417266187,0.243538,0.408073,0.478495,0,0,139,0,0
D5000_seed0_random_vs_monte_carlo_rep3,5000,0,3,random,monte_carlo,first,False,False,152,1.5618421052631578e-05,1e-05,1.6e-05,0.000482,0,0,76,0,0
D5000_seed0_random_vs_monte_carlo_rep3,5000,0,3,monte_carlo,random,second,True,False,152,0.28345390789473685,0.30154749999999997,0.433142,0.464086,0,0,76,0,0
D5000_seed0_random_vs_monte_carlo_rep4,5000,0,4,random,monte_carlo,first,False,False,94,1.9999999999999998e-05,1e-05,1.8e-05,0.000488,0,0,47,0,0
D5000_seed0_random_vs_monte_carlo_rep4,5000,0,4,monte_carlo,random,second,True,False,94,0.280697914893617,0.267291,0.485784,0.529664,0,0,47,0,0
D5000_seed0_random_vs_minimax_rep0,5000,0,0,random,minimax,first,False,False,18,5.966666666666666e-05,7e-06,0.000481,0.000481,0,0,9,0,0
D5000_seed0_random_vs_minimax_rep0,5000,0,0,minimax,random,second,True,False,18,0.03302488888888889,0.032969,0.043786,0.043786,0,0,9,4306.0,11909.0
D5000_seed0_random_vs_minimax_rep1,5000,0,1,random,minimax,first,False,False,26,4.276923076923077e-05,5e-06,0.00049,0.00049,0,0,13,0,0
D5000_seed0_random_vs_minimax_rep1,5000,0,1,minimax,random,second,True,False,26,0.03139769230769231,0.033134,0.036837,0.036837,0,0,13,6413.0,17584.0
D5000_seed0_random_vs_minimax_rep2,5000,0,2,random,minimax,first,False,False,32,3.6e-05,6e-06,0.000483,0.000483,0,0,16,0,0
D5000_seed0_random_vs_minimax_rep2,5000,0,2,minimax,random,second,True,False,32,0.0317144375,0.0319775,0.038424,0.038424,0,0,16,8032.0,21817.0
D5000_seed0_random_vs_minimax_rep3,5000,0,3,random,minimax,first,False,False,32,4.6875e-05,1.45e-05,0.000525,0.000525,0,0,16,0,0
D5000_seed0_random_vs_minimax_rep3,5000,0,3,minimax,random,second,True,False,32,0.0384181875,0.0407895,0.045233,0.045233,0,0,16,7995.0,21742.0
D5000_seed0_random_vs_minimax_rep4,5000,0,4,random,minimax,first,False,False,18,7.244444444444445e-05,1.2e-05,0.000559,0.000559,0,0,9,0,0
D5000_seed0_random_vs_minimax_rep4,5000,0,4,minimax,random,second,True,False,18,0.03864388888888889,0.039701,0.046075,0.046075,0,0,9,4466.0,12096.0
D5000_seed0_random_vs_alpha_beta_rep0,5000,0,0,random,alpha_beta,first,False,False,26,5.415384615384615e-05,1.4e-05,0.000522,0.000522,0,0,13,0,0
D5000_seed0_random_vs_alpha_beta_rep0,5000,0,0,alpha_beta,random,second,True,False,26,0.11792323076923077,0.116608,0.304713,0.304713,0,0,13,15750.0,75624.0
D5000_seed0_random_vs_alpha_beta_rep1,5000,0,1,random,alpha_beta,first,False,False,34,5.288235294117647e-05,1.4e-05,0.000678,0.000678,0,0,17,0,0
D5000_seed0_random_vs_alpha_beta_rep1,5000,0,1,alpha_beta,random,second,True,False,34,0.18309776470588238,0.180206,0.383396,0.383396,0,0,17,33696.0,167958.0
D5000_seed0_random_vs_alpha_beta_rep2,5000,0,2,random,alpha_beta,first,False,False,44,3.690909090909091e-05,1.55e-05,2.3e-05,0.000498,0,0,22,0,0
D5000_seed0_random_vs_alpha_beta_rep2,5000,0,2,alpha_beta,random,second,True,False,44,0.22067904545454545,0.217042,0.357291,0.36643,0,0,22,59124.0,261422.0
D5000_seed0_random_vs_alpha_beta_rep3,5000,0,3,random,alpha_beta,first,False,False,20,5.380000000000001e-05,5.5e-06,0.00048,0.00048,0,0,10,0,0
D5000_seed0_random_vs_alpha_beta_rep3,5000,0,3,alpha_beta,random,second,True,False,20,0.059739999999999994,0.037772,0.151892,0.151892,0,0,10,7748.0,40806.0
D5000_seed0_random_vs_alpha_beta_rep4,5000,0,4,random,alpha_beta,first,False,False,20,5.5e-05,6e-06,0.000487,0.000487,0,0,10,0,0
D5000_seed0_random_vs_alpha_beta_rep4,5000,0,4,alpha_beta,random,second,True,False,20,0.0602755,0.062341999999999995,0.166024,0.166024,0,0,10,8787.0,47172.0
D5000_seed0_random_vs_pvs_rep0,5000,0,0,random,pvs,first,False,False,83,2.733333333333333e-05,1.6e-05,2.2e-05,0.000512,0,0,42,0,0
D5000_seed0_random_vs_pvs_rep0,5000,0,0,pvs,random,second,True,False,83,0.24501936585365855,0.233771,0.459325,0.537004,0,0,41,110327.0,571547.0
D5000_seed0_random_vs_pvs_rep1,5000,0,1,random,pvs,first,False,False,18,6.522222222222221e-05,1e-05,0.00052,0.00052,0,0,9,0,0
D5000_seed0_random_vs_pvs_rep1,5000,0,1,pvs,random,second,True,False,18,0.089211,0.085749,0.192686,0.192686,0,0,9,10688.0,54951.0
D5000_seed0_random_vs_pvs_rep2,5000,0,2,random,pvs,first,False,False,18,6.877777777777778e-05,1.1e-05,0.000527,0.000527,0,0,9,0,0
D5000_seed0_random_vs_pvs_rep2,5000,0,2,pvs,random,second,True,False,18,0.058244555555555556,0.053491,0.139815,0.139815,0,0,9,6901.0,39175.0
D5000_seed0_random_vs_pvs_rep3,5000,0,3,random,pvs,first,False,False,38,4.0473684210526313e-05,1.4e-05,0.000511,0.000511,0,0,19,0,0
D5000_seed0_random_vs_pvs_rep3,5000,0,3,pvs,random,second,True,False,38,0.14187310526315788,0.109034,0.44828,0.44828,0,0,19,27051.0,142054.0
D5000_seed0_random_vs_pvs_rep4,5000,0,4,random,pvs,first,False,False,18,7.377777777777778e-05,1.3e-05,0.000552,0.000552,0,0,9,0,0
D5000_seed0_random_vs_pvs_rep4,5000,0,4,pvs,random,second,True,False,18,0.0837288888888889,0.050966,0.245062,0.245062,0,0,9,7618.0,45386.0
D5000_seed0_random_vs_beam_negamax_rep0,5000,0,0,random,beam_negamax,first,False,False,58,3.617241379310345e-05,1.8e-05,2.8e-05,0.000553,0,0,29,0,0
D5000_seed0_random_vs_beam_negamax_rep0,5000,0,0,beam_negamax,random,second,True,False,58,0.09734165517241379,0.099025,0.108923,0.10999,0,0,29,38986.0,261486.0
D5000_seed0_random_vs_beam_negamax_rep1,5000,0,1,random,beam_negamax,first,False,False,68,4.726470588235294e-05,1.6e-05,2.7e-05,0.001115,0,0,34,0,0
D5000_seed0_random_vs_beam_negamax_rep1,5000,0,1,beam_negamax,random,second,True,False,68,0.1038780588235294,0.1077755,0.120892,0.130235,0,0,34,44070.0,298887.0
D5000_seed0_random_vs_beam_negamax_rep2,5000,0,2,random,beam_negamax,first,False,False,20,5.5400000000000005e-05,8.5e-06,0.000484,0.000484,0,0,10,0,0
D5000_seed0_random_vs_beam_negamax_rep2,5000,0,2,beam_negamax,random,second,True,False,20,0.07253899999999999,0.0677655,0.110171,0.110171,0,0,10,10479.0,72746.0
D5000_seed0_random_vs_beam_negamax_rep3,5000,0,3,random,beam_negamax,first,False,False,50,3.548e-05,1.5e-05,5.8e-05,0.000485,0,0,25,0,0
D5000_seed0_random_vs_beam_negamax_rep3,5000,0,3,beam_negamax,random,second,True,False,50,0.09108632,0.093502,0.110623,0.113564,0,0,25,32672.0,218681.0
D5000_seed0_random_vs_beam_negamax_rep4,5000,0,4,random,beam_negamax,first,False,False,52,4.3461538461538456e-05,1.6e-05,3e-05,0.000697,0,0,26,0,0
D5000_seed0_random_vs_beam_negamax_rep4,5000,0,4,beam_negamax,random,second,True,False,52,0.10412153846153846,0.103051,0.130631,0.131513,0,0,26,32966.0,225296.0
D5000_seed0_random_vs_graph_control_rep0,5000,0,0,random,graph_control,first,False,False,20,7.7e-05,9e-06,0.000685,0.000685,0,0,10,0,0
D5000_seed0_random_vs_graph_control_rep0,5000,0,0,graph_control,random,second,True,False,20,0.015115299999999998,0.0186035,0.02136,0.02136,0,0,10,0.0,256.0
D5000_seed0_random_vs_graph_control_rep1,5000,0,1,random,graph_control,first,True,False,23,6.116666666666666e-05,8e-06,0.000633,0.000633,0,0,12,0,0
D5000_seed0_random_vs_graph_control_rep1,5000,0,1,graph_control,random,second,False,False,23,0.013766,0.014053,0.02107,0.02107,0,0,11,0.0,263.0
D5000_seed0_random_vs_graph_control_rep2,5000,0,2,random,graph_control,first,False,False,20,6.46e-05,4e-06,0.000605,0.000605,0,0,10,0,0
D5000_seed0_random_vs_graph_control_rep2,5000,0,2,graph_control,random,second,True,False,20,0.013161700000000002,0.0137675,0.019711,0.019711,0,0,10,0.0,267.0
D5000_seed0_random_vs_graph_control_rep3,5000,0,3,random,graph_control,first,False,False,18,6.644444444444444e-05,5e-06,0.00056,0.00056,0,0,9,0,0
D5000_seed0_random_vs_graph_control_rep3,5000,0,3,graph_control,random,second,True,False,18,0.012006222222222222,0.013163,0.017187,0.017187,0,0,9,0.0,227.0
D5000_seed0_random_vs_graph_control_rep4,5000,0,4,random,graph_control,first,False,False,18,6.066666666666667e-05,4e-06,0.000509,0.000509,0,0,9,0,0
D5000_seed0_random_vs_graph_control_rep4,5000,0,4,graph_control,random,second,True,False,18,0.010550222222222223,0.011684,0.015513,0.015513,0,0,9,0.0,212.0
D5000_seed0_greedy_vs_random_rep0,5000,0,0,greedy,random,first,True,False,19,0.0005294,7.15e-05,0.004794,0.004794,0,0,10,0,0
D5000_seed0_greedy_vs_random_rep0,5000,0,0,random,greedy,second,False,False,19,5.1111111111111115e-06,4e-06,1e-05,1e-05,0,0,9,0,0
D5000_seed0_greedy_vs_random_rep1,5000,0,1,greedy,random,first,True,False,25,0.00043315384615384613,8.2e-05,0.004782,0.004782,0,0,13,0,0
D5000_seed0_greedy_vs_random_rep1,5000,0,1,random,greedy,second,False,False,25,3.416666666666667e-06,3e-06,7e-06,7e-06,0,0,12,0,0
D5000_seed0_greedy_vs_random_rep2,5000,0,2,greedy,random,first,True,False,21,0.000506090909090909,8.7e-05,0.004828,0.004828,0,0,11,0,0
D5000_seed0_greedy_vs_random_rep2,5000,0,2,random,greedy,second,False,False,21,3.1e-06,3e-06,6e-06,6e-06,0,0,10,0,0
D5000_seed0_greedy_vs_random_rep3,5000,0,3,greedy,random,first,True,False,19,0.0006429,7.8e-05,0.005791,0.005791,0,0,10,0,0
D5000_seed0_greedy_vs_random_rep3,5000,0,3,random,greedy,second,False,False,19,4.333333333333333e-06,3e-06,1.4e-05,1.4e-05,0,0,9,0,0
D5000_seed0_greedy_vs_random_rep4,5000,0,4,greedy,random,first,True,False,21,0.0004945454545454545,8.7e-05,0.004793,0.004793,0,0,11,0,0
D5000_seed0_greedy_vs_random_rep4,5000,0,4,random,greedy,second,False,False,21,5.4e-06,3.5e-06,1.5e-05,1.5e-05,0,0,10,0,0
D5000_seed0_greedy_vs_monte_carlo_rep0,5000,0,0,greedy,monte_carlo,first,True,False,19,0.000529,9.1e-05,0.004548,0.004548,0,0,10,0,0
D5000_seed0_greedy_vs_monte_carlo_rep0,5000,0,0,monte_carlo,greedy,second,False,False,19,0.06356477777777778,0.057213,0.183607,0.183607,0,0,9,0,0
D5000_seed0_greedy_vs_monte_carlo_rep1,5000,0,1,greedy,monte_carlo,first,True,False,21,0.0006447272727272727,8.9e-05,0.006257,0.006257,0,0,11,0,0
D5000_seed0_greedy_vs_monte_carlo_rep1,5000,0,1,monte_carlo,greedy,second,False,False,21,0.0997718,0.083297,0.251911,0.251911,0,0,10,0,0
D5000_seed0_greedy_vs_monte_carlo_rep2,5000,0,2,greedy,monte_carlo,first,True,False,23,0.0006126666666666666,0.0001195,0.006175,0.006175,0,0,12,0,0
D5000_seed0_greedy_vs_monte_carlo_rep2,5000,0,2,monte_carlo,greedy,second,False,False,23,0.1290280909090909,0.08188,0.440112,0.440112,0,0,11,0,0
D5000_seed0_greedy_vs_monte_carlo_rep3,5000,0,3,greedy,monte_carlo,first,True,False,23,0.0006299166666666666,0.00013000000000000002,0.006299,0.006299,0,0,12,0,0
D5000_seed0_greedy_vs_monte_carlo_rep3,5000,0,3,monte_carlo,greedy,second,False,False,23,0.13016645454545456,0.106312,0.37324,0.37324,0,0,11,0,0
D5000_seed0_greedy_vs_monte_carlo_rep4,5000,0,4,greedy,monte_carlo,first,False,False,20,0.0007875,0.0001305,0.006943,0.006943,0,0,10,0,0
D5000_seed0_greedy_vs_monte_carlo_rep4,5000,0,4,monte_carlo,greedy,second,True,False,20,0.1205981,0.10759550000000001,0.282972,0.282972,0,0,10,0,0
D5000_seed0_greedy_vs_minimax_rep0,5000,0,0,greedy,minimax,first,False,False,20,0.000628,2.2499999999999998e-05,0.005932,0.005932,0,0,10,0,0
D5000_seed0_greedy_vs_minimax_rep0,5000,0,0,minimax,greedy,second,True,False,20,0.0497245,0.0554445,0.062455,0.062455,0,0,10,4773.0,12808.0
D5000_seed0_greedy_vs_alpha_beta_rep0,5000,0,0,greedy,alpha_beta,first,False,False,20,0.0007238,2.2499999999999998e-05,0.006904,0.006904,0,0,10,0,0
D5000_seed0_greedy_vs_alpha_beta_rep0,5000,0,0,alpha_beta,greedy,second,True,False,20,0.0766255,0.0494705,0.21002,0.21002,0,0,10,6968.0,40609.0
D5000_seed0_greedy_vs_pvs_rep0,5000,0,0,greedy,pvs,first,False,False,20,0.0007340999999999999,2.55e-05,0.006977,0.006977,0,0,10,0,0
D5000_seed0_greedy_vs_pvs_rep0,5000,0,0,pvs,greedy,second,True,False,20,0.0910496,0.0593665,0.272277,0.272277,0,0,10,7728.0,49594.0
D5000_seed0_greedy_vs_beam_negamax_rep0,5000,0,0,greedy,beam_negamax,first,False,False,24,0.0006349166666666667,0.000109,0.006778,0.006778,0,0,12,0,0
D5000_seed0_greedy_vs_beam_negamax_rep0,5000,0,0,beam_negamax,greedy,second,True,False,24,0.09793716666666667,0.090683,0.178824,0.178824,0,0,12,12014.0,83579.0
D5000_seed0_greedy_vs_graph_control_rep0,5000,0,0,greedy,graph_control,first,False,False,18,0.000671888888888889,2.6e-05,0.005824,0.005824,0,0,9,0,0
D5000_seed0_greedy_vs_graph_control_rep0,5000,0,0,graph_control,greedy,second,True,False,18,0.011718,0.014538,0.017999,0.017999,0,0,9,0.0,190.0
D5000_seed0_monte_carlo_vs_random_rep0,5000,0,0,monte_carlo,random,first,True,False,157,0.3176420886075949,0.314218,0.539979,0.594582,0,0,79,0,0
D5000_seed0_monte_carlo_vs_random_rep0,5000,0,0,random,monte_carlo,second,False,False,157,9.025641025641025e-06,9e-06,1.6e-05,1.7e-05,0,0,78,0,0
