agent,seat,games,wins,losses,draws,win_rate,win_rate_ci95_low,win_rate_ci95_high,mean_match_turns,mean_time_sec,timeout_count,invalid_move_count,nodes_per_move,candidate_evaluations_per_move
alpha_beta,first,45,43,2,0,0.9555555555555556,0.8517248923056439,0.9877258732932802,39.4,0.119342756424581,0,0,1279.3787709497208,6544.79217877095
alpha_beta,second,45,40,5,0,0.8888888888888888,0.7650090300423141,0.9515952820543282,41.4,0.11905763031624864,0,0,1243.1624863685931,6521.906215921483
beam_negamax,first,45,39,6,0,0.8666666666666667,0.7382269817382293,0.9374285125243192,56.644444444444446,0.09463527145085804,0,0,1143.5624024960998,7784.353354134166
beam_negamax,second,45,37,8,0,0.8222222222222222,0.6867017537354023,0.9070561048589585,50.62222222222222,0.08820784902309059,0,0,1143.822380106572,7652.540852575488
graph_control,first,45,25,20,0,0.5555555555555556,0.4117613449352105,0.6906106996500243,24.466666666666665,0.09130281850533808,24,0,0.0,145.86832740213524
graph_control,second,45,28,17,0,0.6222222222222222,0.47629934480889535,0.7489191532786209,19.88888888888889,0.013825986175115207,0,0,0.0,20.983870967741936
greedy,first,45,26,19,0,0.5777777777777777,0.4330078870920313,0.710312975327297,22.622222222222224,0.000768176923076923,0,0,0.0,0.0
greedy,second,45,28,17,0,0.6222222222222222,0.47629934480889535,0.7489191532786209,22.466666666666665,0.00010461212121212121,0,0,0.0,0.0
minimax,first,45,42,3,0,0.9333333333333333,0.8214339803640811,0.977067967400749,36.44444444444444,0.04779614371980676,0,0,485.8514492753623,1376.0519323671497
minimax,second,45,40,5,0,0.8888888888888888,0.7650090300423141,0.9515952820543282,44.06666666666667,0.041612292732855674,0,0,500.4268167860798,1318.971340839304
monte_carlo,first,105,23,82,0,0.21904761904761905,0.15063136961406626,0.3072957783746717,47.68571428571428,0.24963502407261248,0,0,0.0,0.0
monte_carlo,second,105,21,84,0,0.2,0.1346990751284325,0.2864773710290335,56.15238095238095,0.24517435645933014,0,0,0.0,0.0
pvs,first,45,43,2,0,0.9555555555555556,0.8517248923056439,0.9877258732932802,40.422222222222224,0.12503033877995642,0,0,1378.714596949891,7705.760348583878
pvs,second,45,40,5,0,0.8888888888888888,0.7650090300423141,0.9515952820543282,41.888888888888886,0.12452278209277239,0,0,1347.8597626752967,7892.0485436893205
random,first,105,3,102,0,0.02857142857142857,0.00976383903870233,0.08065629063731557,55.923809523809524,3.9344665095927295e-05,0,0,0.0,0.0
random,second,105,2,103,0,0.01904761904761905,0.0052391820659629385,0.06680559669441896,47.31428571428572,1.2692338873125253e-05,0,0,0.0,0.0
