agent,opponent,games,wins,losses,draws,win_rate,win_rate_ci95_low,win_rate_ci95_high,mean_match_turns,mean_time_sec,timeout_count,invalid_move_count,nodes_per_move,candidate_evaluations_per_move
alpha_beta,beam_negamax,6,5,1,0,0.8333333333333334,0.43649717781352987,0.9699466302516935,101.0,0.1279871617161716,0,0,1632.7194719471947,8437.204620462046
alpha_beta,graph_control,6,6,0,0,1.0,0.6096657120978346,1.0,23.5,0.130651,0,0,1123.0428571428572,5989.371428571429
alpha_beta,greedy,6,6,0,0,1.0,0.6096657120978346,1.0,19.166666666666668,0.11404749122807016,0,0,980.9473684210526,5284.087719298245
alpha_beta,minimax,6,3,3,0,0.5,0.1876163064826506,0.8123836935173494,97.33333333333333,0.11767808904109588,0,0,1285.3150684931506,7313.034246575343
alpha_beta,monte_carlo,30,30,0,0,1.0,0.8864866068260312,0.9999999999999999,29.433333333333334,0.101268423690205,0,0,1099.74715261959,5438.603644646925
alpha_beta,pvs,6,3,3,0,0.5,0.1876163064826506,0.8123836935173494,47.333333333333336,0.08022938028169015,0,0,898.0633802816901,5329.1760563380285
alpha_beta,random,30,30,0,0,1.0,0.8864866068260312,0.9999999999999999,34.1,0.14017645383104124,0,0,1316.614931237721,6447.070726915521
beam_negamax,alpha_beta,6,1,5,0,0.16666666666666666,0.030053369748306635,0.5635028221864702,101.0,0.07429561716171618,0,0,978.6369636963697,6995.260726072607
beam_negamax,graph_control,6,6,0,0,1.0,0.6096657120978346,1.0,22.833333333333332,0.09942267647058822,0,0,1026.4117647058824,7220.823529411765
beam_negamax,greedy,6,6,0,0,1.0,0.6096657120978346,1.0,27.833333333333332,0.10548512048192771,0,0,1077.987951807229,7616.277108433735
beam_negamax,minimax,6,2,4,0,0.3333333333333333,0.09677141110578041,0.700006684861608,82.16666666666667,0.07984042105263157,0,0,1066.2874493927125,7228.785425101215
beam_negamax,monte_carlo,30,30,0,0,1.0,0.8864866068260312,0.9999999999999999,50.833333333333336,0.09470040263157894,0,0,1246.7578947368422,8214.430263157894
beam_negamax,pvs,6,1,5,0,0.16666666666666666,0.030053369748306635,0.5635028221864702,101.0,0.07610547524752476,0,0,978.6369636963697,6995.260726072607
beam_negamax,random,30,30,0,0,1.0,0.8864866068260312,0.9999999999999999,43.1,0.10537892546583852,0,0,1227.886645962733,8083.121118012423
graph_control,alpha_beta,6,0,6,0,0.0,2.7755575615628914e-17,0.3903342879021653,23.5,0.05105285915492958,1,0,0.0,80.16901408450704
graph_control,beam_negamax,6,0,6,0,0.0,2.7755575615628914e-17,0.3903342879021653,22.833333333333332,0.05351211594202898,2,0,0.0,81.55072463768116
graph_control,greedy,6,4,2,0,0.6666666666666666,0.299993315138392,0.9032285888942195,19.5,0.06149706896551724,3,0,0.0,94.55172413793103
graph_control,minimax,6,0,6,0,0.0,2.7755575615628914e-17,0.3903342879021653,31.5,0.03880563157894737,1,0,0.0,63.67368421052632
graph_control,monte_carlo,30,22,8,0,0.7333333333333333,0.555520383048111,0.8581733668040368,20.966666666666665,0.06338929936305733,6,0,0.0,98.62420382165605
graph_control,pvs,6,0,6,0,0.0,2.7755575615628914e-17,0.3903342879021653,23.5,0.052735338028169015,2,0,0.0,81.38028169014085
graph_control,random,30,27,3,0,0.9,0.7437891742081593,0.9654001112526658,21.4,0.06004326729559748,9,0,0.0,99.01572327044025
greedy,alpha_beta,6,0,6,0,0.0,2.7755575615628914e-17,0.3903342879021653,19.166666666666668,0.00045481034482758623,0,0,0.0,0.0
greedy,beam_negamax,6,0,6,0,0.0,2.7755575615628914e-17,0.3903342879021653,27.833333333333332,0.00038020238095238097,0,0,0.0,0.0
greedy,graph_control,6,2,4,0,0.3333333333333333,0.09677141110578041,0.700006684861608,19.5,0.0004107627118644068,0,0,0.0,0.0
greedy,minimax,6,0,6,0,0.0,2.7755575615628914e-17,0.3903342879021653,35.166666666666664,0.00031148113207547166,0,0,0.0,0.0
greedy,monte_carlo,30,22,8,0,0.7333333333333333,0.555520383048111,0.8581733668040368,20.966666666666665,0.0004457174603174603,0,0,0.0,0.0
greedy,pvs,6,0,6,0,0.0,2.7755575615628914e-17,0.3903342879021653,19.166666666666668,0.0006736206896551724,0,0,0.0,0.0
greedy,random,30,30,0,0,1.0,0.8864866068260312,0.9999999999999999,22.5,0.00046625671641791047,0,0,0.0,0.0
minimax,alpha_beta,6,3,3,0,0.5,0.1876163064826506,0.8123836935173494,97.33333333333333,0.043637123287671234,0,0,500.22945205479454,1303.0684931506848
