feature,positions,mean_candidate_variance,median_candidate_variance,nonzero_variance_rate
dangerous_word_count,996,5.264570647644152e-06,5.756761985497385e-06,0.9658634538152611
dead_end_reach_rate,996,0.05531398534644068,0.03613224340248766,0.9016064257028112
depth2_char_count,996,0.05292261815228524,0.03619429242290426,0.9608433734939759
depth3_char_count,996,0.05331528400945489,0.03504691662400442,0.9016064257028112
destination_concentration,996,0.05052554844852718,0.03569931631815801,0.9658634538152611
destination_count,996,0.028850146247257707,0.027973615916955016,0.9658634538152611
legal_word_count,996,0.00017163699115150388,0.00018033567916363283,0.9658634538152611
low_out_degree_reach_rate,996,0.0543921787823027,0.03609375907051837,0.9608433734939759
reachable_char_count,996,0.05335142843465361,0.035077921892373416,0.8955823293172691
reachable_edge_count,996,0.05658081569523804,0.036687068943405794,0.8955823293172691
safe_word_count,996,0.0001200782765707524,0.0001279610302698439,0.9658634538152611
scc_exit_edge_count,996,0.0013515284770360505,0.0008834034842522818,0.8965863453815262
scc_internal_edge_count,996,0.04052349538968919,0.02735675772780291,0.8965863453815262
scc_vertex_count,996,0.051463801624083684,0.03502638508091569,0.8965863453815262
