match_id,turn,dict_size,remaining_bin,remaining_word_rate,graph_control_won,candidate_count,score_range,score_stddev,best_score_tie_count,distinct_score_count,all_candidates_tied,all_candidate_score_range_including_terminal,scc_nearly_whole,reachable_chars_all_same,reachable_edges_nearly_same,feature_contribution,greedy_agreement,alpha_beta_agreement,evaluation_time_sec,scc_time_sec,reachability_time_sec,local_time_sec
D5000_seed0_random_vs_graph_control_rep0,2,5000,80-100%,0.9998,True,34,1.4578511372010432,0.3347200747162648,1,33,False,1000000010.178424,True,False,False,both,True,True,0.020933082909323275,0.009950290899723768,0.0005565390456467867,0.0011666262289509177
D5000_seed0_random_vs_graph_control_rep0,4,5000,80-100%,0.9994,True,30,1.8037499945700475,0.3242872179729601,1,29,False,1000000010.3184856,True,False,False,both,True,True,0.018538542091846466,0.008729539811611176,0.00048287585377693176,0.0009998294990509748
D5000_seed0_random_vs_graph_control_rep0,6,5000,80-100%,0.999,True,5,1.3745172784011572,0.5032858242174414,1,5,False,1.3745172784011572,True,True,True,local_only,True,True,0.0029213750967755914,0.0013591668102890253,7.837393786758184e-05,0.00015679106581956148
D5000_seed0_random_vs_graph_control_rep0,8,5000,80-100%,0.9986,True,17,1.0673188365075745,0.32757413334194363,1,16,False,1000000009.5818671,True,False,False,both,True,False,0.009859584039077163,0.004680499201640487,0.00024516682606190443,0.000542165944352746
D5000_seed0_random_vs_graph_control_rep0,10,5000,80-100%,0.9982,True,37,2.202738161368,0.4535826460264069,1,36,False,1000000010.7171926,True,False,False,both,True,False,0.021345249959267676,0.010004541836678982,0.000546499970369041,0.0011534970253705978
D5000_seed0_random_vs_graph_control_rep0,12,5000,80-100%,0.9978,True,3,0.21285835531508113,0.08972817220025889,1,3,False,0.21285835531508113,True,True,True,local_only,True,True,0.0018941659945994616,0.0008707920787855983,4.7457870095968246e-05,0.00011100003030151129
D5000_seed0_random_vs_graph_control_rep0,14,5000,80-100%,0.9974,True,36,1.9951887916685092,0.38365259782261607,1,35,False,1000000010.5318435,True,False,False,both,True,True,0.02126625005621463,0.010128914029337466,0.0005665019853040576,0.0011898762313649058
D5000_seed0_random_vs_graph_control_rep0,16,5000,80-100%,0.997,True,33,2.3404732588160293,0.39695823732532276,1,32,False,1000000010.899422,True,False,False,both,True,True,0.018636499997228384,0.008890209021046758,0.0005007061408832669,0.0010346248745918274
D5000_seed0_random_vs_graph_control_rep0,18,5000,80-100%,0.9966,True,34,3.2290550925316346,0.5445875496736317,1,33,False,1000000011.9948634,True,False,False,both,True,True,0.019406292005442083,0.009237035061232746,0.0005160440923646092,0.001053079031407833
D5000_seed0_random_vs_graph_control_rep0,20,5000,80-100%,0.9962,True,27,1.1254872498679447,0.2938906691577327,1,25,False,2000000000.0,False,False,False,both,True,True,0.01620174990966916,0.007891789195127785,0.00041825196240097284,0.0008764121448621154
D5000_seed0_random_vs_graph_control_rep1,2,5000,80-100%,0.9998,False,16,1.098422383695679,0.2985906017997786,1,15,False,1000000009.6132514,True,False,False,both,True,False,0.009072583983652294,0.00437258230522275,0.00023724802304059267,0.0005068330792710185
D5000_seed0_random_vs_graph_control_rep1,4,5000,80-100%,0.9994,False,22,1.3656197803638275,0.3252632437884433,1,21,False,1000000010.1784952,True,False,False,both,True,True,0.013518666964955628,0.006429585162550211,0.00035708409268409014,0.0007396646542474627
D5000_seed0_random_vs_graph_control_rep1,6,5000,80-100%,0.999,False,34,1.6594712683578727,0.3532721680322905,1,33,False,1000000010.3799895,True,False,False,both,True,True,0.020922750001773238,0.010020748246461153,0.0005619571311399341,0.0011424123076722026
D5000_seed0_random_vs_graph_control_rep1,8,5000,80-100%,0.9986,False,17,1.0673188365075745,0.3273601768042076,1,16,False,1000000009.5818671,True,False,False,both,True,False,0.010488500003702939,0.005078458227217197,0.0002732513239607215,0.0005638328148052096
D5000_seed0_random_vs_graph_control_rep1,10,5000,80-100%,0.9982,False,16,1.0213994541099396,0.315792288659822,1,15,False,1000000009.5358539,True,False,False,both,False,False,0.010115667013451457,0.0047860381891950965,0.0002585828769952059,0.0005907081067562103
D5000_seed0_random_vs_graph_control_rep1,12,5000,80-100%,0.9978,False,37,2.1872387590283218,0.4465306769434711,1,36,False,1000000010.7015994,True,False,False,both,True,False,0.02105841599404812,0.0101390773197636,0.0005665381904691458,0.0011527929455041885
D5000_seed0_random_vs_graph_control_rep1,14,5000,80-100%,0.9974,False,4,1.369506027778236,0.5514017295560388,1,4,False,1.369506027778236,True,True,True,local_only,True,False,0.0023102089762687683,0.0010737089905887842,6.337394006550312e-05,0.00012450001668184996
D5000_seed0_random_vs_graph_control_rep1,16,5000,80-100%,0.997,False,27,1.9237565070765825,0.37615194974227845,1,26,False,1000000010.4603173,True,False,False,both,True,False,0.015316334087401628,0.007367708720266819,0.00040849787183105946,0.0008570823119953275
D5000_seed0_random_vs_graph_control_rep1,18,5000,80-100%,0.9966,False,33,2.1967410130701666,0.3800475622074596,1,32,False,1000000010.7332077,True,False,False,both,True,False,0.018550375010818243,0.008920042775571346,0.0004961679223924875,0.0010509989224374294
D5000_seed0_random_vs_graph_control_rep1,20,5000,80-100%,0.9962,False,30,2.6627139544680425,0.43892321316456157,1,29,False,1000000011.2214745,True,False,False,both,True,False,0.015884416992776096,0.00765745691023767,0.00042608531657606363,0.0008854569168761373
D5000_seed0_random_vs_graph_control_rep1,22,5000,80-100%,0.9958,False,27,13.79737082071692,2.538281483130307,1,26,False,1000000022.4020011,False,False,False,both,True,False,0.014042583992704749,0.006857334286905825,0.00036745588295161724,0.0007811677642166615
D5000_seed0_random_vs_graph_control_rep2,2,5000,80-100%,0.9998,True,38,2.186400011339991,0.40985839215760883,1,37,False,1000000010.7012291,True,False,False,both,True,True,0.019697499927133322,0.009424669900909066,0.000542042194865644,0.0010956679470837116
D5000_seed0_random_vs_graph_control_rep2,4,5000,80-100%,0.9994,True,22,1.3432317206623345,0.32148459449784383,1,21,False,1000000010.1784952,True,False,False,both,True,True,0.011179042048752308,0.005437747808173299,0.0002932909410446882,0.0006135429721325636
D5000_seed0_random_vs_graph_control_rep2,6,5000,80-100%,0.999,True,17,1.0682115181829115,0.32792852310705767,1,16,False,1000000009.6052415,True,False,False,both,True,False,0.008622666937299073,0.004242122988216579,0.0002221281174570322,0.00047729129437357187
D5000_seed0_random_vs_graph_control_rep2,8,5000,80-100%,0.9986,True,34,1.5143651763831532,0.340229102734611,1,33,False,1000000010.2575834,True,False,False,both,True,True,0.01694941706955433,0.008244493626989424,0.00045041716657578945,0.000920708873309195
D5000_seed0_random_vs_graph_control_rep2,10,5000,80-100%,0.9982,True,5,1.2932827620702856,0.4753372281280553,1,5,False,1.2932827620702856,True,True,True,local_only,True,True,0.0024951669620350003,0.0011651251697912812,6.737594958394766e-05,0.0001374159473925829
D5000_seed0_random_vs_graph_control_rep2,12,5000,80-100%,0.9978,True,34,1.9265652839980092,0.37899106064712385,1,33,False,1000000010.6697286,True,False,False,both,True,True,0.016388875083066523,0.007948082173243165,0.0004348750226199627,0.0009130417602136731
D5000_seed0_random_vs_graph_control_rep2,14,5000,80-100%,0.9974,True,33,2.5688820828820145,0.4269324813054141,1,32,False,1000000011.1279249,True,False,False,both,True,True,0.015868333051912487,0.007661416660994291,0.00042183161713182926,0.000887253088876605
D5000_seed0_random_vs_graph_control_rep2,16,5000,80-100%,0.997,True,27,2.4871215321521714,0.4517112877487915,1,26,False,1000000011.0460703,True,False,False,both,True,True,0.01300933409947902,0.006303081871010363,0.000343920080922544,0.0007228301838040352
D5000_seed0_random_vs_graph_control_rep2,18,5000,80-100%,0.9966,True,30,3.4360087133083486,0.5570963265162838,1,29,False,1000000011.9948634,True,False,False,both,True,True,0.01450983399990946,0.007024041377007961,0.0003821254940703511,0.0007937469054013491
