alpha_beta_agreement,alpha_beta_end_id,alpha_beta_is_reference_not_ground_truth,alpha_beta_start_id,alpha_beta_timed_out,graph_end_id,graph_start_id,greedy_agreement,greedy_end_id,greedy_start_id,match_id,remaining_bin,remaining_word_rate,turn
True,63,True,19,False,63,19,True,63,19,D5000_seed0_random_vs_graph_control_rep0,80-100%,0.9998,2
True,63,True,35,False,63,35,True,63,35,D5000_seed0_greedy_vs_graph_control_rep0,80-100%,0.9998,2
True,63,True,59,False,63,59,True,63,59,D5000_seed0_monte_carlo_vs_graph_control_rep3,80-100%,0.9958,22
True,46,True,10,False,46,10,True,46,10,D5000_seed0_graph_control_vs_random_rep0,80-100%,0.9996,3
True,63,True,62,False,63,62,True,63,62,D5000_seed0_graph_control_vs_random_rep4,80-100%,0.9996,3
False,35,True,7,False,20,7,True,20,7,D5000_seed0_graph_control_vs_monte_carlo_rep2,80-100%,0.998,11
False,65,True,28,False,64,28,False,65,28,D5000_seed0_graph_control_vs_alpha_beta_rep0,80-100%,0.9984,9
False,52,True,12,False,63,12,True,63,12,D5000_seed1_random_vs_graph_control_rep2,80-100%,0.999,6
True,60,True,20,False,60,20,True,60,20,D5000_seed1_monte_carlo_vs_graph_control_rep2,80-100%,0.9998,2
True,63,True,63,False,63,63,True,63,63,D5000_seed1_pvs_vs_graph_control_rep0,80-100%,0.9974,14
False,52,True,12,False,63,12,True,63,12,D5000_seed1_graph_control_vs_random_rep4,80-100%,0.9996,3
True,67,True,63,False,67,63,True,67,63,D5000_seed1_graph_control_vs_monte_carlo_rep2,80-100%,0.9964,19
True,63,True,63,False,63,63,True,63,63,D5000_seed1_graph_control_vs_pvs_rep0,80-100%,0.9968,17
True,52,True,0,False,52,0,False,63,0,D5000_seed2_random_vs_graph_control_rep3,80-100%,0.9982,10
True,63,True,31,False,63,31,True,63,31,D5000_seed2_monte_carlo_vs_graph_control_rep2,80-100%,0.9982,10
True,2,True,20,False,2,20,True,2,20,D5000_seed2_pvs_vs_graph_control_rep0,80-100%,0.9986,8
True,20,True,42,False,20,42,True,20,42,D5000_seed2_graph_control_vs_random_rep2,80-100%,0.9964,19
False,36,True,11,False,46,11,True,46,11,D5000_seed2_graph_control_vs_monte_carlo_rep0,80-100%,0.9996,3
False,63,True,63,False,52,63,False,63,63,D5000_seed2_graph_control_vs_monte_carlo_rep4,80-100%,0.9988,7
False,28,True,16,False,60,16,False,28,16,D5000_seed2_graph_control_vs_alpha_beta_rep0,80-100%,0.998,11
True,63,True,33,False,63,33,True,63,33,D5000_seed0_random_vs_graph_control_rep0,80-100%,0.9994,4
True,63,True,63,False,63,63,True,63,63,D5000_seed0_random_vs_graph_control_rep0,80-100%,0.999,6
False,28,True,55,False,10,55,True,10,55,D5000_seed0_random_vs_graph_control_rep0,80-100%,0.9986,8
False,63,True,1,False,35,1,True,35,1,D5000_seed0_random_vs_graph_control_rep0,80-100%,0.9982,10
True,59,True,63,False,59,63,True,59,63,D5000_seed0_random_vs_graph_control_rep0,80-100%,0.9978,12
True,63,True,1,False,63,1,True,63,1,D5000_seed0_random_vs_graph_control_rep0,80-100%,0.9974,14
True,63,True,2,False,63,2,True,63,2,D5000_seed0_random_vs_graph_control_rep0,80-100%,0.997,16
True,63,True,19,False,63,19,True,63,19,D5000_seed0_random_vs_graph_control_rep0,80-100%,0.9966,18
True,63,True,59,False,63,59,True,63,59,D5000_seed0_random_vs_graph_control_rep0,80-100%,0.9962,20
False,28,True,12,False,42,12,True,42,12,D5000_seed0_random_vs_graph_control_rep1,80-100%,0.9998,2
True,63,True,32,False,63,32,True,63,32,D5000_seed0_random_vs_graph_control_rep1,80-100%,0.9994,4
True,63,True,19,False,63,19,True,63,19,D5000_seed0_random_vs_graph_control_rep1,80-100%,0.999,6
False,28,True,55,False,10,55,True,10,55,D5000_seed0_random_vs_graph_control_rep1,80-100%,0.9986,8
False,58,True,55,False,61,55,False,66,55,D5000_seed0_random_vs_graph_control_rep1,80-100%,0.9982,10
False,63,True,1,False,35,1,True,35,1,D5000_seed0_random_vs_graph_control_rep1,80-100%,0.9978,12
False,33,True,63,False,63,63,True,63,63,D5000_seed0_random_vs_graph_control_rep1,80-100%,0.9974,14
False,58,True,59,False,63,59,True,63,59,D5000_seed0_random_vs_graph_control_rep1,80-100%,0.997,16
False,58,True,2,False,63,2,True,63,2,D5000_seed0_random_vs_graph_control_rep1,80-100%,0.9966,18
False,10,True,33,False,63,33,True,63,33,D5000_seed0_random_vs_graph_control_rep1,80-100%,0.9962,20
False,58,True,59,False,63,59,True,63,59,D5000_seed0_random_vs_graph_control_rep1,80-100%,0.9958,22
True,35,True,9,False,35,9,True,35,9,D5000_seed0_random_vs_graph_control_rep2,80-100%,0.9998,2
True,63,True,32,False,63,32,True,63,32,D5000_seed0_random_vs_graph_control_rep2,80-100%,0.9994,4
