dict_size,dictionary_seed,repetition,agent_a,agent_b,seat_order_games,complete_seat_pair,agent_a_wins
5000,0,0,alpha_beta,beam_negamax,2,True,2
5000,0,0,alpha_beta,graph_control,2,True,2
5000,0,0,alpha_beta,greedy,2,True,2
5000,0,0,alpha_beta,minimax,2,True,1
5000,0,0,alpha_beta,monte_carlo,2,True,2
5000,0,0,alpha_beta,pvs,2,True,1
5000,0,0,alpha_beta,random,2,True,2
5000,0,0,beam_negamax,graph_control,2,True,2
5000,0,0,beam_negamax,greedy,2,True,2
5000,0,0,beam_negamax,minimax,2,True,1
5000,0,0,beam_negamax,monte_carlo,2,True,2
5000,0,0,beam_negamax,pvs,2,True,0
5000,0,0,beam_negamax,random,2,True,2
5000,0,0,graph_control,greedy,2,True,1
5000,0,0,graph_control,minimax,2,True,0
5000,0,0,graph_control,monte_carlo,2,True,2
5000,0,0,graph_control,pvs,2,True,0
5000,0,0,graph_control,random,2,True,2
5000,0,0,greedy,minimax,2,True,0
5000,0,0,greedy,monte_carlo,2,True,2
5000,0,0,greedy,pvs,2,True,0
5000,0,0,greedy,random,2,True,2
5000,0,0,minimax,monte_carlo,2,True,2
5000,0,0,minimax,pvs,2,True,1
5000,0,0,minimax,random,2,True,2
5000,0,0,monte_carlo,pvs,2,True,0
5000,0,0,monte_carlo,random,2,True,2
5000,0,0,pvs,random,2,True,2
5000,0,1,alpha_beta,monte_carlo,2,True,2
5000,0,1,alpha_beta,random,2,True,2
5000,0,1,beam_negamax,monte_carlo,2,True,2
5000,0,1,beam_negamax,random,2,True,2
5000,0,1,graph_control,monte_carlo,2,True,1
5000,0,1,graph_control,random,2,True,0
5000,0,1,greedy,monte_carlo,2,True,2
5000,0,1,greedy,random,2,True,2
5000,0,1,minimax,monte_carlo,2,True,2
5000,0,1,minimax,random,2,True,2
5000,0,1,monte_carlo,pvs,2,True,0
5000,0,1,monte_carlo,random,2,True,2
5000,0,1,pvs,random,2,True,2
5000,0,2,alpha_beta,monte_carlo,2,True,2
5000,0,2,alpha_beta,random,2,True,2
5000,0,2,beam_negamax,monte_carlo,2,True,2
5000,0,2,beam_negamax,random,2,True,2
5000,0,2,graph_control,monte_carlo,2,True,2
5000,0,2,graph_control,random,2,True,2
5000,0,2,greedy,monte_carlo,2,True,2
5000,0,2,greedy,random,2,True,2
5000,0,2,minimax,monte_carlo,2,True,2
5000,0,2,minimax,random,2,True,2
5000,0,2,monte_carlo,pvs,2,True,0
5000,0,2,monte_carlo,random,2,True,2
5000,0,2,pvs,random,2,True,2
5000,0,3,alpha_beta,monte_carlo,2,True,2
5000,0,3,alpha_beta,random,2,True,2
5000,0,3,beam_negamax,monte_carlo,2,True,2
5000,0,3,beam_negamax,random,2,True,2
5000,0,3,graph_control,monte_carlo,2,True,2
5000,0,3,graph_control,random,2,True,2
5000,0,3,greedy,monte_carlo,2,True,2
5000,0,3,greedy,random,2,True,2
5000,0,3,minimax,monte_carlo,2,True,2
5000,0,3,minimax,random,2,True,2
5000,0,3,monte_carlo,pvs,2,True,0
5000,0,3,monte_carlo,random,2,True,2
5000,0,3,pvs,random,2,True,2
5000,0,4,alpha_beta,monte_carlo,2,True,2
5000,0,4,alpha_beta,random,2,True,2
5000,0,4,beam_negamax,monte_carlo,2,True,2
5000,0,4,beam_negamax,random,2,True,2
5000,0,4,graph_control,monte_carlo,2,True,1
5000,0,4,graph_control,random,2,True,2
5000,0,4,greedy,monte_carlo,2,True,1
5000,0,4,greedy,random,2,True,2
5000,0,4,minimax,monte_carlo,2,True,2
5000,0,4,minimax,random,2,True,2
5000,0,4,monte_carlo,pvs,2,True,0
5000,0,4,monte_carlo,random,2,True,2
5000,0,4,pvs,random,2,True,2
5000,1,0,alpha_beta,beam_negamax,2,True,2
5000,1,0,alpha_beta,graph_control,2,True,2
5000,1,0,alpha_beta,greedy,2,True,2
5000,1,0,alpha_beta,minimax,2,True,1
5000,1,0,alpha_beta,monte_carlo,2,True,2
5000,1,0,alpha_beta,pvs,2,True,1
5000,1,0,alpha_beta,random,2,True,2
5000,1,0,beam_negamax,graph_control,2,True,2
5000,1,0,beam_negamax,greedy,2,True,2
