match_id,dict_size,dictionary_seed,repetition,agent,opponent,seat,won,draw,turn_count,mean_time_sec,median_time_sec,p95_time_sec,max_time_sec,timeout_count,invalid_move_count,move_count,nodes_searched,candidate_evaluations
D1000_seed0_random_vs_graph_control_rep0,1000,0,0,random,graph_control,first,False,False,12,0.00018566666666666666,8.5e-06,0.001076,0.001076,0,0,6,0,0
D1000_seed0_random_vs_graph_control_rep0,1000,0,0,graph_control,random,second,True,False,12,0.0024785000000000002,0.0018335,0.005741,0.005741,0,0,6,0.0,61.0
D1000_seed0_random_vs_graph_control_rep1,1000,0,1,random,graph_control,first,True,False,9,5.88e-05,6e-06,0.00027,0.00027,0,0,5,0,0
D1000_seed0_random_vs_graph_control_rep1,1000,0,1,graph_control,random,second,False,False,9,0.00251975,0.0023134999999999996,0.004581,0.004581,0,0,4,0.0,44.0
D1000_seed0_greedy_vs_graph_control_rep0,1000,0,0,greedy,graph_control,first,False,False,4,0.0014305,0.0014305,0.00282,0.00282,0,0,2,0,0
D1000_seed0_greedy_vs_graph_control_rep0,1000,0,0,graph_control,greedy,second,True,False,4,0.000662,0.000662,0.001052,0.001052,0,0,2,0.0,6.0
D1000_seed0_monte_carlo_vs_graph_control_rep0,1000,0,0,monte_carlo,graph_control,first,False,False,4,0.034334,0.034334,0.057428,0.057428,0,0,2,0,0
D1000_seed0_monte_carlo_vs_graph_control_rep0,1000,0,0,graph_control,monte_carlo,second,True,False,4,0.0006485,0.0006485,0.001033,0.001033,0,0,2,0.0,6.0
D1000_seed0_monte_carlo_vs_graph_control_rep1,1000,0,1,monte_carlo,graph_control,first,True,False,5,0.020451,0.004759,0.054578,0.054578,0,0,3,0,0
D1000_seed0_monte_carlo_vs_graph_control_rep1,1000,0,1,graph_control,monte_carlo,second,False,False,5,0.001286,0.001286,0.002055,0.002055,0,0,2,0.0,11.0
D1000_seed0_minimax_vs_graph_control_rep0,1000,0,0,minimax,graph_control,first,True,False,21,0.021317545454545454,0.022512,0.030494,0.030494,0,0,11,3409.0,5777.0
D1000_seed0_minimax_vs_graph_control_rep0,1000,0,0,graph_control,minimax,second,False,False,21,0.0011538,0.0012405,0.001807,0.001807,0,0,10,0.0,49.0
D1000_seed0_alpha_beta_vs_graph_control_rep0,1000,0,0,alpha_beta,graph_control,first,True,False,17,0.025075,0.022686,0.055766,0.055766,0,0,9,3743.0,11814.0
D1000_seed0_alpha_beta_vs_graph_control_rep0,1000,0,0,graph_control,alpha_beta,second,False,False,17,0.001173125,0.0009710000000000001,0.002832,0.002832,0,0,8,0.0,39.0
D1000_seed0_pvs_vs_graph_control_rep0,1000,0,0,pvs,graph_control,first,True,False,17,0.028201777777777777,0.024518,0.062946,0.062946,0,0,9,4264.0,14747.0
D1000_seed0_pvs_vs_graph_control_rep0,1000,0,0,graph_control,pvs,second,False,False,17,0.00117225,0.000969,0.00277,0.00277,0,0,8,0.0,39.0
D1000_seed0_beam_negamax_vs_graph_control_rep0,1000,0,0,beam_negamax,graph_control,first,True,False,9,0.0376764,0.023381,0.065236,0.065236,0,0,5,2931.0,10557.0
D1000_seed0_beam_negamax_vs_graph_control_rep0,1000,0,0,graph_control,beam_negamax,second,False,False,9,0.00205575,0.0016740000000000001,0.004585,0.004585,0,0,4,0.0,34.0
