agent,opponent,games,wins,losses,draws,win_rate,win_rate_ci95_low,win_rate_ci95_high,mean_match_turns,mean_time_sec,timeout_count,invalid_move_count,nodes_per_move,candidate_evaluations_per_move
alpha_beta,graph_control,2,2,0,0,1.0,0.34238022750665303,1.0,18.5,0.026148789473684212,0,0,424.3157894736842,1307.8947368421052
beam_negamax,graph_control,2,2,0,0,1.0,0.34238022750665303,1.0,16.5,0.04303717647058824,0,0,642.7058823529412,2147.176470588235
graph_control,alpha_beta,2,0,2,0,0.0,0.0,0.6576197724933469,18.5,0.008471944444444443,0,0,0.0,40.333333333333336
graph_control,beam_negamax,2,0,2,0,0.0,0.0,0.6576197724933469,16.5,0.010159625,0,0,0.0,48.5625
graph_control,greedy,2,2,0,0,1.0,0.34238022750665303,1.0,7.5,0.017316124999999998,0,0,0.0,84.625
graph_control,minimax,2,0,2,0,0.0,0.0,0.6576197724933469,23.5,0.006995826086956521,0,0,0.0,33.73913043478261
graph_control,monte_carlo,4,1,3,0,0.25,0.04558726080970055,0.6993581574175981,8.25,0.017559187500000004,0,0,0.0,86.625
graph_control,pvs,2,0,2,0,0.0,0.0,0.6576197724933469,18.5,0.008073166666666666,0,0,0.0,40.333333333333336
graph_control,random,4,3,1,0,0.75,0.30064184258240184,0.9544127391902995,10.75,0.01421081818181818,0,0,0.0,67.81818181818181
greedy,graph_control,2,0,2,0,0.0,0.0,0.6576197724933469,7.5,0.0004295714285714285,0,0,0.0,0.0
minimax,graph_control,2,2,0,0,1.0,0.34238022750665303,1.0,23.5,0.02105445833333333,0,0,308.875,485.2916666666667
monte_carlo,graph_control,4,3,1,0,0.75,0.30064184258240184,0.9544127391902995,8.25,0.014698117647058822,0,0,0.0,0.0
pvs,graph_control,2,2,0,0,1.0,0.34238022750665303,1.0,18.5,0.028627315789473685,0,0,466.42105263157896,1564.6842105263158
random,graph_control,4,1,3,0,0.25,0.04558726080970055,0.6993581574175981,10.75,7.357142857142857e-05,0,0,0.0,0.0
