match_id,turn,dict_size,remaining_bin,remaining_word_rate,graph_control_won,candidate_count,score_range,score_stddev,best_score_tie_count,distinct_score_count,all_candidates_tied,all_candidate_score_range_including_terminal,scc_nearly_whole,reachable_chars_all_same,reachable_edges_nearly_same,feature_contribution,greedy_agreement,alpha_beta_agreement,evaluation_time_sec,scc_time_sec,reachability_time_sec,local_time_sec
D1000_seed0_random_vs_graph_control_rep0,2,1000,80-100%,0.999,True,23,2.1946558123168245,0.48708436342520556,1,22,False,1000000012.1666319,False,False,False,both,True,True,0.00570633402094245,0.0024831666378304362,0.0002698741154745221,0.00046325032599270344
D1000_seed0_random_vs_graph_control_rep0,4,1000,80-100%,0.997,True,8,0.7550341675525303,0.29206630177486864,1,8,False,0.7550341675525303,False,True,True,local_only,False,False,0.001955459010787308,0.0008445399580523372,9.866710752248764e-05,0.00015666591934859753
D1000_seed0_random_vs_graph_control_rep0,6,1000,80-100%,0.995,True,7,1.189900986631116,0.35225748753578495,1,7,False,1.189900986631116,False,True,True,local_only,False,True,0.0016747909830883145,0.0007212068885564804,8.420913945883512e-05,0.00013320590369403362
D1000_seed0_random_vs_graph_control_rep0,8,1000,80-100%,0.993,True,4,2.4951243355869757,0.9949795675030543,1,4,False,2.4951243355869757,False,True,True,local_only,True,False,0.0009571249829605222,0.0004047498805448413,4.812609404325485e-05,7.583305705338717e-05
D1000_seed0_random_vs_graph_control_rep0,10,1000,80-100%,0.991,True,1,0.0,0.0,1,1,True,0.0,False,True,True,neither,True,True,0.00023208395577967167,9.979098103940487e-05,1.2333039194345474e-05,1.8666964024305344e-05
D1000_seed0_random_vs_graph_control_rep0,12,1000,80-100%,0.989,True,18,1.3924970792271356,0.3944858666442322,1,16,False,2000000000.0,False,False,False,both,True,True,0.0042168330401182175,0.0018831660272553563,0.00019795598927885294,0.00033441605046391487
D1000_seed0_random_vs_graph_control_rep1,2,1000,80-100%,0.999,False,20,3.8122653325882414,0.7588191469117268,1,19,False,1000000013.713108,False,False,False,both,False,False,0.004561375011689961,0.002063253545202315,0.00022842001635581255,0.0003833761438727379
D1000_seed0_random_vs_graph_control_rep1,4,1000,80-100%,0.997,False,11,2.1296158781678916,0.5776328236133612,1,10,False,1000000012.5623237,False,False,False,both,True,False,0.0025887079536914825,0.0011594588868319988,0.0001235000090673566,0.00021870923228561878
D1000_seed0_random_vs_graph_control_rep1,6,1000,80-100%,0.995,False,9,0.9964027447057422,0.30168903987470275,1,8,False,1000000011.4778657,False,False,False,both,True,True,0.002006750088185072,0.0009245001710951328,9.500118903815746e-05,0.00015245890244841576
D1000_seed0_random_vs_graph_control_rep1,8,1000,80-100%,0.993,False,4,12.24330734132393,5.208202736202546,1,4,False,12.24330734132393,False,False,False,both,True,False,0.0008570420322939754,0.0004115421324968338,3.687490243464708e-05,6.962509360164404e-05
D1000_seed0_greedy_vs_graph_control_rep0,2,1000,80-100%,0.999,True,1,0.0,0.0,1,1,True,0.0,False,True,True,neither,True,True,0.0002539579290896654,0.0001051250146701932,1.40840420499444e-05,1.937500201165676e-05
D1000_seed0_greedy_vs_graph_control_rep0,4,1000,80-100%,0.997,True,5,1.286281845833674,0.5424896736236748,1,3,False,2000000000.0,False,False,False,both,True,True,0.0010389999952167273,0.0005189169896766543,4.0585058741271496e-05,6.220792420208454e-05
D1000_seed0_monte_carlo_vs_graph_control_rep0,2,1000,80-100%,0.999,True,1,0.0,0.0,1,1,True,0.0,False,True,True,neither,True,True,0.0002465830184519291,0.00010529207065701485,1.3791956007480621e-05,1.8707942217588425e-05
D1000_seed0_monte_carlo_vs_graph_control_rep0,4,1000,80-100%,0.997,True,5,1.286281845833674,0.5424896736236748,1,3,False,2000000000.0,False,False,False,both,True,True,0.0010190829634666443,0.000546540948562324,4.0500075556337833e-05,6.645708344876766e-05
D1000_seed0_monte_carlo_vs_graph_control_rep1,2,1000,80-100%,0.999,False,2,2.4141182932652008,1.2070591466326004,1,2,False,2.4141182932652008,False,True,True,both,True,True,0.0005024159327149391,0.0002152079250663519,2.5709043256938457e-05,3.0540977604687214e-05
D1000_seed0_monte_carlo_vs_graph_control_rep1,4,1000,80-100%,0.997,False,9,1.0163876451186766,0.3046980756056036,1,8,False,1000000011.4097964,False,False,False,both,True,False,0.0020409999415278435,0.0009230829309672117,9.970902465283871e-05,0.0001497901976108551
D1000_seed0_minimax_vs_graph_control_rep0,2,1000,80-100%,0.999,False,2,0.0,0.0,1,1,True,1000000010.3216455,False,False,False,both,True,True,0.0003849170170724392,0.00020516803488135338,1.3958080671727657e-05,2.3958971723914146e-05
D1000_seed0_minimax_vs_graph_control_rep0,4,1000,80-100%,0.997,False,7,1.0631939661930954,0.3708683724060248,1,6,False,1000000011.0309541,False,False,False,both,False,False,0.0015392090426757932,0.0007099579088389874,7.233303040266037e-05,0.00012191606219857931
D1000_seed0_minimax_vs_graph_control_rep0,6,1000,80-100%,0.995,False,7,1.0410651994719853,0.34747408818762354,1,7,False,1.0410651994719853,False,True,True,local_only,True,False,0.0017337918980047107,0.0007411651313304901,8.654093835502863e-05,0.00014474894851446152
D1000_seed0_minimax_vs_graph_control_rep0,8,1000,80-100%,0.993,False,4,0.5829206191801468,0.24503619093632575,1,3,False,1000000010.8069665,False,False,False,both,True,True,0.0008507919264957309,0.0004064579261466861,3.7457095459103584e-05,6.529293023049831e-05
D1000_seed0_minimax_vs_graph_control_rep0,10,1000,80-100%,0.991,False,6,0.9426455870059325,0.28023576885925844,1,6,False,0.9426455870059325,False,True,True,local_only,True,True,0.001465582987293601,0.0006150002591311932,7.537682540714741e-05,0.00012949923984706402
D1000_seed0_minimax_vs_graph_control_rep0,12,1000,80-100%,0.989,False,4,0.6004458410237152,0.22492898330201655,1,4,False,0.6004458410237152,False,True,True,local_only,True,False,0.0009850829374045134,0.0004147080471739173,4.8332964070141315e-05,8.84161563590169e-05
