agent,seat,games,wins,losses,draws,win_rate,win_rate_ci95_low,win_rate_ci95_high,mean_match_turns,mean_time_sec,timeout_count,invalid_move_count,nodes_per_move,candidate_evaluations_per_move
alpha_beta,first,1,1,0,0,1.0,0.20654931437723745,1.0,17.0,0.025153111111111112,0,0,415.8888888888889,1312.6666666666667
alpha_beta,second,1,1,0,0,1.0,0.20654931437723745,1.0,20.0,0.026302100000000002,0,0,431.9,1303.6
beam_negamax,first,1,1,0,0,1.0,0.20654931437723745,1.0,9.0,0.0377416,0,0,586.2,2111.4
beam_negamax,second,1,1,0,0,1.0,0.20654931437723745,1.0,24.0,0.044693583333333335,0,0,666.25,2162.0833333333335
graph_control,first,9,3,6,0,0.3333333333333333,0.1205838183869109,0.6457978644196036,16.333333333333332,0.016353533333333333,0,0,0.0,83.61333333333333
graph_control,second,9,3,6,0,0.3333333333333333,0.1205838183869109,0.6457978644196036,10.88888888888889,0.0014510434782608692,0,0,0.0,6.282608695652174
greedy,first,1,0,1,0,0.0,0.0,0.7934506856227626,4.0,0.0014105,0,0,0.0,0.0
greedy,second,1,0,1,0,0.0,0.0,0.7934506856227626,11.0,2.38e-05,0,0,0.0,0.0
minimax,first,1,1,0,0,1.0,0.20654931437723745,1.0,21.0,0.021262454545454546,0,0,309.90909090909093,525.1818181818181
minimax,second,1,1,0,0,1.0,0.20654931437723745,1.0,26.0,0.020436615384615386,0,0,308.0,451.53846153846155
monte_carlo,first,2,1,1,0,0.5,0.09453120573423074,0.9054687942657693,4.5,0.0261552,0,0,0.0,0.0
monte_carlo,second,2,2,0,0,1.0,0.34238022750665303,1.0,12.0,0.00979725,0,0,0.0,0.0
pvs,first,1,1,0,0,1.0,0.20654931437723745,1.0,17.0,0.028229666666666667,0,0,473.77777777777777,1638.5555555555557
pvs,second,1,1,0,0,1.0,0.20654931437723745,1.0,20.0,0.027510899999999998,0,0,459.8,1498.2
random,first,2,1,1,0,0.5,0.09453120573423074,0.9054687942657693,10.5,0.0001708181818181818,0,0,0.0,0.0
random,second,2,0,2,0,0.0,0.0,0.6576197724933469,11.0,9.3e-06,0,0,0.0,0.0
