match_id,turn,dict_size,remaining_bin,remaining_word_rate,graph_control_won,candidate_count,score_range,score_stddev,best_score_tie_count,distinct_score_count,all_candidates_tied,scc_nearly_whole,reachable_chars_all_same,reachable_edges_nearly_same,feature_contribution,greedy_agreement,alpha_beta_agreement,evaluation_time_sec,scc_time_sec,reachability_time_sec,local_time_sec
D1000_seed0_random_vs_graph_control_rep0,2,1000,80-100%,0.999,True,23,1000000012.1666319,203931122.17935532,1,23,False,False,False,False,both,True,True,0.005639500101096928,0.002433040994219482,0.00027366483118385077,0.0004786670906469226
D1000_seed0_random_vs_graph_control_rep0,4,1000,80-100%,0.997,True,8,0.7550341675525303,0.29206630177486864,1,8,False,False,True,True,local_only,,,0.00194191699847579,0.0008391260635107756,9.87079693004489e-05,0.00016170996241271496
D1000_seed0_random_vs_graph_control_rep0,6,1000,80-100%,0.995,True,7,1.189900986631116,0.35225748753578495,1,7,False,False,True,True,local_only,,,0.001637917011976242,0.0007124168332666159,8.400098886340857e-05,0.00013316713739186525
D1000_seed0_random_vs_graph_control_rep0,8,1000,80-100%,0.993,True,4,2.4951243355869757,0.9949795675030543,1,4,False,False,True,True,local_only,,,0.0009407919133082032,0.0004039991181343794,4.783400800079107e-05,7.633306086063385e-05
D1000_seed0_random_vs_graph_control_rep0,10,1000,80-100%,0.991,True,1,0.0,0.0,1,1,True,False,True,True,neither,,,0.00023262505419552326,0.00010020891204476357,1.2417091056704521e-05,1.8541933968663216e-05
D1000_seed0_random_vs_graph_control_rep0,12,1000,80-100%,0.989,True,18,2000000000.0,333333333.3333334,1,18,False,False,False,False,both,,,0.0039833750342950225,0.0018573349807411432,0.00019204127602279186,0.0003264570841565728
D1000_seed0_random_vs_graph_control_rep1,2,1000,80-100%,0.999,False,20,1000000013.713108,217944949.5363945,1,20,False,False,False,False,both,False,False,0.004437791998498142,0.00203412480186671,0.00022541789803653955,0.0003792059142142534
D1000_seed0_random_vs_graph_control_rep1,4,1000,80-100%,0.997,False,11,1000000012.5623237,287479790.4590927,1,11,False,False,False,False,both,,,0.0025044160429388285,0.001161459949798882,0.00012199976481497288,0.0001941670197993517
D1000_seed0_random_vs_graph_control_rep1,6,1000,80-100%,0.995,False,9,1000000011.4778657,314269683.9822641,1,9,False,False,False,False,both,,,0.0019605839625000954,0.0009200830245390534,9.654194582253695e-05,0.00015287299174815416
D1000_seed0_random_vs_graph_control_rep1,8,1000,80-100%,0.993,False,4,12.24330734132393,5.208202736202546,1,4,False,False,False,False,both,,,0.0008315419545397162,0.00040908309165388346,3.620912320911884e-05,6.912392564117908e-05
D1000_seed0_greedy_vs_graph_control_rep0,2,1000,80-100%,0.999,True,1,0.0,0.0,1,1,True,False,True,True,neither,,,0.0002369170542806387,0.00010087492410093546,1.2958073057234287e-05,1.8708989955484867e-05
D1000_seed0_greedy_vs_graph_control_rep0,4,1000,80-100%,0.997,True,5,2000000000.0,632455532.0336759,1,5,False,False,False,False,both,,,0.0009202909423038363,0.0004945439286530018,3.6457902751863e-05,6.041908636689186e-05
