match_id,turn,remaining_word_rate,remaining_bin,graph_start_id,graph_end_id,greedy_start_id,greedy_end_id,greedy_agreement,alpha_beta_start_id,alpha_beta_end_id,alpha_beta_agreement,alpha_beta_timed_out,alpha_beta_is_reference_not_ground_truth
D1000_seed0_random_vs_graph_control_rep0,2,0.999,80-100%,17,20,17,20,True,17,20,True,False,True
D1000_seed0_random_vs_graph_control_rep1,2,0.999,80-100%,5,34,5,61,False,5,59,False,False,True
D1000_seed0_monte_carlo_vs_graph_control_rep0,2,0.999,80-100%,63,55,63,55,True,63,55,True,False,True
D1000_seed0_minimax_vs_graph_control_rep0,6,0.995,80-100%,65,58,65,58,True,65,9,False,False,True
D1000_seed0_minimax_vs_graph_control_rep0,18,0.983,80-100%,28,58,28,58,True,28,29,False,False,True
D1000_seed0_alpha_beta_vs_graph_control_rep0,10,0.991,80-100%,2,37,2,37,True,2,55,False,False,True
D1000_seed0_pvs_vs_graph_control_rep0,6,0.995,80-100%,63,55,63,55,True,63,55,True,False,True
D1000_seed0_beam_negamax_vs_graph_control_rep0,2,0.999,80-100%,63,55,63,55,True,63,55,True,False,True
D1000_seed0_graph_control_vs_random_rep0,5,0.996,80-100%,1,63,1,63,True,1,16,False,False,True
D1000_seed0_graph_control_vs_random_rep1,7,0.994,80-100%,63,55,63,55,True,63,55,True,False,True
D1000_seed0_graph_control_vs_greedy_rep0,5,0.996,80-100%,58,16,58,10,False,58,16,True,False,True
D1000_seed0_graph_control_vs_monte_carlo_rep0,5,0.996,80-100%,0,63,0,14,False,0,9,False,False,True
D1000_seed0_graph_control_vs_monte_carlo_rep1,3,0.998,80-100%,2,37,2,37,True,2,9,False,False,True
D1000_seed0_graph_control_vs_minimax_rep0,5,0.996,80-100%,20,28,20,28,True,20,28,True,False,True
D1000_seed0_graph_control_vs_minimax_rep0,17,0.984,80-100%,63,55,63,55,True,63,55,True,False,True
D1000_seed0_graph_control_vs_alpha_beta_rep0,3,0.998,80-100%,28,65,28,58,False,28,9,False,False,True
D1000_seed0_graph_control_vs_alpha_beta_rep0,15,0.986,80-100%,37,20,37,20,True,37,2,False,False,True
D1000_seed0_graph_control_vs_pvs_rep0,7,0.994,80-100%,46,63,46,63,True,46,0,False,False,True
D1000_seed0_graph_control_vs_pvs_rep0,19,0.982,80-100%,16,7,16,7,True,16,5,False,False,True
D1000_seed0_graph_control_vs_beam_negamax_rep0,11,0.99,80-100%,29,2,29,2,True,29,0,False,False,True
