match_id,dict_size,dictionary_seed,winner,adaptive_depth,agent,attack_score,beam_pruned_move_count,beam_widths_used,completed_root_moves,cutoff_count,edge_count_after,edge_count_before,edge_index,effective_depth,elapsed_ratio,elapsed_time_sec,end_char,end_id,evaluated_moves,evaluation_time_sec,full_survival_evaluations,leaf_evaluations,next_depth,next_required_start_char,nodes_searched,null_window_search_count,null_window_searches,opponent_active_edge_type_count,opponent_destination_count,opponent_legal_word_count,opponent_safe_destination_count,opponent_safe_edge_type_count,opponent_safe_word_count,ordering_evaluations,ordering_time_sec,own_safe_destination_count,own_safe_edge_type_count,own_safe_word_count,player,pruned_count,pruned_move_count,required_start_char,research_count,research_rate,risk_level,root_candidate_count,score,search_time_sec,searched_root_candidate_count,simple_survival_evaluations,start_char,start_id,survival_score,survival_weight,timed_out,total_score,total_search_time_sec,turn
D1000_seed0_random_vs_graph_control_rep0,1000,0,second,,random,,,,,,0,1,833,,,0.001545,し,17,,,,,,し,,,,,,,,,,,,,,,first,,,ANY,,,,,0.0,,,,げ,12,,,False,,,1
D1000_seed0_random_vs_graph_control_rep0,1000,0,second,,graph_control,,,,,,0,1,1176,,,0.005677,ず,20,23,,,0,,ず,0,,,,,,,,,23,,,,,second,,,し,,,,23,12.166631991941887,,23,,し,17,,,False,,,2
D1000_seed0_random_vs_graph_control_rep0,1000,0,second,,random,,,,,,0,1,1388,,,1.4e-05,つ,28,,,,,,つ,,,,,,,,,,,,,,,first,,,ず,,,,,0.0,,,,ず,20,,,False,,,3
D1000_seed0_random_vs_graph_control_rep0,1000,0,second,,graph_control,,,,,,0,1,1969,,,0.001962,ろ,65,8,,,0,,ろ,0,,,,,,,,,8,,,,,second,,,つ,,,,8,11.031095479099816,,8,,つ,28,,,False,,,4
D1000_seed0_random_vs_graph_control_rep0,1000,0,second,,random,,,,,,3,4,4429,,,8e-06,く,9,,,,,,く,,,,,,,,,,,,,,,first,,,ろ,,,,,0.0,,,,ろ,65,,,False,,,5
D1000_seed0_random_vs_graph_control_rep0,1000,0,second,,graph_control,,,,,,1,2,673,,,0.001654,ら,61,7,,,0,,ら,0,,,,,,,,,7,,,,,second,,,く,,,,7,11.317121876653932,,7,,く,9,,,False,,,6
D1000_seed0_random_vs_graph_control_rep0,1000,0,second,,random,,,,,,0,1,4194,,,6e-06,ぷ,46,,,,,,ぷ,,,,,,,,,,,,,,,first,,,ら,,,,,0.0,,,,ら,61,,,False,,,7
D1000_seed0_random_vs_graph_control_rep0,1000,0,second,,graph_control,,,,,,1,2,3191,,,0.000956,る,63,4,,,0,,る,0,,,,,,,,,4,,,,,second,,,ぷ,,,,4,12.467785352628807,,4,,ぷ,46,,,False,,,8
D1000_seed0_random_vs_graph_control_rep0,1000,0,second,,random,,,,,,0,1,4347,,,4e-06,る,63,,,,,,る,,,,,,,,,,,,,,,first,,,る,,,,,0.0,,,,る,63,,,False,,,9
D1000_seed0_random_vs_graph_control_rep0,1000,0,second,,graph_control,,,,,,0,1,4339,,,0.000247,む,55,1,,,0,,む,0,,,,,,,,,1,,,,,second,,,る,,,,1,10.874664685891865,,1,,る,63,,,False,,,10
D1000_seed0_random_vs_graph_control_rep0,1000,0,second,,random,,,,,,1,2,3741,,,8e-06,い,1,,,,,,い,,,,,,,,,,,,,,,first,,,む,,,,,0.0,,,,む,55,,,False,,,11
D1000_seed0_random_vs_graph_control_rep0,1000,0,second,,graph_control,,,,,,0,1,131,,,0.004001,る,63,18,,,0,,る,0,,,,,,,,,18,,,,,second,,,い,,,,18,1000000000.0,,18,,い,1,,,False,,,12
D1000_seed0_random_vs_graph_control_rep1,1000,0,first,,random,,,,,,0,1,2997,,,0.00027,か,5,,,,,,か,,,,,,,,,,,,,,,first,,,ANY,,,,,0.0,,,,ふ,44,,,False,,,1
D1000_seed0_random_vs_graph_control_rep1,1000,0,first,,graph_control,,,,,,0,1,374,,,0.004456,に,34,20,,,0,,に,0,,,,,,,,,20,,,,,second,,,か,,,,20,13.713107891122034,,20,,か,5,,,False,,,2
D1000_seed0_random_vs_graph_control_rep1,1000,0,first,,random,,,,,,0,1,2319,,,9e-06,き,7,,,,,,き,,,,,,,,,,,,,,,first,,,に,,,,,0.0,,,,に,34,,,False,,,3
D1000_seed0_random_vs_graph_control_rep1,1000,0,first,,graph_control,,,,,,1,2,539,,,0.002522,る,63,11,,,0,,る,0,,,,,,,,,11,,,,,second,,,き,,,,11,12.562323739088072,,11,,き,7,,,False,,,4
D1000_seed0_random_vs_graph_control_rep1,1000,0,first,,random,,,,,,0,1,4339,,,6e-06,む,55,,,,,,む,,,,,,,,,,,,,,,first,,,る,,,,,0.0,,,,る,63,,,False,,,5
D1000_seed0_random_vs_graph_control_rep1,1000,0,first,,graph_control,,,,,,0,1,3801,,,0.001975,ら,61,9,,,0,,ら,0,,,,,,,,,9,,,,,second,,,む,,,,9,11.477865751668727,,9,,む,55,,,False,,,6
D1000_seed0_random_vs_graph_control_rep1,1000,0,first,,random,,,,,,0,1,4194,,,6e-06,ぷ,46,,,,,,ぷ,,,,,,,,,,,,,,,first,,,ら,,,,,0.0,,,,ら,61,,,False,,,7
D1000_seed0_random_vs_graph_control_rep1,1000,0,first,,graph_control,,,,,,1,2,3191,,,0.000845,る,63,4,,,0,,る,0,,,,,,,,,4,,,,,second,,,ぷ,,,,4,22.392314990512332,,4,,ぷ,46,,,False,,,8
D1000_seed0_random_vs_graph_control_rep1,1000,0,first,,random,,,,,,0,1,4347,,,3e-06,る,63,,,,,,る,,,,,,,,,,,,,,,first,,,る,,,,,0.0,,,,る,63,,,False,,,9
D1000_seed0_greedy_vs_graph_control_rep0,1000,0,second,,greedy,,,,,,0,1,4347,,,0.002781,る,63,640,,,,,る,,,,,,,,,,,,,,,first,,,ANY,,,,,-30.0,,,,る,63,,,False,,,1
D1000_seed0_greedy_vs_graph_control_rep0,1000,0,second,,graph_control,,,,,,0,1,4339,,,0.000252,む,55,1,,,0,,む,0,,,,,,,,,1,,,,,second,,,る,,,,1,10.856308927238485,,1,,る,63,,,False,,,2
D1000_seed0_greedy_vs_graph_control_rep0,1000,0,second,,greedy,,,,,,0,1,3801,,,4e-05,ら,61,9,,,,,ら,,,,,,,,,,,,,,,first,,,む,,,,,-129.5,,,,む,55,,,False,,,3
D1000_seed0_greedy_vs_graph_control_rep0,1000,0,second,,graph_control,,,,,,0,1,4211,,,0.000934,る,63,5,,,0,,る,0,,,,,,,,,5,,,,,second,,,ら,,,,5,1000000000.0,,5,,ら,61,,,False,,,4
D1000_seed0_monte_carlo_vs_graph_control_rep0,1000,0,second,,monte_carlo,,,,,,0,1,4347,,,0.057706,る,63,,,,,,る,,,,,,,,,,,,,,,first,,,ANY,,,,,0.8,,,,る,63,,,False,,,1
D1000_seed0_monte_carlo_vs_graph_control_rep0,1000,0,second,,graph_control,,,,,,0,1,4339,,,0.000259,む,55,1,,,0,,む,0,,,,,,,,,1,,,,,second,,,る,,,,1,10.856308927238485,,1,,る,63,,,False,,,2
D1000_seed0_monte_carlo_vs_graph_control_rep0,1000,0,second,,monte_carlo,,,,,,0,1,3801,,,0.011292,ら,61,,,,,,ら,,,,,,,,,,,,,,,first,,,む,,,,,0.6,,,,む,55,,,False,,,3
D1000_seed0_monte_carlo_vs_graph_control_rep0,1000,0,second,,graph_control,,,,,,0,1,4211,,,0.001021,る,63,5,,,0,,る,0,,,,,,,,,5,,,,,second,,,ら,,,,5,1000000000.0,,5,,ら,61,,,False,,,4
D1000_seed0_monte_carlo_vs_graph_control_rep1,1000,0,first,,monte_carlo,,,,,,1,2,539,,,0.054874,る,63,,,,,,る,,,,,,,,,,,,,,,first,,,ANY,,,,,0.9,,,,き,7,,,False,,,1
D1000_seed0_monte_carlo_vs_graph_control_rep1,1000,0,first,,graph_control,,,,,,0,1,4347,,,0.000494,る,63,2,,,0,,る,0,,,,,,,,,2,,,,,second,,,る,,,,2,13.22832577623584,,2,,る,63,,,False,,,2
D1000_seed0_monte_carlo_vs_graph_control_rep1,1000,0,first,,monte_carlo,,,,,,0,1,4339,,,0.002045,む,55,,,,,,む,,,,,,,,,,,,,,,first,,,る,,,,,0.4,,,,る,63,,,False,,,3
D1000_seed0_monte_carlo_vs_graph_control_rep1,1000,0,first,,graph_control,,,,,,0,1,3801,,,0.002013,ら,61,9,,,0,,ら,0,,,,,,,,,9,,,,,second,,,む,,,,9,11.4097964077652,,9,,む,55,,,False,,,4
D1000_seed0_monte_carlo_vs_graph_control_rep1,1000,0,first,,monte_carlo,,,,,,0,1,4211,,,0.004859,る,63,,,,,,る,,,,,,,,,,,,,,,first,,,ら,,,,,1.0,,,,ら,61,,,False,,,5
D1000_seed0_minimax_vs_graph_control_rep0,1000,0,first,False,minimax,-49.0,0,{},8,0,0,1,314,3,0.042462500277906656,0.008493,び,42,8,0.00515204737894237,44,64,3,び,80,0,0,2,2,3,1,1,1,754,0.0028799163410440087,61,591,845,first,667,667,ANY,0,0.0,normal,640,237.06363636363636,0.005932249943725765,8,168,お,4,0.0,0.0,False,-49.0,0.008492500055581331,1
D1000_seed0_minimax_vs_graph_control_rep0,1000,0,first,,graph_control,,,,,,0,1,2875,,,0.000382,す,19,2,,,0,,す,0,,,,,,,,,2,,,,,second,,,び,,,,2,10.321645510629102,,2,,び,42,,,False,,,2
D1000_seed0_minimax_vs_graph_control_rep0,1000,0,first,False,minimax,-218.0,0,{},8,0,0,1,1304,3,0.09558396006468683,0.019117,げ,12,8,0.016121551278047264,146,246,3,げ,289,0,0,7,7,10,6,6,6,488,0.0018488360801711679,17,17,23,first,195,195,す,0,0.0,normal,18,237.06363636363636,0.019029416027478874,8,633,す,19,0.0,0.0,False,-218.0,0.019116792012937367,3
D1000_seed0_minimax_vs_graph_control_rep0,1000,0,first,,graph_control,,,,,,0,1,844,,,0.001515,つ,28,7,,,0,,つ,0,,,,,,,,,7,,,,,second,,,げ,,,,7,11.030954175133836,,7,,げ,12,,,False,,,4
D1000_seed0_minimax_vs_graph_control_rep0,1000,0,first,False,minimax,-270.0,0,{},8,0,0,1,1969,3,0.1511860452592373,0.030237,ろ,65,8,0.025733665213920176,245,391,3,ろ,458,0,0,7,7,10,7,7,10,699,0.0026605818420648575,8,8,12,first,235,235,つ,0,0.0,normal,8,150.425,0.03018962498754263,8,798,つ,28,0.0,0.0,False,-270.0,0.030237209051847458,5
D1000_seed0_minimax_vs_graph_control_rep0,1000,0,first,,graph_control,,,,,,0,1,4478,,,0.00172,や,58,7,,,0,,や,0,,,,,,,,,7,,,,,second,,,ろ,,,,7,11.081246653811862,,7,,ろ,65,,,False,,,6
D1000_seed0_minimax_vs_graph_control_rep0,1000,0,first,False,minimax,-138.5,0,{},6,0,0,1,3960,3,0.1129835395840928,0.022597,ざ,16,6,0.019605073728598654,215,268,3,ざ,313,0,0,4,4,7,3,3,4,456,0.0017305853543803096,6,6,6,first,137,137,や,0,0.0,caution,6,215.17000000000002,0.02255391702055931,6,488,や,58,267.0,0.35,False,-45.05000000000001,0.02259670791681856,7
D1000_seed0_minimax_vs_graph_control_rep0,1000,0,first,,graph_control,,,,,,0,1,1095,,,0.000838,き,7,4,,,0,,き,0,,,,,,,,,4,,,,,second,,,ざ,,,,4,10.80696649588166,,4,,ざ,16,,,False,,,8
D1000_seed0_minimax_vs_graph_control_rep0,1000,0,first,False,minimax,-240.0,0,{},8,0,0,1,541,3,0.14251750020775944,0.028504,ろ,65,8,0.024485452100634575,277,342,3,ろ,400,0,0,6,6,9,6,6,9,629,0.0024042041040956974,10,10,20,first,220,220,き,0,0.0,normal,11,215.17000000000002,0.028444249997846782,8,696,き,7,0.0,0.0,False,-240.0,0.028503500041551888,9
D1000_seed0_minimax_vs_graph_control_rep0,1000,0,first,,graph_control,,,,,,3,4,4429,,,0.001456,く,9,6,,,0,,く,0,,,,,,,,,6,,,,,second,,,ろ,,,,6,11.011604508895532,,6,,ろ,65,,,False,,,10
D1000_seed0_minimax_vs_graph_control_rep0,1000,0,first,False,minimax,-120.0,0,{},7,0,0,1,622,3,0.13133333530277014,0.026267,ぐ,10,7,0.02260441135149449,242,322,3,ぐ,377,0,0,4,4,4,4,4,4,565,0.0021462574368342757,7,7,9,first,182,182,く,0,0.0,caution,7,108.00125,0.026216916041448712,7,553,く,9,249.45,0.35,False,-32.69250000000001,0.026266667060554028,11
D1000_seed0_minimax_vs_graph_control_rep0,1000,0,first,,graph_control,,,,,,0,1,682,,,0.000985,う,2,4,,,0,,う,0,,,,,,,,,4,,,,,second,,,ぐ,,,,4,10.669643997363075,,4,,ぐ,10,,,False,,,12
D1000_seed0_minimax_vs_graph_control_rep0,1000,0,first,False,minimax,-219.5,0,{},8,0,0,1,144,3,0.150648329872638,0.03013,ぎ,8,8,0.02594975510146469,280,367,3,ぎ,433,0,0,8,8,8,7,7,7,635,0.00243645953014493,11,11,11,first,192,192,う,0,0.0,normal,12,120.19999999999999,0.03006362495943904,8,828,う,2,0.0,0.0,False,-219.5,0.030129665974527597,13
D1000_seed0_minimax_vs_graph_control_rep0,1000,0,first,,graph_control,,,,,,0,1,607,,,0.001749,る,63,8,,,0,,る,0,,,,,,,,,8,,,,,second,,,ぎ,,,,8,12.47949037724313,,8,,ぎ,8,,,False,,,14
D1000_seed0_minimax_vs_graph_control_rep0,1000,0,first,False,minimax,-30.0,0,{},2,0,0,1,4347,3,0.025340209831483662,0.005068,る,63,2,0.004391169873997569,38,62,3,る,73,0,0,1,1,1,1,1,1,96,0.00037070701364427805,2,2,2,first,21,21,る,0,0.0,critical,2,150.0,0.005037249997258186,2,129,る,63,170.2,1.5,False,225.29999999999998,0.005068041966296732,15
D1000_seed0_minimax_vs_graph_control_rep0,1000,0,first,,graph_control,,,,,,0,1,4339,,,0.000249,む,55,1,,,0,,む,0,,,,,,,,,1,,,,,second,,,る,,,,1,10.968441583972794,,1,,る,63,,,False,,,16
D1000_seed0_minimax_vs_graph_control_rep0,1000,0,first,False,minimax,-290.0,0,{},8,0,0,1,3768,3,0.12698104023002088,0.025396,つ,28,8,0.02158566319849342,158,320,3,つ,399,0,0,7,7,11,7,7,11,570,0.0021920824656262994,8,8,9,first,161,161,む,0,0.0,caution,9,150.0,0.025339290965348482,8,717,む,55,118.84285714285714,0.35,False,-248.405,0.025396208046004176,17
D1000_seed0_minimax_vs_graph_control_rep0,1000,0,first,,graph_control,,,,,,0,1,1962,,,0.001667,や,58,7,,,0,,や,0,,,,,,,,,7,,,,,second,,,つ,,,,7,11.271442997277568,,7,,つ,28,,,False,,,18
D1000_seed0_minimax_vs_graph_control_rep0,1000,0,first,False,minimax,-90.0,0,{},5,0,0,1,3954,3,0.08528479491360486,0.017057,ぐ,10,5,0.014596755499951541,105,206,3,ぐ,256,0,0,3,3,3,3,3,3,363,0.00139383296482265,5,5,5,first,100,100,や,0,0.0,danger,5,184.35250000000002,0.017005832982249558,5,474,や,58,380.7,0.8,False,214.56,0.01705695898272097,19
D1000_seed0_minimax_vs_graph_control_rep0,1000,0,first,,graph_control,,,,,,0,1,681,,,0.000738,い,1,3,,,0,,い,0,,,,,,,,,3,,,,,second,,,ぐ,,,,3,10.548276020061673,,3,,ぐ,10,,,False,,,20
D1000_seed0_minimax_vs_graph_control_rep0,1000,0,first,False,minimax,1000000.0,0,{},8,0,0,1,131,3,0.10510416992474347,0.021021,る,63,8,0.017734795925207436,134,264,3,る,331,0,0,0,0,0,0,0,0,522,0.0019857503939419985,17,17,21,first,186,186,い,0,0.0,normal,18,999999.0,0.020932208048179746,8,765,い,1,0.0,0.0,False,1000000.0,0.021020833984948695,21
