agent_name,dict_size,end_char,move_count,move_rate,timeout_count,average_elapsed_time_sec,ended_with_n_count
alpha_beta,1000,あ,1,0.012658,0,0.005995,0
alpha_beta,1000,い,1,0.012658,0,0.006186,0
alpha_beta,1000,え,4,0.050633,0,0.004824,0
alpha_beta,1000,ぐ,13,0.164557,0,0.000938,0
alpha_beta,1000,け,2,0.025316,0,0.011846,0
alpha_beta,1000,ざ,1,0.012658,0,0.004010,0
alpha_beta,1000,じ,1,0.012658,0,0.007531,0
alpha_beta,1000,ず,2,0.025316,0,0.004563,0
alpha_beta,1000,つ,1,0.012658,0,0.007884,0
alpha_beta,1000,ぴ,5,0.063291,0,0.006197,0
alpha_beta,1000,ぶ,5,0.063291,0,0.003920,0
alpha_beta,1000,ぷ,3,0.037975,0,0.004822,0
alpha_beta,1000,み,1,0.012658,0,0.008022,0
alpha_beta,1000,む,2,0.025316,0,0.002326,0
alpha_beta,1000,ゆ,1,0.012658,0,0.002980,0
alpha_beta,1000,ら,7,0.088608,0,0.002062,0
alpha_beta,1000,り,6,0.075949,0,0.004459,0
alpha_beta,1000,る,23,0.291139,0,0.003163,0
alpha_beta,3000,い,2,0.017241,0,0.145172,0
alpha_beta,3000,が,1,0.008621,0,0.205525,0
alpha_beta,3000,ぎ,4,0.034483,0,0.159620,0
alpha_beta,3000,ご,2,0.017241,0,0.202379,0
alpha_beta,3000,す,2,0.017241,0,0.135807,0
alpha_beta,3000,ず,14,0.120690,0,0.069551,0
alpha_beta,3000,て,1,0.008621,0,0.308200,0
alpha_beta,3000,と,1,0.008621,0,0.095414,0
alpha_beta,3000,ど,1,0.008621,0,0.186006,0
alpha_beta,3000,ぬ,1,0.008621,0,0.104311,0
alpha_beta,3000,ね,3,0.025862,0,0.220490,0
alpha_beta,3000,ぷ,1,0.008621,0,0.205879,0
alpha_beta,3000,ぺ,4,0.034483,0,0.226021,0
alpha_beta,3000,ぽ,1,0.008621,0,0.168987,0
alpha_beta,3000,む,20,0.172414,0,0.209861,0
alpha_beta,3000,め,4,0.034483,0,0.235529,0
alpha_beta,3000,や,7,0.060345,0,0.258969,0
alpha_beta,3000,ら,8,0.068966,0,0.164026,0
alpha_beta,3000,る,39,0.336207,0,0.044927,0
alpha_beta,5000,う,3,0.021429,0,0.597423,0
alpha_beta,5000,が,1,0.007143,0,0.982705,0
alpha_beta,5000,ぐ,2,0.014286,0,0.939276,0
alpha_beta,5000,げ,1,0.007143,0,1.398748,0
alpha_beta,5000,ご,1,0.007143,0,0.504263,0
alpha_beta,5000,ざ,2,0.014286,0,1.052388,0
alpha_beta,5000,す,1,0.007143,0,0.113989,0
alpha_beta,5000,ず,7,0.050000,0,0.565049,0
alpha_beta,5000,ぞ,1,0.007143,0,0.790943,0
alpha_beta,5000,ど,1,0.007143,0,1.487658,0
alpha_beta,5000,に,1,0.007143,1,2.000013,0
alpha_beta,5000,ぬ,2,0.014286,0,0.489707,0
alpha_beta,5000,ね,2,0.014286,0,1.608477,0
alpha_beta,5000,び,1,0.007143,0,0.836848,0
alpha_beta,5000,ぴ,2,0.014286,0,0.483839,0
alpha_beta,5000,ぷ,2,0.014286,0,0.680566,0
alpha_beta,5000,ぺ,4,0.028571,0,0.722088,0
alpha_beta,5000,む,8,0.057143,0,1.332119,0
alpha_beta,5000,や,1,0.007143,0,1.509226,0
alpha_beta,5000,よ,2,0.014286,0,0.841542,0
alpha_beta,5000,ら,14,0.100000,0,1.200005,0
alpha_beta,5000,り,1,0.007143,1,2.000010,0
alpha_beta,5000,る,80,0.571429,0,0.240388,0
alpha_beta,10000,あ,3,0.014019,1,1.099996,0
alpha_beta,10000,い,9,0.042056,0,0.475705,0
alpha_beta,10000,う,3,0.014019,1,0.966937,0
alpha_beta,10000,き,2,0.009346,0,0.392927,0
alpha_beta,10000,ぎ,12,0.056075,0,1.030906,0
alpha_beta,10000,ぐ,1,0.004673,1,2.000028,0
alpha_beta,10000,げ,3,0.014019,0,0.741767,0
alpha_beta,10000,ざ,1,0.004673,0,0.890339,0
alpha_beta,10000,し,1,0.004673,0,0.849747,0
alpha_beta,10000,す,1,0.004673,0,0.638546,0
alpha_beta,10000,ず,15,0.070093,1,1.471976,0
alpha_beta,10000,ぜ,3,0.014019,0,1.230431,0
alpha_beta,10000,つ,1,0.004673,1,2.000014,0
alpha_beta,10000,と,8,0.037383,0,0.791329,0
alpha_beta,10000,な,2,0.009346,1,1.295813,0
alpha_beta,10000,ぬ,7,0.032710,4,1.625711,0
alpha_beta,10000,び,3,0.014019,2,1.388918,0
alpha_beta,10000,ふ,3,0.014019,1,1.053770,0
alpha_beta,10000,ぷ,3,0.014019,1,1.570443,0
alpha_beta,10000,ぽ,2,0.009346,0,1.292047,0
alpha_beta,10000,む,1,0.004673,0,0.757129,0
alpha_beta,10000,ゆ,1,0.004673,1,2.000009,0
alpha_beta,10000,よ,1,0.004673,0,1.083330,0
alpha_beta,10000,ら,1,0.004673,0,0.636916,0
alpha_beta,10000,り,5,0.023364,1,0.881352,0
alpha_beta,10000,る,120,0.560748,17,1.032246,0
alpha_beta,10000,ん,2,0.009346,0,0.000004,2
greedy,1000,あ,4,0.062500,0,0.000004,0
greedy,1000,い,1,0.015625,0,0.000004,0
greedy,1000,え,4,0.062500,0,0.000015,0
greedy,1000,く,1,0.015625,0,0.000003,0
greedy,1000,ぐ,3,0.046875,0,0.000011,0
greedy,1000,ざ,1,0.015625,0,0.000020,0
