agent_name,dict_size,match_count,win_count,loss_count,draw_count,win_rate,average_turn_count,average_used_word_count,average_time_per_move_sec,max_time_sec,timeout_count
alpha_beta,1000,24,15,9,0,0.625000,1.508333,1.508333,0.001849,0.013116,0
alpha_beta,3000,24,20,4,0,0.833333,21.258333,21.258333,0.169988,0.869798,0
alpha_beta,5000,24,23,1,0,0.958333,39.208333,39.208333,0.545965,2.000013,1.600000
alpha_beta,10000,24,22,2,0,0.916667,47.700000,47.700000,0.988851,2.000155,91.400000
greedy,1000,24,15,9,0,0.625000,1.491667,1.491667,0.000844,0.001510,0
greedy,3000,24,12.400000,11.600000,0,0.516667,15.716667,15.716667,0.000790,0.017751,0
greedy,5000,24,12.600000,11.400000,0,0.525000,19.058333,19.058333,0.001698,0.037105,0
greedy,10000,24,13,11,0,0.541667,46.558333,46.558333,0.003948,0.182770,0
minimax,1000,24,15,9,0,0.625000,1.508333,1.508333,0.005699,0.057551,0
minimax,3000,24,20,4,0,0.833333,25.266667,25.266667,0.444298,1.014131,0
minimax,5000,24,18,6,0,0.750000,34.483333,34.483333,0.866499,2.000058,15.800000
minimax,10000,24,18,6,0,0.750000,53.250000,53.250000,0.802098,2.005653,135.200000
monte_carlo,1000,24,14.800000,9.200000,0,0.616667,1.900000,1.900000,0.002729,0.006756,0
monte_carlo,3000,24,7.400000,16.600000,0,0.308333,22.725000,22.725000,0.019912,0.087465,0
monte_carlo,5000,24,6,18,0,0.250000,24.966667,24.966667,0.059119,0.241439,0
monte_carlo,10000,24,6.200000,17.800000,0,0.258333,52.841667,52.841667,0.297788,1.269564,0
random,1000,24,0.200000,23.800000,0,0.008333,3.408333,3.408333,0.000022,0.000229,0
random,3000,24,0.200000,23.800000,0,0.008333,26.116667,26.116667,0.000009,0.000235,0
random,5000,24,0.400000,23.600000,0,0.016667,29.066667,29.066667,0.000012,0.001161,0
random,10000,24,0.800000,23.200000,0,0.033333,56.750000,56.750000,0.000013,0.000684,0
