dict_size,random_seed,char,start_count,end_count,total_count,start_rate,end_rate,total_rate
1000,0,あ,33,24,57,0.033000,0.024000,0.028500
1000,0,い,30,107,137,0.030000,0.107000,0.068500
1000,0,う,24,109,133,0.024000,0.109000,0.066500
1000,0,え,10,8,18,0.010000,0.008000,0.009000
1000,0,お,34,1,35,0.034000,0.001000,0.017500
1000,0,か,54,9,63,0.054000,0.009000,0.031500
1000,0,が,9,3,12,0.009000,0.003000,0.006000
1000,0,き,36,33,69,0.036000,0.033000,0.034500
1000,0,ぎ,12,4,16,0.012000,0.004000,0.008000
1000,0,く,19,59,78,0.019000,0.059000,0.039000
1000,0,ぐ,2,9,11,0.002000,0.009000,0.005500
1000,0,け,19,8,27,0.019000,0.008000,0.013500
1000,0,げ,8,3,11,0.008000,0.003000,0.005500
1000,0,こ,30,5,35,0.030000,0.005000,0.017500
1000,0,ご,9,9,18,0.009000,0.009000,0.009000
1000,0,さ,29,6,35,0.029000,0.006000,0.017500
1000,0,ざ,4,4,8,0.004000,0.004000,0.004000
1000,0,し,59,25,84,0.059000,0.025000,0.042000
1000,0,じ,32,7,39,0.032000,0.007000,0.019500
1000,0,す,14,29,43,0.014000,0.029000,0.021500
1000,0,ず,2,11,13,0.002000,0.011000,0.006500
1000,0,せ,29,5,34,0.029000,0.005000,0.017000
1000,0,ぜ,5,0,5,0.005000,0.000000,0.002500
1000,0,そ,22,2,24,0.022000,0.002000,0.012000
1000,0,ぞ,2,1,3,0.002000,0.001000,0.001500
1000,0,た,19,8,27,0.019000,0.008000,0.013500
1000,0,だ,13,3,16,0.013000,0.003000,0.008000
1000,0,ち,24,19,43,0.024000,0.019000,0.021500
1000,0,つ,10,44,54,0.010000,0.044000,0.027000
1000,0,て,24,8,32,0.024000,0.008000,0.016000
1000,0,で,5,2,7,0.005000,0.002000,0.003500
1000,0,と,20,32,52,0.020000,0.032000,0.026000
1000,0,ど,18,16,34,0.018000,0.016000,0.017000
1000,0,な,16,1,17,0.016000,0.001000,0.008500
1000,0,に,12,8,20,0.012000,0.008000,0.010000
1000,0,ぬ,2,2,4,0.002000,0.002000,0.002000
1000,0,ね,10,1,11,0.010000,0.001000,0.005500
1000,0,の,12,4,16,0.012000,0.004000,0.008000
1000,0,は,25,0,25,0.025000,0.000000,0.012500
1000,0,ば,9,3,12,0.009000,0.003000,0.006000
1000,0,ぱ,10,0,10,0.010000,0.000000,0.005000
1000,0,ひ,22,4,26,0.022000,0.004000,0.013000
1000,0,び,6,2,8,0.006000,0.002000,0.004000
1000,0,ぴ,0,1,1,0.000000,0.001000,0.000500
