dict_size,rank,end_char,move_count,move_rate,ended_with_n_count,average_elapsed_time_sec
1000,1,る,34.400000,0.292020,0,0.002553
1000,2,ぬ,16.800000,0.142615,0,0.002860
1000,3,ぴ,16,0.135823,0,0.002313
1000,4,す,6,0.050934,0,0.000413
1000,5,う,5.600000,0.047538,0,0.000668
1000,6,む,5.200000,0.044143,0,0.000308
1000,7,ず,4,0.033956,0,0.000017
1000,8,ぐ,2.600000,0.022071,0,0.001662
1000,9,く,2.400000,0.020374,0,0.005069
1000,10,い,1.800000,0.015280,0,0.000508
1000,11,と,1.800000,0.015280,0,0.006344
1000,12,や,1.800000,0.015280,0,0.000237
1000,13,ろ,1.800000,0.015280,0,0.005662
1000,14,つ,1.600000,0.013582,0,0.001142
1000,15,え,1.200000,0.010187,0,0.001482
1000,16,き,1.200000,0.010187,0,0.000042
1000,17,ぷ,1.200000,0.010187,0,0.000002
1000,18,か,1,0.008489,0,0.000362
1000,19,ば,1,0.008489,0,0.000743
1000,20,よ,1,0.008489,0,0.000950
3000,1,る,333.800000,0.250413,0,0.140837
3000,2,む,88.600000,0.066467,0,0.280536
3000,3,う,67.600000,0.050713,0,0.022514
3000,4,い,66.800000,0.050113,0,0.011017
3000,5,す,66.600000,0.049962,0,0.020204
3000,6,く,54.200000,0.040660,0,0.013830
3000,7,ず,52.800000,0.039610,0,0.139218
3000,8,き,51.600000,0.038710,0,0.012808
3000,9,ぐ,44,0.033008,0,0.448512
3000,10,と,35,0.026257,0,0.079704
3000,11,り,32.400000,0.024306,0,0.029333
3000,12,や,28,0.021005,0,0.240129
3000,13,ぬ,27.400000,0.020555,0,0.233466
3000,14,つ,27.200000,0.020405,0,0.054100
3000,15,ふ,23.800000,0.017854,0,0.033287
3000,16,ぷ,23.400000,0.017554,0,0.413976
3000,17,げ,22.600000,0.016954,0,0.122533
3000,18,じ,22,0.016504,0,0.036842
3000,19,ぎ,21.600000,0.016204,0,0.255076
3000,20,ん,20.200000,0.015154,20.200000,0.000002
5000,1,る,496.400000,0.281821,0,0.326340
5000,2,む,115.600000,0.065630,0,0.553668
5000,3,い,108.800000,0.061769,0,0.124085
5000,4,う,77.600000,0.044056,0,0.294707
5000,5,ず,76.600000,0.043488,0,0.448972
5000,6,す,73.800000,0.041898,0,0.170086
5000,7,く,58.400000,0.033155,0,0.107798
5000,8,き,57.800000,0.032815,0,0.054285
5000,9,つ,49.800000,0.028273,0,0.712072
5000,10,り,49.800000,0.028273,0,0.503682
5000,11,ぷ,47.600000,0.027024,0,0.682588
5000,12,と,43.800000,0.024867,0,0.200452
5000,13,じ,43.400000,0.024639,0,0.094478
5000,14,ぐ,42.600000,0.024185,0,0.557631
5000,15,ん,40,0.022709,40,0.000002
5000,16,ぎ,33.400000,0.018962,0,0.748411
5000,17,ら,27.600000,0.015669,0,0.605224
5000,18,ふ,25.600000,0.014534,0,0.119954
5000,19,ゆ,23.800000,0.013512,0,0.101117
5000,20,げ,20.600000,0.011695,0,0.240749
10000,1,る,1190.200000,0.385777,0,0.583012
10000,2,ず,258,0.083625,0,0.501187
10000,3,い,203.400000,0.065928,0,0.150041
10000,4,す,155.800000,0.050499,0,0.206023
10000,5,つ,112.400000,0.036432,0,0.412480
10000,6,と,100.200000,0.032478,0,0.211604
10000,7,む,95.800000,0.031051,0,0.210437
10000,8,ゆ,80.800000,0.026190,0,0.234048
10000,9,ぬ,75.800000,0.024569,0,0.859997
10000,10,き,71.400000,0.023143,0,0.149895
10000,11,ふ,61.200000,0.019837,0,0.155001
10000,12,な,60.400000,0.019577,0,0.262487
10000,13,ん,60,0.019448,60,0.000003
10000,14,り,54,0.017503,0,0.301544
10000,15,く,53.800000,0.017438,0,0.121920
10000,16,う,46.800000,0.015169,0,0.203700
10000,17,あ,46.200000,0.014975,0,0.145804
10000,18,じ,44,0.014262,0,0.179806
10000,19,げ,42,0.013613,0,0.224899
10000,20,び,25.400000,0.008233,0,0.310028
