agent_name,dict_size,end_char,move_count,move_rate,timeout_count,average_elapsed_time_sec,ended_with_n_count
aggressive_pvs,20000,あ,6,0.004736,0,0.010141,0
aggressive_pvs,20000,い,46,0.036306,0,0.018165,0
aggressive_pvs,20000,う,108,0.085241,0,0.022465,0
aggressive_pvs,20000,が,4,0.003157,0,0.023505,0
aggressive_pvs,20000,き,10,0.007893,0,0.004677,0
aggressive_pvs,20000,ぎ,47,0.037096,0,0.021247,0
aggressive_pvs,20000,く,7,0.005525,0,0.014301,0
aggressive_pvs,20000,ぐ,65,0.051302,0,0.022679,0
aggressive_pvs,20000,け,4,0.003157,0,0.020657,0
aggressive_pvs,20000,げ,15,0.011839,0,0.023396,0
aggressive_pvs,20000,ご,7,0.005525,0,0.022440,0
aggressive_pvs,20000,ざ,35,0.027624,0,0.027584,0
aggressive_pvs,20000,し,2,0.001579,0,0.001507,0
aggressive_pvs,20000,じ,6,0.004736,0,0.001700,0
aggressive_pvs,20000,す,32,0.025257,0,0.026999,0
aggressive_pvs,20000,ず,75,0.059195,0,0.021948,0
aggressive_pvs,20000,ぜ,12,0.009471,0,0.020736,0
aggressive_pvs,20000,ち,6,0.004736,0,0.006919,0
aggressive_pvs,20000,つ,88,0.069455,0,0.020383,0
aggressive_pvs,20000,と,14,0.011050,0,0.021668,0
aggressive_pvs,20000,ど,27,0.021310,0,0.021429,0
aggressive_pvs,20000,な,6,0.004736,0,0.019325,0
aggressive_pvs,20000,ぬ,5,0.003946,0,0.027905,0
aggressive_pvs,20000,ね,26,0.020521,0,0.020330,0
aggressive_pvs,20000,の,9,0.007103,0,0.029750,0
aggressive_pvs,20000,ば,14,0.011050,0,0.020960,0
aggressive_pvs,20000,ぱ,4,0.003157,0,0.023290,0
aggressive_pvs,20000,び,19,0.014996,0,0.023575,0
aggressive_pvs,20000,ぴ,13,0.010260,0,0.022357,0
aggressive_pvs,20000,ふ,7,0.005525,0,0.010201,0
aggressive_pvs,20000,ぷ,27,0.021310,0,0.025470,0
aggressive_pvs,20000,べ,6,0.004736,0,0.021317,0
aggressive_pvs,20000,ぽ,7,0.005525,0,0.021969,0
aggressive_pvs,20000,む,139,0.109708,0,0.031200,0
aggressive_pvs,20000,め,12,0.009471,0,0.019355,0
aggressive_pvs,20000,も,1,0.000789,0,0.020882,0
