matchup,first_agent,second_agent,match_id,dict_size,random_seed,winner,loss_reason,turn,player,agent,required_start_char,edge_index,start_id,end_id,edge_count_before,edge_count_after,previous_word,word,start_char,end_char,next_required_start_char,elapsed_time_sec,timed_out,score,effective_depth,next_depth,adaptive_depth,pruned_count,nodes_searched,leaf_evaluations,completed_root_moves,cutoff_count,pruned_move_count,beam_pruned_move_count,null_window_search_count,research_count,beam_widths_used,evaluated_moves,chain_so_far
greedy vs alpha_beta,greedy,alpha_beta,D20000_seed0_greedy_vs_alpha_beta_0,20000,0,second,ended_with_n,1,first,greedy,ANY,35,0,35,1,0,,,あ,ぬ,ぬ,1.000164,True,-508.2713636363636,,,,,,,,,,,,,,589,あ→ぬ
greedy vs alpha_beta,greedy,alpha_beta,D20000_seed0_greedy_vs_alpha_beta_0,20000,0,second,ended_with_n,2,second,alpha_beta,ぬ,2443,35,63,4,3,,,ぬ,る,る,1.000019,True,-834.8322058823529,4,3,True,0,34,30,0,0,0,0,0,0,{},0,あ→ぬ -> ぬ→る
greedy vs alpha_beta,greedy,alpha_beta,D20000_seed0_greedy_vs_alpha_beta_0,20000,0,second,ended_with_n,3,first,greedy,る,4347,63,63,3,2,,,る,る,る,0.014295,False,-814.4372727272727,,,,,,,,,,,,,,20,あ→ぬ -> ぬ→る -> る→る
greedy vs alpha_beta,greedy,alpha_beta,D20000_seed0_greedy_vs_alpha_beta_0,20000,0,second,ended_with_n,4,second,alpha_beta,る,4347,63,63,2,1,,,る,る,る,1.000012,True,-796.084375,3,2,True,36,36,31,0,2,36,0,0,0,{},0,あ→ぬ -> ぬ→る -> る→る -> る→る
greedy vs alpha_beta,greedy,alpha_beta,D20000_seed0_greedy_vs_alpha_beta_0,20000,0,second,ended_with_n,5,first,greedy,る,4347,63,63,1,0,,,る,る,る,0.014225,False,-751.1374193548387,,,,,,,,,,,,,,20,あ→ぬ -> ぬ→る -> る→る -> る→る -> る→る
greedy vs alpha_beta,greedy,alpha_beta,D20000_seed0_greedy_vs_alpha_beta_0,20000,0,second,ended_with_n,6,second,alpha_beta,る,4336,63,52,1,0,,,る,ぽ,ぽ,1.000011,True,-1931.7662195121952,2,1,True,0,34,32,1,0,0,0,0,0,{},1,あ→ぬ -> ぬ→る -> る→る -> る→る -> る→る -> る→ぽ
greedy vs alpha_beta,greedy,alpha_beta,D20000_seed0_greedy_vs_alpha_beta_0,20000,0,second,ended_with_n,7,first,greedy,ぽ,3556,52,20,2,1,,,ぽ,ず,ず,0.014383,False,-621.1830434782609,,,,,,,,,,,,,,21,あ→ぬ -> ぬ→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→ず
greedy vs alpha_beta,greedy,alpha_beta,D20000_seed0_greedy_vs_alpha_beta_0,20000,0,second,ended_with_n,8,second,alpha_beta,ず,1380,20,20,1,0,,,ず,ず,ず,0.464186,False,3121.8080078125,1,1,True,0,13,13,14,0,0,0,0,0,{},14,あ→ぬ -> ぬ→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→ず -> ず→ず
greedy vs alpha_beta,greedy,alpha_beta,D20000_seed0_greedy_vs_alpha_beta_0,20000,0,second,ended_with_n,9,first,greedy,ず,1415,20,55,1,0,,,ず,む,む,0.009768,False,-3121.8080078125,,,,,,,,,,,,,,13,あ→ぬ -> ぬ→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→ず -> ず→ず -> ず→む
greedy vs alpha_beta,greedy,alpha_beta,D20000_seed0_greedy_vs_alpha_beta_0,20000,0,second,ended_with_n,10,second,alpha_beta,む,3760,55,20,1,0,,,む,ず,ず,1.000006,True,3149.6325735294117,1,1,True,0,31,31,30,0,0,0,0,0,{},30,あ→ぬ -> ぬ→る -> る→る -> る→る -> る→る -> る→ぽ -> ぽ→ず -> ず→ず -> ず→む -> む→ず
