dict_size,rank,end_char,move_count,move_rate,ended_with_n_count,average_elapsed_time_sec
20000,1,る,403,0.403000,0,0.861383
20000,2,う,79,0.079000,0,0.466797
20000,3,す,66,0.066000,0,0.246939
20000,4,ず,60,0.060000,0,0.875991
20000,5,い,58,0.058000,0,0.280432
20000,6,つ,46,0.046000,0,0.686075
20000,7,む,33,0.033000,0,0.669657
20000,8,と,24,0.024000,0,0.390759
20000,9,ゆ,22,0.022000,0,0.436807
20000,10,げ,18,0.018000,0,0.616189
20000,11,や,17,0.017000,0,0.985730
20000,12,ぬ,13,0.013000,0,1.000157
20000,13,び,13,0.013000,0,0.394696
20000,14,ぷ,12,0.012000,0,0.507339
20000,15,ぽ,12,0.012000,0,0.753511
20000,16,り,12,0.012000,0,0.117936
20000,17,あ,11,0.011000,0,0.259520
20000,18,き,11,0.011000,0,0.317981
20000,19,く,11,0.011000,0,0.076029
20000,20,じ,11,0.011000,0,0.286695
