agent_name,dict_size,end_char,move_count,move_rate,timeout_count,average_elapsed_time_sec,ended_with_n_count
aggressive_pvs,20000,あ,5,0.008264,0,0.702464,0
aggressive_pvs,20000,い,38,0.062810,2,0.667704,0
aggressive_pvs,20000,う,50,0.082645,33,0.839346,0
aggressive_pvs,20000,き,5,0.008264,0,0.857477,0
aggressive_pvs,20000,ぎ,10,0.016529,10,1.000008,0
aggressive_pvs,20000,く,5,0.008264,0,0.163253,0
aggressive_pvs,20000,ぐ,1,0.001653,1,1.000011,0
aggressive_pvs,20000,げ,11,0.018182,7,0.878459,0
aggressive_pvs,20000,ざ,3,0.004959,3,1.000010,0
aggressive_pvs,20000,じ,5,0.008264,0,0.790655,0
aggressive_pvs,20000,す,28,0.046281,0,0.557460,0
aggressive_pvs,20000,ず,35,0.057851,35,1.000022,0
aggressive_pvs,20000,ぜ,3,0.004959,3,1.000008,0
aggressive_pvs,20000,つ,144,0.238017,122,0.936866,0
aggressive_pvs,20000,と,20,0.033058,3,0.761106,0
aggressive_pvs,20000,ど,1,0.001653,1,1.000009,0
aggressive_pvs,20000,な,5,0.008264,5,1.000013,0
aggressive_pvs,20000,ぬ,5,0.008264,5,1.000174,0
aggressive_pvs,20000,ね,12,0.019835,12,1.000008,0
aggressive_pvs,20000,ば,1,0.001653,1,1.000010,0
aggressive_pvs,20000,ぱ,1,0.001653,1,1.000007,0
aggressive_pvs,20000,び,8,0.013223,7,0.934443,0
aggressive_pvs,20000,ふ,5,0.008264,0,0.448043,0
aggressive_pvs,20000,ぷ,6,0.009917,6,1.000010,0
aggressive_pvs,20000,べ,2,0.003306,2,1.000009,0
aggressive_pvs,20000,ぽ,6,0.009917,6,1.000013,0
aggressive_pvs,20000,む,49,0.080992,44,0.974043,0
aggressive_pvs,20000,め,1,0.001653,1,1.000010,0
aggressive_pvs,20000,も,2,0.003306,2,1.000008,0
aggressive_pvs,20000,や,27,0.044628,27,1.000008,0
aggressive_pvs,20000,ゆ,10,0.016529,8,0.904399,0
aggressive_pvs,20000,ら,7,0.011570,7,1.000010,0
aggressive_pvs,20000,り,10,0.016529,2,0.525415,0
aggressive_pvs,20000,る,78,0.128926,75,0.992518,0
aggressive_pvs,20000,れ,1,0.001653,1,1.000012,0
aggressive_pvs,20000,ん,5,0.008264,0,0.000007,5
alpha_beta,20000,あ,3,0.005208,0,0.398594,0
alpha_beta,20000,い,21,0.036458,0,0.509141,0
alpha_beta,20000,う,54,0.093750,31,0.777076,0
alpha_beta,20000,が,1,0.001736,1,1.000010,0
alpha_beta,20000,き,3,0.005208,0,0.505998,0
alpha_beta,20000,ぎ,7,0.012153,7,1.000010,0
alpha_beta,20000,く,3,0.005208,0,0.153734,0
alpha_beta,20000,ぐ,4,0.006944,4,1.000011,0
alpha_beta,20000,け,5,0.008681,3,0.991498,0
alpha_beta,20000,げ,10,0.017361,7,0.896756,0
alpha_beta,20000,ご,1,0.001736,0,0.872728,0
alpha_beta,20000,ざ,6,0.010417,6,1.000008,0
alpha_beta,20000,じ,3,0.005208,0,0.449508,0
alpha_beta,20000,す,16,0.027778,0,0.500573,0
alpha_beta,20000,ず,36,0.062500,31,0.952863,0
alpha_beta,20000,ぜ,6,0.010417,6,1.000009,0
alpha_beta,20000,ぞ,2,0.003472,2,1.000008,0
alpha_beta,20000,つ,72,0.125000,63,0.955711,0
alpha_beta,20000,と,13,0.022569,5,0.723037,0
alpha_beta,20000,ど,3,0.005208,3,1.000010,0
alpha_beta,20000,な,3,0.005208,1,0.359397,0
alpha_beta,20000,ぬ,4,0.006944,4,1.000165,0
alpha_beta,20000,ね,12,0.020833,12,1.000009,0
alpha_beta,20000,ば,3,0.005208,3,1.000007,0
alpha_beta,20000,び,3,0.005208,3,1.000012,0
alpha_beta,20000,ぴ,1,0.001736,0,0.749074,0
alpha_beta,20000,ふ,3,0.005208,0,0.285609,0
alpha_beta,20000,ぷ,3,0.005208,3,1.000010,0
alpha_beta,20000,べ,1,0.001736,1,1.000011,0
alpha_beta,20000,ぽ,4,0.006944,4,1.000011,0
alpha_beta,20000,む,32,0.055556,25,0.929123,0
alpha_beta,20000,め,8,0.013889,8,1.000009,0
alpha_beta,20000,や,12,0.020833,12,1.000010,0
alpha_beta,20000,ゆ,8,0.013889,3,0.746154,0
alpha_beta,20000,ら,8,0.013889,7,0.921859,0
alpha_beta,20000,り,26,0.045139,22,0.875446,0
alpha_beta,20000,る,170,0.295139,158,0.981610,0
alpha_beta,20000,れ,3,0.005208,2,0.984633,0
alpha_beta,20000,ん,3,0.005208,0,0.000009,3
beam_negamax,20000,あ,2,0.003344,0,0.428853,0
beam_negamax,20000,い,27,0.045151,0,0.451374,0
beam_negamax,20000,う,53,0.088629,3,0.615137,0
beam_negamax,20000,き,4,0.006689,0,0.402994,0
beam_negamax,20000,ぎ,13,0.021739,2,0.816299,0
beam_negamax,20000,く,2,0.003344,0,0.160266,0
beam_negamax,20000,ぐ,16,0.026756,15,0.985979,0
beam_negamax,20000,げ,7,0.011706,3,0.809860,0
beam_negamax,20000,ご,1,0.001672,0,0.592618,0
beam_negamax,20000,ざ,11,0.018395,1,0.714832,0
beam_negamax,20000,し,1,0.001672,0,0.231574,0
beam_negamax,20000,じ,2,0.003344,0,0.591650,0
beam_negamax,20000,す,12,0.020067,1,0.550791,0
beam_negamax,20000,ず,22,0.036789,12,0.836630,0
beam_negamax,20000,ぜ,11,0.018395,2,0.773439,0
beam_negamax,20000,ち,1,0.001672,0,0.232818,0
beam_negamax,20000,つ,57,0.095318,3,0.694890,0
beam_negamax,20000,と,8,0.013378,0,0.547524,0
beam_negamax,20000,ど,1,0.001672,0,0.824821,0
beam_negamax,20000,な,2,0.003344,0,0.059552,0
beam_negamax,20000,ぬ,4,0.006689,4,1.000164,0
beam_negamax,20000,ね,9,0.015050,3,0.847197,0
beam_negamax,20000,の,5,0.008361,5,1.000011,0
beam_negamax,20000,ば,1,0.001672,0,0.815707,0
beam_negamax,20000,び,12,0.020067,9,0.939872,0
beam_negamax,20000,ふ,2,0.003344,0,0.374407,0
beam_negamax,20000,ぷ,3,0.005017,1,0.444907,0
beam_negamax,20000,べ,4,0.006689,2,0.857657,0
beam_negamax,20000,ぼ,1,0.001672,1,1.000009,0
beam_negamax,20000,ぽ,6,0.010033,6,1.000011,0
beam_negamax,20000,む,38,0.063545,3,0.713700,0
beam_negamax,20000,め,10,0.016722,0,0.783055,0
beam_negamax,20000,や,5,0.008361,0,0.766860,0
beam_negamax,20000,ゆ,10,0.016722,7,0.931993,0
beam_negamax,20000,よ,2,0.003344,2,1.000011,0
beam_negamax,20000,ら,14,0.023411,6,0.867710,0
beam_negamax,20000,り,4,0.006689,0,0.370755,0
beam_negamax,20000,る,204,0.341137,84,0.807557,0
beam_negamax,20000,ろ,8,0.013378,6,0.943169,0
beam_negamax,20000,わ,1,0.001672,1,1.000008,0
beam_negamax,20000,ん,2,0.003344,0,0.000008,2
