dict_size,random_seed,char,start_count,end_count,total_count,start_rate,end_rate,total_rate
20000,0,あ,562,570,1132,0.028100,0.028500,0.028300
20000,0,い,588,2034,2622,0.029400,0.101700,0.065550
20000,0,う,286,2373,2659,0.014300,0.118650,0.066475
20000,0,え,289,203,492,0.014450,0.010150,0.012300
20000,0,お,568,93,661,0.028400,0.004650,0.016525
20000,0,か,981,287,1268,0.049050,0.014350,0.031700
20000,0,が,210,45,255,0.010500,0.002250,0.006375
20000,0,き,710,743,1453,0.035500,0.037150,0.036325
20000,0,ぎ,155,161,316,0.007750,0.008050,0.007900
20000,0,く,324,1539,1863,0.016200,0.076950,0.046575
20000,0,ぐ,105,189,294,0.005250,0.009450,0.007350
20000,0,け,336,155,491,0.016800,0.007750,0.012275
20000,0,げ,200,73,273,0.010000,0.003650,0.006825
20000,0,こ,821,137,958,0.041050,0.006850,0.023950
20000,0,ご,144,114,258,0.007200,0.005700,0.006450
20000,0,さ,529,98,627,0.026450,0.004900,0.015675
20000,0,ざ,87,37,124,0.004350,0.001850,0.003100
20000,0,し,1388,459,1847,0.069400,0.022950,0.046175
20000,0,じ,725,228,953,0.036250,0.011400,0.023825
20000,0,す,405,349,754,0.020250,0.017450,0.018850
20000,0,ず,35,111,146,0.001750,0.005550,0.003650
20000,0,せ,518,50,568,0.025900,0.002500,0.014200
20000,0,ぜ,131,23,154,0.006550,0.001150,0.003850
20000,0,そ,310,46,356,0.015500,0.002300,0.008900
20000,0,ぞ,56,9,65,0.002800,0.000450,0.001625
20000,0,た,417,156,573,0.020850,0.007800,0.014325
20000,0,だ,251,59,310,0.012550,0.002950,0.007750
20000,0,ち,473,417,890,0.023650,0.020850,0.022250
20000,0,つ,204,896,1100,0.010200,0.044800,0.027500
20000,0,て,350,106,456,0.017500,0.005300,0.011400
20000,0,で,160,41,201,0.008000,0.002050,0.005025
20000,0,と,420,593,1013,0.021000,0.029650,0.025325
20000,0,ど,230,274,504,0.011500,0.013700,0.012600
20000,0,な,280,99,379,0.014000,0.004950,0.009475
20000,0,に,321,35,356,0.016050,0.001750,0.008900
20000,0,ぬ,22,15,37,0.001100,0.000750,0.000925
20000,0,ね,144,76,220,0.007200,0.003800,0.005500
20000,0,の,133,101,234,0.006650,0.005050,0.005850
20000,0,は,545,47,592,0.027250,0.002350,0.014800
20000,0,ば,223,116,339,0.011150,0.005800,0.008475
20000,0,ぱ,123,22,145,0.006150,0.001100,0.003625
20000,0,ひ,424,55,479,0.021200,0.002750,0.011975
20000,0,び,123,104,227,0.006150,0.005200,0.005675
20000,0,ぴ,46,19,65,0.002300,0.000950,0.001625
20000,0,ふ,573,96,669,0.028650,0.004800,0.016725
20000,0,ぶ,233,130,363,0.011650,0.006500,0.009075
20000,0,ぷ,93,130,223,0.004650,0.006500,0.005575
20000,0,へ,144,0,144,0.007200,0.000000,0.003600
20000,0,べ,104,24,128,0.005200,0.001200,0.003200
20000,0,ぺ,37,6,43,0.001850,0.000300,0.001075
20000,0,ほ,336,17,353,0.016800,0.000850,0.008825
20000,0,ぼ,163,40,203,0.008150,0.002000,0.005075
20000,0,ぽ,52,19,71,0.002600,0.000950,0.001775
20000,0,ま,360,153,513,0.018000,0.007650,0.012825
20000,0,み,325,255,580,0.016250,0.012750,0.014500
20000,0,む,155,240,395,0.007750,0.012000,0.009875
20000,0,め,188,137,325,0.009400,0.006850,0.008125
20000,0,も,220,32,252,0.011000,0.001600,0.006300
20000,0,や,155,332,487,0.007750,0.016600,0.012175
20000,0,ゆ,193,137,330,0.009650,0.006850,0.008250
20000,0,よ,267,293,560,0.013350,0.014650,0.014000
20000,0,ら,159,192,351,0.007950,0.009600,0.008775
20000,0,り,359,572,931,0.017950,0.028600,0.023275
20000,0,る,41,426,467,0.002050,0.021300,0.011675
20000,0,れ,173,108,281,0.008650,0.005400,0.007025
20000,0,ろ,161,159,320,0.008050,0.007950,0.008000
20000,0,わ,157,99,256,0.007850,0.004950,0.006400
20000,0,ん,0,3046,3046,0.000000,0.152300,0.076150
20000,1,あ,574,567,1141,0.028700,0.028350,0.028525
20000,1,い,589,2005,2594,0.029450,0.100250,0.064850
20000,1,う,276,2392,2668,0.013800,0.119600,0.066700
20000,1,え,290,212,502,0.014500,0.010600,0.012550
20000,1,お,576,94,670,0.028800,0.004700,0.016750
20000,1,か,985,289,1274,0.049250,0.014450,0.031850
20000,1,が,212,52,264,0.010600,0.002600,0.006600
20000,1,き,696,734,1430,0.034800,0.036700,0.035750
20000,1,ぎ,150,156,306,0.007500,0.007800,0.007650
20000,1,く,316,1544,1860,0.015800,0.077200,0.046500
20000,1,ぐ,99,192,291,0.004950,0.009600,0.007275
20000,1,け,327,141,468,0.016350,0.007050,0.011700
20000,1,げ,200,71,271,0.010000,0.003550,0.006775
20000,1,こ,813,138,951,0.040650,0.006900,0.023775
20000,1,ご,144,111,255,0.007200,0.005550,0.006375
20000,1,さ,533,105,638,0.026650,0.005250,0.015950
20000,1,ざ,84,36,120,0.004200,0.001800,0.003000
20000,1,し,1405,467,1872,0.070250,0.023350,0.046800
20000,1,じ,723,236,959,0.036150,0.011800,0.023975
20000,1,す,412,344,756,0.020600,0.017200,0.018900
20000,1,ず,37,120,157,0.001850,0.006000,0.003925
20000,1,せ,512,54,566,0.025600,0.002700,0.014150
20000,1,ぜ,129,27,156,0.006450,0.001350,0.003900
20000,1,そ,298,51,349,0.014900,0.002550,0.008725
20000,1,ぞ,59,10,69,0.002950,0.000500,0.001725
20000,1,た,435,164,599,0.021750,0.008200,0.014975
20000,1,だ,245,57,302,0.012250,0.002850,0.007550
20000,1,ち,474,416,890,0.023700,0.020800,0.022250
20000,1,つ,201,902,1103,0.010050,0.045100,0.027575
20000,1,て,348,104,452,0.017400,0.005200,0.011300
20000,1,で,165,41,206,0.008250,0.002050,0.005150
20000,1,と,418,589,1007,0.020900,0.029450,0.025175
20000,1,ど,240,273,513,0.012000,0.013650,0.012825
20000,1,な,281,97,378,0.014050,0.004850,0.009450
20000,1,に,316,38,354,0.015800,0.001900,0.008850
20000,1,ぬ,25,15,40,0.001250,0.000750,0.001000
20000,1,ね,141,82,223,0.007050,0.004100,0.005575
20000,1,の,132,93,225,0.006600,0.004650,0.005625
20000,1,は,549,36,585,0.027450,0.001800,0.014625
20000,1,ば,233,103,336,0.011650,0.005150,0.008400
20000,1,ぱ,123,24,147,0.006150,0.001200,0.003675
20000,1,ひ,419,51,470,0.020950,0.002550,0.011750
20000,1,び,123,105,228,0.006150,0.005250,0.005700
20000,1,ぴ,46,17,63,0.002300,0.000850,0.001575
20000,1,ふ,571,95,666,0.028550,0.004750,0.016650
20000,1,ぶ,230,128,358,0.011500,0.006400,0.008950
20000,1,ぷ,93,128,221,0.004650,0.006400,0.005525
20000,1,へ,148,0,148,0.007400,0.000000,0.003700
20000,1,べ,110,25,135,0.005500,0.001250,0.003375
20000,1,ぺ,37,5,42,0.001850,0.000250,0.001050
20000,1,ほ,334,15,349,0.016700,0.000750,0.008725
20000,1,ぼ,167,42,209,0.008350,0.002100,0.005225
20000,1,ぽ,52,18,70,0.002600,0.000900,0.001750
20000,1,ま,352,149,501,0.017600,0.007450,0.012525
20000,1,み,328,242,570,0.016400,0.012100,0.014250
20000,1,む,153,241,394,0.007650,0.012050,0.009850
20000,1,め,191,139,330,0.009550,0.006950,0.008250
20000,1,も,217,38,255,0.010850,0.001900,0.006375
20000,1,や,158,331,489,0.007900,0.016550,0.012225
20000,1,ゆ,204,145,349,0.010200,0.007250,0.008725
20000,1,よ,251,291,542,0.012550,0.014550,0.013550
20000,1,ら,162,196,358,0.008100,0.009800,0.008950
20000,1,り,361,585,946,0.018050,0.029250,0.023650
20000,1,る,40,433,473,0.002000,0.021650,0.011825
20000,1,れ,176,114,290,0.008800,0.005700,0.007250
20000,1,ろ,158,159,317,0.007900,0.007950,0.007925
20000,1,わ,154,92,246,0.007700,0.004600,0.006150
20000,1,ん,0,3034,3034,0.000000,0.151700,0.075850
20000,2,あ,573,568,1141,0.028650,0.028400,0.028525
20000,2,い,582,2007,2589,0.029100,0.100350,0.064725
20000,2,う,284,2378,2662,0.014200,0.118900,0.066550
20000,2,え,278,209,487,0.013900,0.010450,0.012175
20000,2,お,580,90,670,0.029000,0.004500,0.016750
20000,2,か,989,290,1279,0.049450,0.014500,0.031975
20000,2,が,207,47,254,0.010350,0.002350,0.006350
