dict_size,rank,end_char,move_count,move_rate,ended_with_n_count,average_elapsed_time_sec
20000,1,る,452,0.254075,0,0.904938
20000,2,つ,273,0.153457,0,0.891313
20000,3,う,157,0.088252,0,0.742240
20000,4,む,119,0.066892,0,0.878829
20000,5,ず,93,0.052277,0,0.943115
20000,6,い,86,0.048342,0,0.561068
20000,7,す,56,0.031478,0,0.539777
20000,8,や,44,0.024733,0,0.973515
20000,9,と,41,0.023047,0,0.707361
20000,10,り,40,0.022485,0,0.737469
20000,11,ね,33,0.018550,0,0.958332
20000,12,ぎ,30,0.016863,0,0.920401
20000,13,ら,29,0.016301,0,0.914582
20000,14,げ,28,0.015739,0,0.867844
20000,15,ゆ,28,0.015739,0,0.869041
20000,16,び,23,0.012929,0,0.945828
20000,17,ぐ,21,0.011804,0,0.989320
20000,18,ざ,20,0.011242,0,0.843162
20000,19,ぜ,20,0.011242,0,0.875395
20000,20,め,19,0.010680,0,0.885822
