dictionary_seed,config_id,agent,games,hybrid_wins,alpha_beta_wins,draws,hybrid_win_rate
0,beam_alpha_beta_baseline,beam_alpha_beta,2,1,1,0,0.5
0,beam_alpha_beta_deep,beam_alpha_beta,2,0,2,0,0.0
0,beam_alpha_beta_deep_wide,beam_alpha_beta,2,2,0,0,1.0
0,beam_alpha_beta_wide,beam_alpha_beta,2,2,0,0,1.0
0,beam_pvs_baseline,beam_pvs,2,0,2,0,0.0
0,beam_pvs_deep,beam_pvs,2,1,1,0,0.5
0,beam_pvs_deep_wide,beam_pvs,2,2,0,0,1.0
0,beam_pvs_wide,beam_pvs,2,2,0,0,1.0
1,beam_alpha_beta_baseline,beam_alpha_beta,2,2,0,0,1.0
1,beam_alpha_beta_deep,beam_alpha_beta,2,1,1,0,0.5
1,beam_alpha_beta_deep_wide,beam_alpha_beta,2,2,0,0,1.0
1,beam_alpha_beta_wide,beam_alpha_beta,2,1,1,0,0.5
1,beam_pvs_baseline,beam_pvs,2,1,1,0,0.5
1,beam_pvs_deep,beam_pvs,2,1,1,0,0.5
1,beam_pvs_deep_wide,beam_pvs,2,1,1,0,0.5
1,beam_pvs_wide,beam_pvs,2,0,2,0,0.0
2,beam_alpha_beta_baseline,beam_alpha_beta,2,0,2,0,0.0
2,beam_alpha_beta_deep,beam_alpha_beta,2,0,2,0,0.0
2,beam_alpha_beta_deep_wide,beam_alpha_beta,2,2,0,0,1.0
2,beam_alpha_beta_wide,beam_alpha_beta,2,0,2,0,0.0
2,beam_pvs_baseline,beam_pvs,2,2,0,0,1.0
2,beam_pvs_deep,beam_pvs,2,0,2,0,0.0
2,beam_pvs_deep_wide,beam_pvs,2,1,1,0,0.5
2,beam_pvs_wide,beam_pvs,2,1,1,0,0.5
3,beam_alpha_beta_baseline,beam_alpha_beta,2,1,1,0,0.5
3,beam_alpha_beta_deep,beam_alpha_beta,2,1,1,0,0.5
3,beam_alpha_beta_deep_wide,beam_alpha_beta,2,0,2,0,0.0
3,beam_alpha_beta_wide,beam_alpha_beta,2,0,2,0,0.0
3,beam_pvs_baseline,beam_pvs,2,2,0,0,1.0
3,beam_pvs_deep,beam_pvs,2,1,1,0,0.5
3,beam_pvs_deep_wide,beam_pvs,2,2,0,0,1.0
3,beam_pvs_wide,beam_pvs,2,0,2,0,0.0
4,beam_alpha_beta_baseline,beam_alpha_beta,2,1,1,0,0.5
4,beam_alpha_beta_deep,beam_alpha_beta,2,1,1,0,0.5
4,beam_alpha_beta_deep_wide,beam_alpha_beta,2,1,1,0,0.5
4,beam_alpha_beta_wide,beam_alpha_beta,2,2,0,0,1.0
4,beam_pvs_baseline,beam_pvs,2,1,1,0,0.5
4,beam_pvs_deep,beam_pvs,2,1,1,0,0.5
4,beam_pvs_deep_wide,beam_pvs,2,0,2,0,0.0
4,beam_pvs_wide,beam_pvs,2,1,1,0,0.5
5,beam_alpha_beta_baseline,beam_alpha_beta,2,1,1,0,0.5
5,beam_alpha_beta_deep,beam_alpha_beta,2,0,2,0,0.0
5,beam_alpha_beta_deep_wide,beam_alpha_beta,2,2,0,0,1.0
5,beam_alpha_beta_wide,beam_alpha_beta,2,0,2,0,0.0
5,beam_pvs_baseline,beam_pvs,2,2,0,0,1.0
5,beam_pvs_deep,beam_pvs,2,2,0,0,1.0
5,beam_pvs_deep_wide,beam_pvs,2,2,0,0,1.0
5,beam_pvs_wide,beam_pvs,2,1,1,0,0.5
6,beam_alpha_beta_baseline,beam_alpha_beta,2,1,1,0,0.5
6,beam_alpha_beta_deep,beam_alpha_beta,2,0,2,0,0.0
6,beam_alpha_beta_deep_wide,beam_alpha_beta,2,1,1,0,0.5
6,beam_alpha_beta_wide,beam_alpha_beta,2,1,1,0,0.5
6,beam_pvs_baseline,beam_pvs,2,0,2,0,0.0
6,beam_pvs_deep,beam_pvs,2,0,2,0,0.0
6,beam_pvs_deep_wide,beam_pvs,2,0,2,0,0.0
6,beam_pvs_wide,beam_pvs,2,2,0,0,1.0
7,beam_alpha_beta_baseline,beam_alpha_beta,2,1,1,0,0.5
7,beam_alpha_beta_deep,beam_alpha_beta,2,0,2,0,0.0
7,beam_alpha_beta_deep_wide,beam_alpha_beta,2,2,0,0,1.0
7,beam_alpha_beta_wide,beam_alpha_beta,2,1,1,0,0.5
7,beam_pvs_baseline,beam_pvs,2,2,0,0,1.0
7,beam_pvs_deep,beam_pvs,2,1,1,0,0.5
7,beam_pvs_deep_wide,beam_pvs,2,2,0,0,1.0
7,beam_pvs_wide,beam_pvs,2,1,1,0,0.5
8,beam_alpha_beta_baseline,beam_alpha_beta,2,2,0,0,1.0
8,beam_alpha_beta_deep,beam_alpha_beta,2,0,2,0,0.0
8,beam_alpha_beta_deep_wide,beam_alpha_beta,2,2,0,0,1.0
8,beam_alpha_beta_wide,beam_alpha_beta,2,0,2,0,0.0
8,beam_pvs_baseline,beam_pvs,2,2,0,0,1.0
8,beam_pvs_deep,beam_pvs,2,1,1,0,0.5
8,beam_pvs_deep_wide,beam_pvs,2,2,0,0,1.0
8,beam_pvs_wide,beam_pvs,2,0,2,0,0.0
9,beam_alpha_beta_baseline,beam_alpha_beta,2,0,2,0,0.0
9,beam_alpha_beta_deep,beam_alpha_beta,2,1,1,0,0.5
9,beam_alpha_beta_deep_wide,beam_alpha_beta,2,2,0,0,1.0
9,beam_alpha_beta_wide,beam_alpha_beta,2,1,1,0,0.5
9,beam_pvs_baseline,beam_pvs,2,1,1,0,0.5
9,beam_pvs_deep,beam_pvs,2,1,1,0,0.5
9,beam_pvs_deep_wide,beam_pvs,2,2,0,0,1.0
9,beam_pvs_wide,beam_pvs,2,2,0,0,1.0
