agent_name,dict_size,end_char,move_count,move_rate,timeout_count,average_elapsed_time_sec,ended_with_n_count
alpha_beta,50000,う,2,0.009174,0,0.023045,0
alpha_beta,50000,ず,59,0.270642,1,0.076153,0
alpha_beta,50000,ぞ,2,0.009174,0,0.096102,0
alpha_beta,50000,つ,1,0.004587,0,0.036848,0
alpha_beta,50000,び,1,0.004587,1,0.200005,0
alpha_beta,50000,ぼ,1,0.004587,1,0.200008,0
alpha_beta,50000,む,15,0.068807,1,0.138804,0
alpha_beta,50000,る,137,0.628440,4,0.082563,0
greedy,50000,あ,4,0.018265,0,0.000006,0
greedy,50000,い,18,0.082192,0,0.000009,0
greedy,50000,う,42,0.191781,0,0.000021,0
greedy,50000,え,1,0.004566,0,0.000015,0
greedy,50000,お,1,0.004566,0,0.000012,0
greedy,50000,か,4,0.018265,0,0.000005,0
greedy,50000,が,1,0.004566,0,0.000026,0
greedy,50000,き,8,0.036530,0,0.000008,0
greedy,50000,ぎ,5,0.022831,0,0.000063,0
greedy,50000,く,11,0.050228,0,0.000020,0
greedy,50000,ぐ,3,0.013699,0,0.000045,0
greedy,50000,げ,2,0.009132,0,0.000030,0
greedy,50000,ざ,1,0.004566,0,0.000079,0
greedy,50000,し,5,0.022831,0,0.000003,0
greedy,50000,じ,3,0.013699,0,0.000007,0
greedy,50000,す,8,0.036530,0,0.000015,0
greedy,50000,ず,5,0.022831,0,0.001229,0
greedy,50000,ぜ,2,0.009132,0,0.000068,0
greedy,50000,そ,1,0.004566,0,0.000023,0
greedy,50000,た,3,0.013699,0,0.000015,0
greedy,50000,ち,2,0.009132,0,0.000009,0
greedy,50000,つ,15,0.068493,0,0.000030,0
greedy,50000,と,6,0.027397,0,0.000018,0
greedy,50000,な,4,0.018265,0,0.000023,0
greedy,50000,に,1,0.004566,0,0.000027,0
greedy,50000,ぬ,1,0.004566,0,0.000081,0
greedy,50000,ね,2,0.009132,0,0.000064,0
greedy,50000,の,2,0.009132,0,0.000064,0
greedy,50000,び,3,0.013699,0,0.000045,0
greedy,50000,ぴ,2,0.009132,0,0.000043,0
greedy,50000,ふ,3,0.013699,0,0.000013,0
greedy,50000,ぷ,7,0.031963,0,0.000042,0
greedy,50000,べ,3,0.013699,0,0.000049,0
greedy,50000,ぽ,4,0.018265,0,0.000053,0
greedy,50000,ま,1,0.004566,0,0.000014,0
greedy,50000,み,2,0.009132,0,0.000030,0
greedy,50000,む,9,0.041096,0,0.000039,0
greedy,50000,め,1,0.004566,0,0.000032,0
greedy,50000,も,1,0.004566,0,0.000029,0
greedy,50000,ゆ,4,0.018265,0,0.000028,0
greedy,50000,よ,6,0.027397,0,0.000024,0
greedy,50000,ら,2,0.009132,0,0.000206,0
greedy,50000,り,2,0.009132,0,0.000019,0
greedy,50000,る,4,0.018265,0,0.000041,0
greedy,50000,れ,2,0.009132,0,0.000034,0
greedy,50000,ん,2,0.009132,0,0.000001,2
