dict_size,random_seed,char,start_count,end_count,total_count,start_rate,end_rate,total_rate
50000,0,あ,1856,1395,3251,0.037120,0.027900,0.032510
50000,0,い,1476,5137,6613,0.029520,0.102740,0.066130
50000,0,う,733,5718,6451,0.014660,0.114360,0.064510
50000,0,え,886,490,1376,0.017720,0.009800,0.013760
50000,0,お,1440,287,1727,0.028800,0.005740,0.017270
50000,0,か,2491,740,3231,0.049820,0.014800,0.032310
50000,0,が,517,128,645,0.010340,0.002560,0.006450
50000,0,き,1699,1839,3538,0.033980,0.036780,0.035380
50000,0,ぎ,354,417,771,0.007080,0.008340,0.007710
50000,0,く,843,3693,4536,0.016860,0.073860,0.045360
50000,0,ぐ,300,512,812,0.006000,0.010240,0.008120
50000,0,け,790,396,1186,0.015800,0.007920,0.011860
50000,0,げ,444,173,617,0.008880,0.003460,0.006170
50000,0,こ,2028,409,2437,0.040560,0.008180,0.024370
50000,0,ご,367,328,695,0.007340,0.006560,0.006950
50000,0,さ,1325,272,1597,0.026500,0.005440,0.015970
50000,0,ざ,207,104,311,0.004140,0.002080,0.003110
50000,0,し,3193,1283,4476,0.063860,0.025660,0.044760
50000,0,じ,1749,616,2365,0.034980,0.012320,0.023650
50000,0,す,1069,1057,2126,0.021380,0.021140,0.021260
50000,0,ず,76,331,407,0.001520,0.006620,0.004070
50000,0,せ,1306,117,1423,0.026120,0.002340,0.014230
50000,0,ぜ,307,88,395,0.006140,0.001760,0.003950
50000,0,そ,675,133,808,0.013500,0.002660,0.008080
50000,0,ぞ,132,15,147,0.002640,0.000300,0.001470
50000,0,た,1068,507,1575,0.021360,0.010140,0.015750
50000,0,だ,640,149,789,0.012800,0.002980,0.007890
50000,0,ち,1186,890,2076,0.023720,0.017800,0.020760
50000,0,つ,491,1923,2414,0.009820,0.038460,0.024140
50000,0,て,767,198,965,0.015340,0.003960,0.009650
50000,0,で,554,83,637,0.011080,0.001660,0.006370
50000,0,と,1051,1475,2526,0.021020,0.029500,0.025260
50000,0,ど,574,723,1297,0.011480,0.014460,0.012970
50000,0,な,683,251,934,0.013660,0.005020,0.009340
50000,0,に,737,106,843,0.014740,0.002120,0.008430
50000,0,ぬ,82,37,119,0.001640,0.000740,0.001190
50000,0,ね,369,197,566,0.007380,0.003940,0.005660
50000,0,の,314,222,536,0.006280,0.004440,0.005360
50000,0,は,1332,108,1440,0.026640,0.002160,0.014400
50000,0,ば,557,274,831,0.011140,0.005480,0.008310
50000,0,ぱ,353,61,414,0.007060,0.001220,0.004140
50000,0,ひ,1011,131,1142,0.020220,0.002620,0.011420
50000,0,び,356,276,632,0.007120,0.005520,0.006320
50000,0,ぴ,152,38,190,0.003040,0.000760,0.001900
50000,0,ふ,1434,216,1650,0.028680,0.004320,0.016500
50000,0,ぶ,612,301,913,0.012240,0.006020,0.009130
50000,0,ぷ,263,343,606,0.005260,0.006860,0.006060
50000,0,へ,370,1,371,0.007400,0.000020,0.003710
50000,0,べ,297,69,366,0.005940,0.001380,0.003660
50000,0,ぺ,118,17,135,0.002360,0.000340,0.001350
50000,0,ほ,795,45,840,0.015900,0.000900,0.008400
50000,0,ぼ,396,99,495,0.007920,0.001980,0.004950
50000,0,ぽ,144,40,184,0.002880,0.000800,0.001840
50000,0,ま,893,375,1268,0.017860,0.007500,0.012680
50000,0,み,716,617,1333,0.014320,0.012340,0.013330
50000,0,む,379,668,1047,0.007580,0.013360,0.010470
50000,0,め,486,366,852,0.009720,0.007320,0.008520
50000,0,も,500,128,628,0.010000,0.002560,0.006280
50000,0,や,423,964,1387,0.008460,0.019280,0.013870
50000,0,ゆ,479,392,871,0.009580,0.007840,0.008710
50000,0,よ,552,587,1139,0.011040,0.011740,0.011390
50000,0,ら,408,551,959,0.008160,0.011020,0.009590
50000,0,り,879,1412,2291,0.017580,0.028240,0.022910
50000,0,る,117,1137,1254,0.002340,0.022740,0.012540
50000,0,れ,441,284,725,0.008820,0.005680,0.007250
50000,0,ろ,376,401,777,0.007520,0.008020,0.007770
50000,0,わ,381,216,597,0.007620,0.004320,0.005970
50000,0,ん,1,7444,7445,0.000020,0.148880,0.074450
