dict_size,rank,end_char,move_count,move_rate,ended_with_n_count,average_elapsed_time_sec
50000,1,る,141,0.322654,0,0.080221
50000,2,ず,64,0.146453,0,0.070300
50000,3,う,44,0.100686,0,0.001068
50000,4,む,24,0.054920,0,0.086767
50000,5,い,18,0.041190,0,0.000009
50000,6,つ,16,0.036613,0,0.002331
50000,7,く,11,0.025172,0,0.000020
50000,8,き,8,0.018307,0,0.000008
50000,9,す,8,0.018307,0,0.000015
50000,10,ぷ,7,0.016018,0,0.000042
50000,11,と,6,0.013730,0,0.000018
50000,12,よ,6,0.013730,0,0.000024
50000,13,ぎ,5,0.011442,0,0.000063
50000,14,し,5,0.011442,0,0.000003
50000,15,あ,4,0.009153,0,0.000006
50000,16,か,4,0.009153,0,0.000005
50000,17,な,4,0.009153,0,0.000023
50000,18,び,4,0.009153,0,0.050035
50000,19,ぽ,4,0.009153,0,0.000053
50000,20,ゆ,4,0.009153,0,0.000028
