dict_size,random_seed,char,start_count,end_count,win_move_count_to_char,total_move_count_to_char,win_rate_to_char
50,0,あ,2,0,0,0,0.000000
50,0,い,0,8,8,8,1.000000
50,0,う,1,5,5,5,1.000000
50,0,え,0,1,1,1,1.000000
50,0,お,3,0,0,0,0.000000
50,0,か,4,0,0,0,0.000000
50,0,く,2,2,0,2,0.000000
50,0,ぐ,1,1,1,1,1.000000
50,0,け,0,1,1,1,1.000000
50,0,こ,0,1,1,1,1.000000
50,0,さ,2,0,0,0,0.000000
50,0,し,2,0,0,0,0.000000
50,0,じ,3,1,0,1,0.000000
50,0,す,0,1,1,1,1.000000
50,0,ず,0,1,1,1,1.000000
50,0,せ,1,1,0,1,0.000000
50,0,そ,1,1,0,1,0.000000
50,0,た,2,1,0,1,0.000000
50,0,だ,2,0,0,0,0.000000
50,0,ち,1,0,0,0,0.000000
50,0,つ,0,2,2,2,1.000000
50,0,て,2,0,0,0,0.000000
50,0,と,0,1,1,1,1.000000
50,0,ど,1,2,0,2,0.000000
50,0,な,1,0,0,0,0.000000
50,0,に,1,0,0,0,0.000000
50,0,の,1,0,0,0,0.000000
50,0,は,1,0,0,0,0.000000
50,0,ば,1,1,1,1,1.000000
50,0,ふ,3,0,0,0,0.000000
50,0,ぶ,1,0,0,0,0.000000
50,0,ぷ,0,1,1,1,1.000000
50,0,へ,1,0,0,0,0.000000
50,0,ほ,1,0,0,0,0.000000
50,0,ぼ,1,0,0,0,0.000000
50,0,ま,1,0,0,0,0.000000
50,0,み,1,0,0,0,0.000000
50,0,む,0,1,1,1,1.000000
50,0,め,1,1,1,1,1.000000
50,0,も,1,1,0,1,0.000000
50,0,や,1,2,2,2,1.000000
50,0,ゆ,1,0,0,0,0.000000
50,0,よ,0,1,1,1,1.000000
50,0,り,1,1,0,1,0.000000
50,0,る,0,4,4,4,1.000000
50,0,れ,0,2,2,2,1.000000
50,0,わ,1,0,0,0,0.000000
50,0,ん,0,5,0,5,0.000000
50,1,あ,2,3,0,3,0.000000
50,1,い,6,6,0,6,0.000000
50,1,う,0,9,9,9,1.000000
50,1,お,1,0,0,0,0.000000
50,1,か,3,2,2,2,1.000000
50,1,き,2,1,1,1,1.000000
50,1,く,1,4,1,4,0.250000
50,1,け,0,1,1,1,1.000000
50,1,こ,1,1,1,1,1.000000
50,1,し,7,1,0,1,0.000000
50,1,じ,2,0,0,0,0.000000
50,1,せ,1,0,0,0,0.000000
50,1,ぜ,1,0,0,0,0.000000
50,1,そ,0,1,1,1,1.000000
50,1,た,1,0,0,0,0.000000
50,1,ち,1,0,0,0,0.000000
50,1,つ,1,1,0,1,0.000000
50,1,で,0,1,1,1,1.000000
50,1,と,2,0,0,0,0.000000
50,1,ど,1,1,0,1,0.000000
50,1,に,0,1,1,1,1.000000
50,1,ね,1,0,0,0,0.000000
50,1,は,2,0,0,0,0.000000
50,1,ば,1,0,0,0,0.000000
50,1,ぱ,1,0,0,0,0.000000
50,1,ひ,2,0,0,0,0.000000
50,1,ふ,1,1,1,1,1.000000
50,1,ぶ,1,1,0,1,0.000000
50,1,へ,2,0,0,0,0.000000
50,1,ま,1,0,0,0,0.000000
50,1,む,1,2,2,2,1.000000
50,1,も,2,0,0,0,0.000000
50,1,よ,1,0,0,0,0.000000
50,1,り,0,2,2,2,1.000000
50,1,る,0,4,4,4,1.000000
50,1,れ,1,0,0,0,0.000000
50,1,ん,0,7,0,7,0.000000
50,2,い,4,10,0,10,0.000000
50,2,う,0,2,2,2,1.000000
50,2,お,1,0,0,0,0.000000
50,2,か,2,1,1,1,1.000000
50,2,き,0,5,5,5,1.000000
50,2,ぎ,0,2,2,2,1.000000
50,2,く,1,4,0,4,0.000000
50,2,げ,1,0,0,0,0.000000
50,2,こ,6,1,0,1,0.000000
50,2,し,3,0,0,0,0.000000
50,2,じ,1,0,0,0,0.000000
50,2,す,1,1,1,1,1.000000
50,2,そ,1,0,0,0,0.000000
50,2,た,1,0,0,0,0.000000
50,2,だ,1,0,0,0,0.000000
50,2,ち,0,1,1,1,1.000000
50,2,つ,0,3,3,3,1.000000
50,2,て,4,0,0,0,0.000000
50,2,で,2,0,0,0,0.000000
50,2,と,2,2,2,2,1.000000
50,2,な,1,1,0,1,0.000000
50,2,ね,1,0,0,0,0.000000
50,2,は,2,0,0,0,0.000000
50,2,ぱ,2,0,0,0,0.000000
50,2,ぴ,1,0,0,0,0.000000
50,2,ふ,0,1,1,1,1.000000
50,2,ぶ,0,1,1,1,1.000000
50,2,ほ,4,0,0,0,0.000000
50,2,ぼ,1,0,0,0,0.000000
50,2,ま,2,0,0,0,0.000000
50,2,め,1,0,0,0,0.000000
50,2,や,2,2,0,2,0.000000
50,2,ゆ,0,1,1,1,1.000000
50,2,よ,0,1,1,1,1.000000
50,2,ら,0,1,1,1,1.000000
50,2,り,1,0,0,0,0.000000
50,2,る,0,2,2,2,1.000000
50,2,れ,1,0,0,0,0.000000
50,2,ん,0,8,0,8,0.000000
50,3,あ,2,1,0,1,0.000000
50,3,い,2,6,0,6,0.000000
50,3,う,1,7,7,7,1.000000
50,3,お,2,1,0,1,0.000000
50,3,か,1,1,0,1,0.000000
50,3,き,0,1,1,1,1.000000
50,3,ぎ,1,0,0,0,0.000000
50,3,く,2,4,0,4,0.000000
50,3,け,2,0,0,0,0.000000
50,3,げ,1,1,1,1,1.000000
50,3,こ,0,1,1,1,1.000000
50,3,さ,1,0,0,0,0.000000
50,3,し,4,1,0,1,0.000000
50,3,じ,2,1,0,1,0.000000
50,3,す,1,3,3,3,1.000000
50,3,そ,1,0,0,0,0.000000
50,3,た,0,1,1,1,1.000000
50,3,つ,0,2,2,2,1.000000
50,3,で,1,0,0,0,0.000000
50,3,と,1,2,0,2,0.000000
50,3,ど,2,1,0,1,0.000000
50,3,な,2,0,0,0,0.000000
50,3,に,0,1,1,1,1.000000
50,3,は,2,0,0,0,0.000000
50,3,ぱ,1,0,0,0,0.000000
50,3,び,0,2,2,2,1.000000
50,3,ふ,5,1,0,1,0.000000
50,3,ぶ,0,1,1,1,1.000000
50,3,ぷ,0,1,1,1,1.000000
50,3,へ,1,0,0,0,0.000000
50,3,ま,1,0,0,0,0.000000
50,3,む,1,2,2,2,1.000000
50,3,め,2,0,0,0,0.000000
50,3,も,1,0,0,0,0.000000
50,3,や,0,2,2,2,1.000000
50,3,ら,1,0,0,0,0.000000
50,3,り,1,1,0,1,0.000000
50,3,る,1,1,0,1,0.000000
50,3,れ,2,0,0,0,0.000000
50,3,わ,2,0,0,0,0.000000
50,3,ん,0,4,0,4,0.000000
