dict_size,random_seed,char,start_count,end_count,total_count,start_rate,end_rate,total_rate
100,0,あ,2,3,5,0.020000,0.030000,0.025000
100,0,い,1,12,13,0.010000,0.120000,0.065000
100,0,う,2,10,12,0.020000,0.100000,0.060000
100,0,え,0,4,4,0.000000,0.040000,0.020000
100,0,お,4,0,4,0.040000,0.000000,0.020000
100,0,か,9,1,10,0.090000,0.010000,0.050000
100,0,が,1,0,1,0.010000,0.000000,0.005000
100,0,き,1,5,6,0.010000,0.050000,0.030000
100,0,ぎ,1,0,1,0.010000,0.000000,0.005000
100,0,く,3,5,8,0.030000,0.050000,0.040000
100,0,ぐ,0,1,1,0.000000,0.010000,0.005000
100,0,け,2,0,2,0.020000,0.000000,0.010000
100,0,こ,1,2,3,0.010000,0.020000,0.015000
100,0,ご,2,0,2,0.020000,0.000000,0.010000
100,0,さ,3,1,4,0.030000,0.010000,0.020000
100,0,し,7,2,9,0.070000,0.020000,0.045000
100,0,じ,4,2,6,0.040000,0.020000,0.030000
100,0,す,1,2,3,0.010000,0.020000,0.015000
100,0,ず,0,2,2,0.000000,0.020000,0.010000
100,0,せ,4,0,4,0.040000,0.000000,0.020000
100,0,そ,2,0,2,0.020000,0.000000,0.010000
100,0,た,4,0,4,0.040000,0.000000,0.020000
100,0,だ,2,1,3,0.020000,0.010000,0.015000
100,0,ち,2,1,3,0.020000,0.010000,0.015000
100,0,つ,0,5,5,0.000000,0.050000,0.025000
100,0,て,2,0,2,0.020000,0.000000,0.010000
100,0,と,0,3,3,0.000000,0.030000,0.015000
100,0,ど,2,1,3,0.020000,0.010000,0.015000
100,0,な,2,0,2,0.020000,0.000000,0.010000
100,0,に,1,0,1,0.010000,0.000000,0.005000
100,0,の,1,0,1,0.010000,0.000000,0.005000
100,0,は,1,0,1,0.010000,0.000000,0.005000
100,0,ば,1,0,1,0.010000,0.000000,0.005000
100,0,ぱ,1,0,1,0.010000,0.000000,0.005000
100,0,ひ,1,1,2,0.010000,0.010000,0.010000
100,0,ふ,4,0,4,0.040000,0.000000,0.020000
100,0,ぶ,1,0,1,0.010000,0.000000,0.005000
100,0,ぷ,1,2,3,0.010000,0.020000,0.015000
100,0,へ,1,0,1,0.010000,0.000000,0.005000
100,0,ほ,2,0,2,0.020000,0.000000,0.010000
100,0,ぼ,1,0,1,0.010000,0.000000,0.005000
100,0,ま,3,2,5,0.030000,0.020000,0.025000
100,0,み,1,1,2,0.010000,0.010000,0.010000
100,0,む,3,0,3,0.030000,0.000000,0.015000
100,0,め,3,1,4,0.030000,0.010000,0.020000
