dict_size,random_seed,searched_state_count,memo_size,elapsed_time_sec,timed_out,limit_reason,is_first_player_win,winning_first_move_count,losing_first_move_count,n_ending_count,start_distribution,end_distribution
50,0,75,75,0.000089,False,,True,35,15,5,"{""あ"": 2, ""う"": 1, ""お"": 3, ""か"": 4, ""く"": 2, ""ぐ"": 1, ""さ"": 2, ""し"": 2, ""じ"": 3, ""せ"": 1, ""そ"": 1, ""た"": 2, ""だ"": 2, ""ち"": 1, ""て"": 2, ""ど"": 1, ""な"": 1, ""に"": 1, ""の"": 1, ""は"": 1, ""ば"": 1, ""ふ"": 3, ""ぶ"": 1, ""へ"": 1, ""ほ"": 1, ""ぼ"": 1, ""ま"": 1, ""み"": 1, ""め"": 1, ""も"": 1, ""や"": 1, ""ゆ"": 1, ""り"": 1, ""わ"": 1}","{""い"": 8, ""う"": 5, ""え"": 1, ""く"": 2, ""ぐ"": 1, ""け"": 1, ""こ"": 1, ""じ"": 1, ""す"": 1, ""ず"": 1, ""せ"": 1, ""そ"": 1, ""た"": 1, ""つ"": 2, ""と"": 1, ""ど"": 2, ""ば"": 1, ""ぷ"": 1, ""む"": 1, ""め"": 1, ""も"": 1, ""や"": 2, ""よ"": 1, ""り"": 1, ""る"": 4, ""れ"": 2, ""ん"": 5}"
50,1,105,105,0.000099,False,,True,27,23,7,"{""あ"": 2, ""い"": 6, ""お"": 1, ""か"": 3, ""き"": 2, ""く"": 1, ""こ"": 1, ""し"": 7, ""じ"": 2, ""せ"": 1, ""ぜ"": 1, ""た"": 1, ""ち"": 1, ""つ"": 1, ""と"": 2, ""ど"": 1, ""ね"": 1, ""は"": 2, ""ば"": 1, ""ぱ"": 1, ""ひ"": 2, ""ふ"": 1, ""ぶ"": 1, ""へ"": 2, ""ま"": 1, ""む"": 1, ""も"": 2, ""よ"": 1, ""れ"": 1}","{""あ"": 3, ""い"": 6, ""う"": 9, ""か"": 2, ""き"": 1, ""く"": 4, ""け"": 1, ""こ"": 1, ""し"": 1, ""そ"": 1, ""つ"": 1, ""で"": 1, ""ど"": 1, ""に"": 1, ""ふ"": 1, ""ぶ"": 1, ""む"": 2, ""り"": 2, ""る"": 4, ""ん"": 7}"
50,2,232,232,0.000158,False,,True,24,26,8,"{""い"": 4, ""お"": 1, ""か"": 2, ""く"": 1, ""げ"": 1, ""こ"": 6, ""し"": 3, ""じ"": 1, ""す"": 1, ""そ"": 1, ""た"": 1, ""だ"": 1, ""て"": 4, ""で"": 2, ""と"": 2, ""な"": 1, ""ね"": 1, ""は"": 2, ""ぱ"": 2, ""ぴ"": 1, ""ほ"": 4, ""ぼ"": 1, ""ま"": 2, ""め"": 1, ""や"": 2, ""り"": 1, ""れ"": 1}","{""い"": 10, ""う"": 2, ""か"": 1, ""き"": 5, ""ぎ"": 2, ""く"": 4, ""こ"": 1, ""す"": 1, ""ち"": 1, ""つ"": 3, ""と"": 2, ""な"": 1, ""ふ"": 1, ""ぶ"": 1, ""や"": 2, ""ゆ"": 1, ""よ"": 1, ""ら"": 1, ""る"": 2, ""ん"": 8}"
50,3,137,137,0.000107,False,,True,25,25,4,"{""あ"": 2, ""い"": 2, ""う"": 1, ""お"": 2, ""か"": 1, ""ぎ"": 1, ""く"": 2, ""け"": 2, ""げ"": 1, ""さ"": 1, ""し"": 4, ""じ"": 2, ""す"": 1, ""そ"": 1, ""で"": 1, ""と"": 1, ""ど"": 2, ""な"": 2, ""は"": 2, ""ぱ"": 1, ""ふ"": 5, ""へ"": 1, ""ま"": 1, ""む"": 1, ""め"": 2, ""も"": 1, ""ら"": 1, ""り"": 1, ""る"": 1, ""れ"": 2, ""わ"": 2}","{""あ"": 1, ""い"": 6, ""う"": 7, ""お"": 1, ""か"": 1, ""き"": 1, ""く"": 4, ""げ"": 1, ""こ"": 1, ""し"": 1, ""じ"": 1, ""す"": 3, ""た"": 1, ""つ"": 2, ""と"": 2, ""ど"": 1, ""に"": 1, ""び"": 2, ""ふ"": 1, ""ぶ"": 1, ""ぷ"": 1, ""む"": 2, ""や"": 2, ""り"": 1, ""る"": 1, ""ん"": 4}"
50,4,111,111,0.000097,False,,True,26,24,9,"{""あ"": 1, ""い"": 2, ""お"": 2, ""か"": 4, ""が"": 1, ""け"": 1, ""こ"": 3, ""さ"": 2, ""し"": 4, ""じ"": 3, ""す"": 2, ""ず"": 1, ""せ"": 3, ""そ"": 2, ""ぞ"": 1, ""た"": 1, ""ち"": 1, ""て"": 1, ""と"": 1, ""ど"": 1, ""な"": 2, ""ね"": 1, ""ふ"": 2, ""ほ"": 2, ""ま"": 1, ""み"": 1, ""め"": 2, ""よ"": 1, ""ゔ"": 1}","{""あ"": 1, ""い"": 3, ""う"": 3, ""お"": 2, ""き"": 1, ""ぎ"": 1, ""く"": 3, ""こ"": 1, ""し"": 1, ""じ"": 2, ""す"": 4, ""そ"": 1, ""ち"": 2, ""つ"": 1, ""と"": 4, ""に"": 1, ""ね"": 1, ""ゆ"": 2, ""よ"": 1, ""ら"": 1, ""り"": 1, ""る"": 3, ""れ"": 1, ""ん"": 9}"
75,0,315,315,0.000210,False,,True,43,32,10,"{""あ"": 2, ""う"": 1, ""お"": 3, ""か"": 7, ""が"": 1, ""き"": 1, ""く"": 3, ""ぐ"": 1, ""さ"": 3, ""し"": 4, ""じ"": 3, ""せ"": 3, ""そ"": 2, ""た"": 3, ""だ"": 2, ""ち"": 2, ""て"": 2, ""ど"": 1, ""な"": 1, ""に"": 1, ""の"": 1, ""は"": 1, ""ば"": 1, ""ぱ"": 1, ""ひ"": 1, ""ふ"": 3, ""ぶ"": 1, ""ぷ"": 1, ""へ"": 1, ""ほ"": 2, ""ぼ"": 1, ""ま"": 1, ""み"": 1, ""む"": 2, ""め"": 3, ""も"": 2, ""や"": 1, ""ゆ"": 1, ""り"": 2, ""わ"": 2}","{""あ"": 1, ""い"": 10, ""う"": 8, ""え"": 1, ""か"": 1, ""く"": 4, ""ぐ"": 2, ""け"": 1, ""こ"": 1, ""じ"": 1, ""す"": 1, ""ず"": 1, ""せ"": 1, ""そ"": 1, ""た"": 1, ""ち"": 1, ""つ"": 2, ""と"": 2, ""ど"": 4, ""ば"": 1, ""ぶ"": 1, ""ぷ"": 2, ""む"": 1, ""め"": 1, ""も"": 1, ""や"": 3, ""ゆ"": 1, ""よ"": 1, ""り"": 2, ""る"": 5, ""れ"": 2, ""ん"": 10}"
75,1,336,336,0.000268,False,,True,34,41,11,"{""あ"": 2, ""い"": 7, ""お"": 1, ""か"": 4, ""が"": 1, ""き"": 2, ""く"": 1, ""こ"": 3, ""ご"": 1, ""し"": 8, ""じ"": 2, ""せ"": 2, ""ぜ"": 1, ""そ"": 1, ""た"": 1, ""ち"": 1, ""つ"": 1, ""で"": 1, ""と"": 3, ""ど"": 1, ""な"": 1, ""に"": 1, ""ね"": 2, ""は"": 2, ""ば"": 2, ""ぱ"": 1, ""ひ"": 2, ""ふ"": 2, ""ぶ"": 1, ""へ"": 2, ""ぺ"": 1, ""ほ"": 4, ""ま"": 2, ""む"": 1, ""め"": 1, ""も"": 2, ""よ"": 1, ""り"": 2, ""れ"": 1}","{""あ"": 4, ""い"": 12, ""う"": 9, ""え"": 1, ""か"": 2, ""き"": 3, ""く"": 4, ""け"": 1, ""げ"": 1, ""こ"": 1, ""し"": 1, ""そ"": 1, ""ち"": 1, ""つ"": 4, ""で"": 1, ""ど"": 1, ""に"": 1, ""ふ"": 1, ""ぶ"": 1, ""む"": 3, ""め"": 2, ""ら"": 2, ""り"": 2, ""る"": 4, ""ろ"": 1, ""ん"": 11}"
75,2,458,458,0.000298,False,,True,34,41,12,"{""い"": 4, ""お"": 1, ""か"": 2, ""く"": 1, ""げ"": 2, ""こ"": 7, ""し"": 4, ""じ"": 2, ""す"": 3, ""そ"": 1, ""ぞ"": 1, ""た"": 1, ""だ"": 2, ""つ"": 1, ""て"": 5, ""で"": 2, ""と"": 2, ""な"": 2, ""ね"": 1, ""は"": 2, ""ぱ"": 3, ""ひ"": 3, ""び"": 1, ""ぴ"": 1, ""ふ"": 1, ""ぶ"": 1, ""ぷ"": 1, ""べ"": 1, ""ほ"": 5, ""ぼ"": 1, ""ぽ"": 1, ""ま"": 2, ""み"": 1, ""め"": 1, ""や"": 3, ""ゆ"": 1, ""り"": 1, ""れ"": 1}","{""あ"": 1, ""い"": 12, ""う"": 2, ""え"": 1, ""か"": 1, ""が"": 1, ""き"": 6, ""ぎ"": 3, ""く"": 5, ""こ"": 1, ""ご"": 1, ""じ"": 2, ""す"": 2, ""ち"": 1, ""つ"": 3, ""と"": 4, ""ど"": 1, ""な"": 1, ""ふ"": 1, ""ぶ"": 1, ""や"": 3, ""ゆ"": 1, ""よ"": 1, ""ら"": 2, ""り"": 1, ""る"": 4, ""ろ"": 1, ""ん"": 12}"
75,3,303,303,0.000213,False,,True,35,40,8,"{""あ"": 2, ""い"": 3, ""う"": 1, ""お"": 2, ""か"": 1, ""が"": 1, ""ぎ"": 1, ""く"": 2, ""け"": 2, ""げ"": 1, ""こ"": 1, ""さ"": 1, ""し"": 6, ""じ"": 2, ""す"": 3, ""せ"": 1, ""そ"": 2, ""だ"": 1, ""ち"": 1, ""つ"": 1, ""で"": 1, ""と"": 1, ""ど"": 3, ""な"": 2, ""に"": 1, ""の"": 1, ""は"": 2, ""ぱ"": 1, ""ふ"": 5, ""へ"": 1, ""ほ"": 1, ""ま"": 1, ""み"": 1, ""む"": 2, ""め"": 2, ""も"": 1, ""よ"": 4, ""ら"": 1, ""り"": 3, ""る"": 1, ""れ"": 2, ""わ"": 2, ""ゔ"": 1}","{""あ"": 1, ""い"": 8, ""う"": 9, ""お"": 1, ""か"": 1, ""が"": 1, ""き"": 2, ""く"": 4, ""ぐ"": 1, ""げ"": 1, ""こ"": 2, ""し"": 1, ""じ"": 1, ""す"": 3, ""た"": 1, ""つ"": 7, ""と"": 2, ""ど"": 1, ""に"": 1, ""ね"": 1, ""び"": 2, ""ふ"": 1, ""ぶ"": 1, ""ぷ"": 1, ""ま"": 1, ""む"": 3, ""め"": 1, ""も"": 1, ""や"": 3, ""り"": 2, ""る"": 2, ""ん"": 8}"
75,4,338,338,0.000228,False,,True,38,37,10,"{""あ"": 1, ""い"": 2, ""う"": 1, ""え"": 1, ""お"": 3, ""か"": 5, ""が"": 1, ""ぐ"": 1, ""け"": 1, ""げ"": 1, ""こ"": 3, ""さ"": 4, ""し"": 5, ""じ"": 4, ""す"": 3, ""ず"": 2, ""せ"": 4, ""そ"": 3, ""ぞ"": 1, ""た"": 1, ""ち"": 2, ""て"": 1, ""と"": 1, ""ど"": 1, ""な"": 2, ""ね"": 2, ""は"": 2, ""ば"": 1, ""ひ"": 1, ""び"": 1, ""ふ"": 3, ""ほ"": 2, ""ま"": 2, ""み"": 2, ""め"": 2, ""よ"": 1, ""ろ"": 1, ""ゔ"": 1}","{""あ"": 3, ""い"": 5, ""う"": 4, ""お"": 2, ""き"": 3, ""ぎ"": 1, ""く"": 5, ""ぐ"": 1, ""こ"": 2, ""さ"": 1, ""し"": 2, ""じ"": 2, ""す"": 7, ""そ"": 1, ""ち"": 2, ""つ"": 2, ""と"": 4, ""な"": 1, ""に"": 1, ""ね"": 1, ""む"": 1, ""め"": 1, ""ゆ"": 2, ""よ"": 1, ""ら"": 2, ""り"": 1, ""る"": 5, ""れ"": 1, ""わ"": 1, ""ん"": 10}"
