dict_size,random_seed,char,start_count,end_count,win_move_count_to_char,total_move_count_to_char,win_rate_to_char
100,0,あ,9,3,0,0,0.000000
100,0,い,3,13,0,0,0.000000
100,0,う,3,8,0,0,0.000000
100,0,え,4,1,0,0,0.000000
100,0,お,3,0,0,0,0.000000
100,0,か,5,1,0,0,0.000000
100,0,が,2,1,0,0,0.000000
100,0,き,1,2,0,0,0.000000
100,0,ぎ,2,1,0,0,0.000000
100,0,く,0,8,2,2,1.000000
100,0,け,1,0,0,0,0.000000
100,0,げ,0,2,0,0,0.000000
100,0,こ,4,2,0,0,0.000000
100,0,ご,1,2,0,0,0.000000
100,0,さ,2,0,0,0,0.000000
100,0,ざ,2,0,0,0,0.000000
100,0,し,8,1,0,0,0.000000
100,0,じ,1,2,0,0,0.000000
100,0,す,4,2,0,0,0.000000
100,0,せ,2,0,0,0,0.000000
100,0,ぞ,1,0,0,0,0.000000
100,0,た,1,1,0,0,0.000000
100,0,だ,3,0,0,0,0.000000
100,0,ち,2,2,0,0,0.000000
100,0,つ,1,3,0,0,0.000000
100,0,て,2,3,0,0,0.000000
100,0,と,3,2,0,0,0.000000
100,0,ど,1,0,0,0,0.000000
100,0,に,3,1,0,0,0.000000
100,0,ね,0,1,0,0,0.000000
100,0,は,1,0,0,0,0.000000
100,0,ひ,2,0,0,0,0.000000
100,0,ふ,3,0,0,0,0.000000
100,0,ぺ,1,0,0,0,0.000000
100,0,ほ,1,1,0,0,0.000000
100,0,ま,2,2,0,0,0.000000
100,0,み,2,1,0,0,0.000000
100,0,む,1,0,0,0,0.000000
100,0,め,4,0,0,0,0.000000
100,0,も,2,0,0,0,0.000000
100,0,や,0,4,0,0,0.000000
100,0,ゆ,1,1,0,0,0.000000
100,0,よ,2,0,0,0,0.000000
100,0,ら,0,1,0,0,0.000000
100,0,り,1,4,0,0,0.000000
100,0,る,0,2,0,0,0.000000
100,0,れ,1,2,0,0,0.000000
100,0,ろ,1,4,0,0,0.000000
100,0,わ,1,0,0,0,0.000000
100,0,ん,0,16,0,0,0.000000
150,0,あ,11,4,0,0,0.000000
150,0,い,3,14,0,0,0.000000
150,0,う,4,17,0,0,0.000000
150,0,え,6,2,0,0,0.000000
150,0,お,5,0,0,0,0.000000
150,0,か,7,2,0,0,0.000000
150,0,が,3,1,0,0,0.000000
150,0,き,3,7,0,0,0.000000
150,0,ぎ,2,2,0,0,0.000000
150,0,く,0,12,2,2,1.000000
150,0,け,4,1,0,0,0.000000
150,0,げ,0,2,0,0,0.000000
150,0,こ,7,3,0,0,0.000000
150,0,ご,1,2,0,0,0.000000
150,0,さ,3,1,0,0,0.000000
150,0,ざ,3,0,0,0,0.000000
150,0,し,8,1,0,0,0.000000
150,0,じ,6,4,0,0,0.000000
150,0,す,7,3,0,0,0.000000
150,0,せ,2,0,0,0,0.000000
150,0,ぜ,1,0,0,0,0.000000
150,0,ぞ,1,0,0,0,0.000000
150,0,た,1,2,0,0,0.000000
150,0,だ,3,0,0,0,0.000000
150,0,ち,3,3,0,0,0.000000
150,0,つ,1,3,0,0,0.000000
150,0,て,2,3,0,0,0.000000
150,0,で,2,0,0,0,0.000000
150,0,と,5,4,0,0,0.000000
150,0,ど,1,0,0,0,0.000000
150,0,な,1,1,0,0,0.000000
150,0,に,5,1,0,0,0.000000
150,0,ね,0,2,0,0,0.000000
150,0,は,1,0,0,0,0.000000
150,0,ぱ,1,0,0,0,0.000000
150,0,ひ,3,0,0,0,0.000000
