dict_size,random_seed,char,start_count,end_count,total_count,start_rate,end_rate,total_rate
100,0,あ,9,3,12,0.090000,0.030000,0.060000
100,0,い,3,13,16,0.030000,0.130000,0.080000
100,0,う,3,8,11,0.030000,0.080000,0.055000
100,0,え,4,1,5,0.040000,0.010000,0.025000
100,0,お,3,0,3,0.030000,0.000000,0.015000
100,0,か,5,1,6,0.050000,0.010000,0.030000
100,0,が,2,1,3,0.020000,0.010000,0.015000
100,0,き,1,2,3,0.010000,0.020000,0.015000
100,0,ぎ,2,1,3,0.020000,0.010000,0.015000
100,0,く,0,8,8,0.000000,0.080000,0.040000
100,0,け,1,0,1,0.010000,0.000000,0.005000
100,0,げ,0,2,2,0.000000,0.020000,0.010000
100,0,こ,4,2,6,0.040000,0.020000,0.030000
100,0,ご,1,2,3,0.010000,0.020000,0.015000
100,0,さ,2,0,2,0.020000,0.000000,0.010000
100,0,ざ,2,0,2,0.020000,0.000000,0.010000
100,0,し,8,1,9,0.080000,0.010000,0.045000
100,0,じ,1,2,3,0.010000,0.020000,0.015000
100,0,す,4,2,6,0.040000,0.020000,0.030000
100,0,せ,2,0,2,0.020000,0.000000,0.010000
100,0,ぞ,1,0,1,0.010000,0.000000,0.005000
100,0,た,1,1,2,0.010000,0.010000,0.010000
100,0,だ,3,0,3,0.030000,0.000000,0.015000
100,0,ち,2,2,4,0.020000,0.020000,0.020000
100,0,つ,1,3,4,0.010000,0.030000,0.020000
100,0,て,2,3,5,0.020000,0.030000,0.025000
100,0,と,3,2,5,0.030000,0.020000,0.025000
100,0,ど,1,0,1,0.010000,0.000000,0.005000
100,0,に,3,1,4,0.030000,0.010000,0.020000
100,0,ね,0,1,1,0.000000,0.010000,0.005000
100,0,は,1,0,1,0.010000,0.000000,0.005000
100,0,ひ,2,0,2,0.020000,0.000000,0.010000
100,0,ふ,3,0,3,0.030000,0.000000,0.015000
100,0,ぺ,1,0,1,0.010000,0.000000,0.005000
100,0,ほ,1,1,2,0.010000,0.010000,0.010000
100,0,ま,2,2,4,0.020000,0.020000,0.020000
100,0,み,2,1,3,0.020000,0.010000,0.015000
100,0,む,1,0,1,0.010000,0.000000,0.005000
100,0,め,4,0,4,0.040000,0.000000,0.020000
100,0,も,2,0,2,0.020000,0.000000,0.010000
100,0,や,0,4,4,0.000000,0.040000,0.020000
100,0,ゆ,1,1,2,0.010000,0.010000,0.010000
100,0,よ,2,0,2,0.020000,0.000000,0.010000
100,0,ら,0,1,1,0.000000,0.010000,0.005000
100,0,り,1,4,5,0.010000,0.040000,0.025000
100,0,る,0,2,2,0.000000,0.020000,0.010000
100,0,れ,1,2,3,0.010000,0.020000,0.015000
100,0,ろ,1,4,5,0.010000,0.040000,0.025000
100,0,わ,1,0,1,0.010000,0.000000,0.005000
