dict_size,random_seed,edge_index,start_id,end_id,start_char,end_char,edge_count,result,opponent_reply_count,searched_state_count_after_move
100,0,9,0,9,あ,く,2,win,0,1
150,0,9,0,9,あ,く,2,win,0,1
200,0,9,0,9,あ,く,2,win,2,595
200,0,7,0,7,あ,き,1,lose,3,688
250,0,9,0,9,あ,く,2,win,3,3154
250,0,7,0,7,あ,き,1,lose,4,3697
300,0,9,0,9,あ,く,2,win,3,19837
300,0,7,0,7,あ,き,1,lose,5,33077
350,0,29,0,29,あ,て,1,win,4,2797465
350,0,9,0,9,あ,く,2,lose,5,2
350,0,7,0,7,あ,き,1,lose,7,1822234
350,0,19,0,19,あ,す,1,lose,12,337554
350,0,18,0,18,あ,じ,1,lose,13,563039
350,0,13,0,13,あ,こ,1,lose,15,3420270
400,0,9,0,9,あ,く,2,lose,5,2
400,0,7,0,7,あ,き,1,lose,7,45030496
