match_id,turn,risk_level,beam_won,same_edge,reference_rank,reference_risk_level,reference_attack_score,reference_survival_score,reference_survival_weight,reference_total_score,reference_opponent_legal_word_count,reference_opponent_safe_word_count,reference_opponent_active_edge_type_count,reference_opponent_safe_edge_type_count,reference_opponent_destination_count,reference_opponent_safe_destination_count,reference_own_safe_word_count,reference_own_safe_edge_type_count,reference_own_safe_destination_count,beam_risk_level,beam_attack_score,beam_survival_score,beam_survival_weight,beam_total_score,beam_opponent_legal_word_count,beam_opponent_safe_word_count,beam_opponent_active_edge_type_count,beam_opponent_safe_edge_type_count,beam_opponent_destination_count,beam_opponent_safe_destination_count,beam_own_safe_word_count,beam_own_safe_edge_type_count,beam_own_safe_destination_count
D1000_seed0_alpha_beta_vs_beam_negamax,2,near_death,True,True,1,critical,-649.0,44.791304347826085,1.5,-581.8130434782609,25,23,18,17,18,17,1,1,1,critical,-649.0,44.791304347826085,1.5,-581.8130434782609,25,23,18,17,18,17,1,1,1
D1000_seed0_alpha_beta_vs_beam_negamax,4,danger,True,True,1,danger,-60.0,30.45,0.8,-35.64,2,2,2,2,2,2,5,4,4,danger,-60.0,30.45,0.8,-35.64,2,2,2,2,2,2,5,4,4
D1000_seed0_alpha_beta_vs_beam_negamax,6,near_death,True,True,1,critical,-269.5,100.73333333333333,1.5,-118.4,10,9,9,8,9,8,1,1,1,critical,-269.5,100.73333333333333,1.5,-118.4,10,9,9,8,9,8,1,1,1
D1000_seed0_alpha_beta_vs_beam_negamax,8,caution,True,False,1,caution,-120.0,249.45,0.35,-32.69250000000001,4,4,4,4,4,4,6,6,6,caution,-250.0,99.9,0.35,-215.035,9,9,7,7,7,7,6,6,6
D1000_seed0_alpha_beta_vs_beam_negamax,10,danger,True,True,3,danger,-907.0,103.67272727272727,0.8,-824.0618181818181,39,33,20,19,20,19,4,4,4,danger,-907.0,103.67272727272727,0.8,-824.0618181818181,39,33,20,19,20,19,4,4,4
D1000_seed0_alpha_beta_vs_beam_negamax,12,caution,True,False,2,caution,-138.5,266.8,0.35,-45.120000000000005,7,4,4,3,4,3,6,6,6,caution,-90.0,246.7,0.35,-3.6550000000000153,3,3,3,3,3,3,6,6,6
D1000_seed0_alpha_beta_vs_beam_negamax,14,normal,True,True,3,normal,-220.0,0.0,0.0,-220.0,8,8,6,6,6,6,11,11,11,normal,-220.0,0.0,0.0,-220.0,8,8,6,6,6,6,11,11,11
D1000_seed0_alpha_beta_vs_beam_negamax,16,normal,True,True,6,normal,-309.5,0.0,0.0,-309.5,11,10,11,10,11,10,32,19,19,normal,-309.5,0.0,0.0,-309.5,11,10,11,10,11,10,32,19,19
D1000_seed0_alpha_beta_vs_beam_negamax,18,danger,True,False,2,danger,-279.5,168.46666666666667,0.8,-144.72666666666666,10,9,10,9,10,9,5,5,5,danger,-60.0,188.5,0.8,90.80000000000001,2,2,2,2,2,2,5,5,5
D1000_seed0_alpha_beta_vs_beam_negamax,20,normal,True,True,2,normal,-190.0,0.0,0.0,-190.0,7,7,5,5,5,5,12,8,8,normal,-190.0,0.0,0.0,-190.0,7,7,5,5,5,5,12,8,8
D1000_seed0_alpha_beta_vs_beam_negamax,22,normal,True,True,1,normal,-160.0,0.0,0.0,-160.0,6,6,4,4,4,4,11,8,8,normal,-160.0,0.0,0.0,-160.0,6,6,4,4,4,4,11,8,8
D1000_seed0_alpha_beta_vs_beam_negamax,24,danger,True,True,1,danger,1000000.0,0.0,0.0,1000000.0,0,0,0,0,0,0,4,4,4,danger,1000000.0,0.0,0.0,1000000.0,0,0,0,0,0,0,4,4,4
D1000_seed0_beam_negamax_vs_alpha_beta,1,normal,False,False,10,normal,-49.0,0.0,0.0,-49.0,3,1,2,1,2,1,845,591,61,normal,-30.0,0.0,0.0,-30.0,1,1,1,1,1,1,845,591,61
D1000_seed0_beam_negamax_vs_alpha_beta,3,caution,False,False,3,caution,-199.0,96.75,0.35,-165.1375,8,6,7,6,7,6,9,8,8,caution,-180.0,84.05,0.35,-150.5825,6,6,6,6,6,6,9,8,8
D1000_seed0_beam_negamax_vs_alpha_beta,5,danger,False,True,3,danger,-907.0,103.42727272727272,0.8,-824.2581818181818,39,33,20,19,20,19,4,3,3,danger,-907.0,103.42727272727272,0.8,-824.2581818181818,39,33,20,19,20,19,4,3,3
D1000_seed0_beam_negamax_vs_alpha_beta,7,danger,False,True,2,danger,-239.5,102.3,0.8,-157.66,9,8,8,7,8,7,5,5,5,danger,-239.5,102.3,0.8,-157.66,9,8,8,7,8,7,5,5,5
D1000_seed0_beam_negamax_vs_alpha_beta,9,caution,False,True,2,caution,-198.5,112.44,0.35,-159.14600000000002,9,6,6,5,6,5,6,6,6,caution,-198.5,112.44,0.35,-159.14600000000002,9,6,6,5,6,5,6,6,6
D1000_seed0_beam_negamax_vs_alpha_beta,11,danger,False,False,1,danger,-339.5,127.55454545454546,0.8,-237.45636363636362,12,11,12,11,12,11,4,4,4,danger,-887.0,103.8,0.8,-803.96,38,32,20,19,20,19,4,4,4
D1000_seed0_beam_negamax_vs_alpha_beta,13,danger,False,False,1,danger,-90.0,246.7,0.8,107.36000000000001,3,3,3,3,3,3,4,4,4,danger,-867.0,86.37096774193549,0.8,-797.9032258064516,37,31,20,19,20,19,4,4,4
D1000_seed0_beam_negamax_vs_alpha_beta,15,danger,False,True,1,danger,-90.0,246.7,0.8,107.36000000000001,3,3,3,3,3,3,3,3,3,danger,-90.0,246.7,0.8,107.36000000000001,3,3,3,3,3,3,3,3,3
D1000_seed0_beam_negamax_vs_alpha_beta,17,normal,False,False,2,normal,-209.5,0.0,0.0,-209.5,8,7,7,6,7,6,11,11,11,normal,-438.5,0.0,0.0,-438.5,18,15,12,11,12,11,11,11,11
D1000_seed0_beam_negamax_vs_alpha_beta,19,caution,False,True,2,caution,-209.5,100.75,0.35,-174.2375,8,7,7,6,7,6,10,10,10,caution,-209.5,100.75,0.35,-174.2375,8,7,7,6,7,6,10,10,10
D1000_seed0_beam_negamax_vs_alpha_beta,21,caution,False,True,1,caution,-150.0,81.18,0.35,-121.587,5,5,5,5,5,5,9,9,9,caution,-150.0,81.18,0.35,-121.587,5,5,5,5,5,5,9,9,9
D1000_seed0_beam_negamax_vs_alpha_beta,23,near_death,False,True,1,critical,-320.0,70.65,1.5,-214.02499999999998,12,12,8,8,8,8,2,2,2,critical,-320.0,70.65,1.5,-214.02499999999998,12,12,8,8,8,8,2,2,2
D1000_seed0_beam_negamax_vs_alpha_beta,25,near_death,False,True,1,critical,-329.0,22.990909090909092,1.5,-294.51363636363635,13,11,10,9,10,9,2,2,2,critical,-329.0,22.990909090909092,1.5,-294.51363636363635,13,11,10,9,10,9,2,2,2
D1000_seed0_beam_negamax_vs_pvs,1,normal,False,False,10,normal,-49.0,0.0,0.0,-49.0,3,1,2,1,2,1,845,591,61,normal,-30.0,0.0,0.0,-30.0,1,1,1,1,1,1,845,591,61
D1000_seed0_beam_negamax_vs_pvs,3,caution,False,False,3,caution,-199.0,96.75,0.35,-165.1375,8,6,7,6,7,6,9,8,8,caution,-180.0,84.05,0.35,-150.5825,6,6,6,6,6,6,9,8,8
D1000_seed0_beam_negamax_vs_pvs,5,danger,False,True,3,danger,-907.0,103.42727272727272,0.8,-824.2581818181818,39,33,20,19,20,19,4,3,3,danger,-907.0,103.42727272727272,0.8,-824.2581818181818,39,33,20,19,20,19,4,3,3
D1000_seed0_beam_negamax_vs_pvs,7,danger,False,True,2,danger,-239.5,102.3,0.8,-157.66,9,8,8,7,8,7,5,5,5,danger,-239.5,102.3,0.8,-157.66,9,8,8,7,8,7,5,5,5
D1000_seed0_beam_negamax_vs_pvs,9,caution,False,True,2,caution,-198.5,112.44,0.35,-159.14600000000002,9,6,6,5,6,5,6,6,6,caution,-198.5,112.44,0.35,-159.14600000000002,9,6,6,5,6,5,6,6,6
D1000_seed0_beam_negamax_vs_pvs,11,danger,False,False,1,danger,-339.5,127.55454545454546,0.8,-237.45636363636362,12,11,12,11,12,11,4,4,4,danger,-887.0,103.8,0.8,-803.96,38,32,20,19,20,19,4,4,4
D1000_seed0_beam_negamax_vs_pvs,13,danger,False,False,1,danger,-90.0,246.7,0.8,107.36000000000001,3,3,3,3,3,3,4,4,4,danger,-867.0,86.37096774193549,0.8,-797.9032258064516,37,31,20,19,20,19,4,4,4
D1000_seed0_beam_negamax_vs_pvs,15,danger,False,True,1,danger,-90.0,246.7,0.8,107.36000000000001,3,3,3,3,3,3,3,3,3,danger,-90.0,246.7,0.8,107.36000000000001,3,3,3,3,3,3,3,3,3
D1000_seed0_beam_negamax_vs_pvs,17,normal,False,False,2,normal,-209.5,0.0,0.0,-209.5,8,7,7,6,7,6,11,11,11,normal,-438.5,0.0,0.0,-438.5,18,15,12,11,12,11,11,11,11
D1000_seed0_beam_negamax_vs_pvs,19,caution,False,True,2,caution,-209.5,100.75,0.35,-174.2375,8,7,7,6,7,6,10,10,10,caution,-209.5,100.75,0.35,-174.2375,8,7,7,6,7,6,10,10,10
D1000_seed0_beam_negamax_vs_pvs,21,caution,False,True,1,caution,-150.0,81.18,0.35,-121.587,5,5,5,5,5,5,9,9,9,caution,-150.0,81.18,0.35,-121.587,5,5,5,5,5,5,9,9,9
D1000_seed0_beam_negamax_vs_pvs,23,near_death,False,True,1,critical,-320.0,70.65,1.5,-214.02499999999998,12,12,8,8,8,8,2,2,2,critical,-320.0,70.65,1.5,-214.02499999999998,12,12,8,8,8,8,2,2,2
D1000_seed0_beam_negamax_vs_pvs,25,near_death,False,True,1,critical,-329.0,22.990909090909092,1.5,-294.51363636363635,13,11,10,9,10,9,2,2,2,critical,-329.0,22.990909090909092,1.5,-294.51363636363635,13,11,10,9,10,9,2,2,2
D1000_seed0_pvs_vs_beam_negamax,2,near_death,True,True,1,critical,-649.0,44.791304347826085,1.5,-581.8130434782609,25,23,18,17,18,17,1,1,1,critical,-649.0,44.791304347826085,1.5,-581.8130434782609,25,23,18,17,18,17,1,1,1
D1000_seed0_pvs_vs_beam_negamax,4,danger,True,True,1,danger,-60.0,30.45,0.8,-35.64,2,2,2,2,2,2,5,4,4,danger,-60.0,30.45,0.8,-35.64,2,2,2,2,2,2,5,4,4
D1000_seed0_pvs_vs_beam_negamax,6,near_death,True,True,1,critical,-269.5,100.73333333333333,1.5,-118.4,10,9,9,8,9,8,1,1,1,critical,-269.5,100.73333333333333,1.5,-118.4,10,9,9,8,9,8,1,1,1
D1000_seed0_pvs_vs_beam_negamax,8,caution,True,False,1,caution,-120.0,249.45,0.35,-32.69250000000001,4,4,4,4,4,4,6,6,6,caution,-250.0,99.9,0.35,-215.035,9,9,7,7,7,7,6,6,6
D1000_seed0_pvs_vs_beam_negamax,10,danger,True,True,3,danger,-907.0,103.67272727272727,0.8,-824.0618181818181,39,33,20,19,20,19,4,4,4,danger,-907.0,103.67272727272727,0.8,-824.0618181818181,39,33,20,19,20,19,4,4,4
D1000_seed0_pvs_vs_beam_negamax,12,caution,True,False,2,caution,-138.5,266.8,0.35,-45.120000000000005,7,4,4,3,4,3,6,6,6,caution,-90.0,246.7,0.35,-3.6550000000000153,3,3,3,3,3,3,6,6,6
D1000_seed0_pvs_vs_beam_negamax,14,normal,True,True,3,normal,-220.0,0.0,0.0,-220.0,8,8,6,6,6,6,11,11,11,normal,-220.0,0.0,0.0,-220.0,8,8,6,6,6,6,11,11,11
