beam_edge,beam_end_id,beam_ordering_score,beam_search_score,beam_start_id,beam_won,candidate_count,dict_size,match_id,match_winner,phase,reference_edge,reference_end_id,reference_ordering_score,reference_rank,reference_search_score,reference_start_id,required_char,risk_level,same_edge,seed,top_12,top_16,top_2,top_4,top_6,top_8,turn,widened_edge,widened_selects_reference
る→る,63,-30.0,533.144,63,False,640,1000,D1000_seed0_beam_negamax_vs_alpha_beta,alpha_beta,early,よ→び,42,-49.0,10,237.26,60,ANY,normal,False,0,True,True,False,False,False,False,1,る→る,False
る→る,63,-30.0,533.144,63,False,640,1000,D1000_seed0_beam_negamax_vs_pvs,pvs,early,よ→び,42,-49.0,10,237.26,60,ANY,normal,False,0,True,True,False,False,False,False,1,る→る,False
や→わ,66,-498.0,357.74571428571426,58,True,18,3000,D3000_seed0_alpha_beta_vs_beam_negamax,beam_negamax,early,や→り,62,-1117.0,12,418.5,58,や,normal,False,0,True,True,False,False,False,False,4,や→ぐ,False
や→わ,66,-468.0,454.8034482758621,58,False,18,3000,D3000_seed0_beam_negamax_vs_alpha_beta,alpha_beta,middle,や→う,2,-898.5,10,448.5,58,や,normal,False,0,True,True,False,False,False,False,25,や→う,True
う→の,37,-379.0,-999996.0,2,False,20,3000,D3000_seed0_beam_negamax_vs_alpha_beta,alpha_beta,late,う→く,9,-1407.0,10,219.5,2,う,normal,False,0,True,True,False,False,False,False,35,う→く,True
や→わ,66,-468.0,454.8034482758621,58,False,18,3000,D3000_seed0_beam_negamax_vs_pvs,pvs,middle,や→う,2,-898.5,10,448.5,58,や,normal,False,0,True,True,False,False,False,False,25,や→う,True
う→の,37,-379.0,-999996.0,2,False,20,3000,D3000_seed0_beam_negamax_vs_pvs,pvs,late,う→く,9,-1407.0,10,219.5,2,う,normal,False,0,True,True,False,False,False,False,35,う→く,True
や→わ,66,-498.0,357.74571428571426,58,True,18,3000,D3000_seed0_pvs_vs_beam_negamax,beam_negamax,early,や→り,62,-1117.0,12,418.5,58,や,normal,False,0,True,True,False,False,False,False,4,や→ぐ,False
つ→ぜ,22,-1162.0,1255.5,28,False,35,10000,D10000_seed0_alpha_beta_vs_beam_negamax,alpha_beta,middle,つ→め,56,-2323.5,12,1555.5,28,つ,normal,False,0,True,True,False,False,False,False,68,つ→の,False
つ→ば,39,-2288.0,99.5,28,False,31,10000,D10000_seed0_alpha_beta_vs_beam_negamax,alpha_beta,late,つ→う,2,-2643.5,10,1275.5,28,つ,normal,False,0,True,True,False,False,False,False,100,つ→で,False
つ→や,58,-1735.0,219.5,28,False,35,10000,D10000_seed0_beam_negamax_vs_alpha_beta,alpha_beta,middle,つ→つ,28,-2127.0,10,1664.0,28,つ,normal,False,0,True,True,False,False,False,False,35,つ→つ,True
つ→ぐ,10,-1228.0,189.5,28,False,34,10000,D10000_seed0_beam_negamax_vs_alpha_beta,alpha_beta,middle,つ→つ,28,-2097.0,9,1844.2266666666667,28,つ,normal,False,0,True,True,False,False,False,False,37,つ→つ,True
つ→や,58,-1735.0,219.5,28,False,35,10000,D10000_seed0_beam_negamax_vs_pvs,pvs,middle,つ→つ,28,-2127.0,10,1664.0,28,つ,normal,False,0,True,True,False,False,False,False,35,つ→や,False
つ→ぐ,10,-1228.0,189.5,28,False,34,10000,D10000_seed0_beam_negamax_vs_pvs,pvs,middle,つ→つ,28,-2097.0,9,1844.2266666666667,28,つ,normal,False,0,True,True,False,False,False,False,37,つ→つ,True
つ→ぜ,22,-1162.0,1255.5,28,False,35,10000,D10000_seed0_pvs_vs_beam_negamax,pvs,middle,つ→め,56,-2323.5,12,1555.5,28,つ,normal,False,0,True,True,False,False,False,False,68,つ→の,False
つ→ば,39,-2288.0,99.5,28,False,31,10000,D10000_seed0_pvs_vs_beam_negamax,pvs,late,つ→う,2,-2643.5,10,1275.5,28,つ,normal,False,0,True,True,False,False,False,False,100,つ→で,False
