match_id,dict_size,seed,opponent,turn_count,cause,evidence_turn,risk_level,reference_rank,candidate_count,reference_edge,beam_edge,classification_is_hypothesis
D1000_seed0_beam_negamax_vs_alpha_beta,1000,0,alpha_beta,26,reference_excluded_by_root_width,1,normal,10,640,よ→び,る→る,True
D1000_seed0_beam_negamax_vs_pvs,1000,0,pvs,26,reference_excluded_by_root_width,1,normal,10,640,よ→び,る→る,True
D3000_seed0_beam_negamax_vs_alpha_beta,3000,0,alpha_beta,38,reference_excluded_by_root_width,25,normal,10,18,や→う,や→わ,True
D3000_seed0_beam_negamax_vs_pvs,3000,0,pvs,38,reference_excluded_by_root_width,25,normal,10,18,や→う,や→わ,True
D5000_seed0_alpha_beta_vs_beam_negamax,5000,0,alpha_beta,51,deep_beam_or_approximation,2,danger,1,3,ぬ→る,ぬ→み,True
D5000_seed0_beam_negamax_vs_alpha_beta,5000,0,alpha_beta,54,deep_beam_or_approximation,3,caution,1,6,る→る,る→す,True
D5000_seed0_beam_negamax_vs_pvs,5000,0,pvs,54,deep_beam_or_approximation,3,caution,1,6,る→る,る→す,True
D5000_seed0_pvs_vs_beam_negamax,5000,0,pvs,51,deep_beam_or_approximation,2,danger,1,3,ぬ→る,ぬ→み,True
D10000_seed0_alpha_beta_vs_beam_negamax,10000,0,alpha_beta,112,reference_excluded_by_root_width,68,normal,12,35,つ→め,つ→ぜ,True
D10000_seed0_beam_negamax_vs_alpha_beta,10000,0,alpha_beta,61,reference_excluded_by_root_width,35,normal,10,35,つ→つ,つ→や,True
D10000_seed0_beam_negamax_vs_pvs,10000,0,pvs,61,reference_excluded_by_root_width,35,normal,10,35,つ→つ,つ→や,True
D10000_seed0_pvs_vs_beam_negamax,10000,0,pvs,112,reference_excluded_by_root_width,68,normal,12,35,つ→め,つ→ぜ,True
D20000_seed0_alpha_beta_vs_beam_negamax,20000,0,alpha_beta,150,reference_excluded_by_root_width,96,normal,10,35,や→つ,や→の,True
D20000_seed0_beam_negamax_vs_alpha_beta,20000,0,alpha_beta,285,reference_excluded_by_root_width,3,normal,12,35,の→や,の→ず,True
D20000_seed0_beam_negamax_vs_pvs,20000,0,pvs,285,reference_excluded_by_root_width,93,normal,14,33,や→よ,や→ね,True
D20000_seed0_pvs_vs_beam_negamax,20000,0,pvs,150,reference_excluded_by_root_width,96,normal,10,35,や→つ,や→の,True
D20000_seed1_alpha_beta_vs_beam_negamax,20000,1,alpha_beta,208,reference_excluded_by_root_width,166,normal,10,30,む→う,む→る,True
D20000_seed1_beam_negamax_vs_alpha_beta,20000,1,alpha_beta,215,reference_excluded_by_root_width,119,normal,11,42,つ→つ,つ→る,True
D20000_seed1_beam_negamax_vs_pvs,20000,1,pvs,215,reference_excluded_by_root_width,119,normal,11,42,つ→つ,つ→る,True
D20000_seed1_pvs_vs_beam_negamax,20000,1,pvs,208,reference_excluded_by_root_width,126,normal,14,37,げ→つ,げ→る,True
D20000_seed2_alpha_beta_vs_beam_negamax,20000,2,alpha_beta,150,reference_excluded_by_root_width,124,normal,9,55,く→む,く→る,True
D20000_seed2_beam_negamax_vs_alpha_beta,20000,2,alpha_beta,149,reference_excluded_by_root_width,123,normal,9,55,く→む,く→る,True
D20000_seed2_beam_negamax_vs_pvs,20000,2,pvs,149,reference_excluded_by_root_width,123,normal,9,55,く→む,く→る,True
D20000_seed2_pvs_vs_beam_negamax,20000,2,pvs,150,reference_excluded_by_root_width,124,normal,9,55,く→む,く→る,True
