group_type,group,positions,same_edge_rate,top_2_reference_retention_rate,top_4_reference_retention_rate,top_6_reference_retention_rate,top_8_reference_retention_rate,top_12_reference_retention_rate,top_16_reference_retention_rate,beam_win_rate
all,all,1582,0.48672566371681414,0.6820480404551201,0.8015170670037927,0.9026548672566371,0.9506953223767383,0.9905183312262958,1.0,0.05056890012642225
risk,caution,132,0.5606060606060606,0.8939393939393939,1.0,1.0,1.0,1.0,1.0,0.09090909090909091
risk,danger,98,0.7346938775510204,0.9387755102040817,1.0,1.0,1.0,1.0,1.0,0.10204081632653061
risk,near_death,70,0.9428571428571428,1.0,1.0,1.0,1.0,1.0,1.0,0.11428571428571428
risk,normal,1282,0.43525741029641185,0.6232449297971919,0.7550702028081123,0.8798751950078003,0.9391575663026521,0.9882995319812793,1.0,0.0390015600624025
size,D1000,50,0.68,0.76,0.92,0.96,0.96,1.0,1.0,0.48
size,D10000,174,0.4482758620689655,0.7471264367816092,0.896551724137931,0.9540229885057471,0.9540229885057471,1.0,1.0,0.0
size,D20000,1160,0.506896551724138,0.6853448275862069,0.8,0.9017241379310345,0.946551724137931,0.9870689655172413,1.0,0.0
size,D3000,94,0.3404255319148936,0.5106382978723404,0.6595744680851063,0.851063829787234,0.9361702127659575,1.0,1.0,0.5957446808510638
size,D5000,104,0.36538461538461536,0.6538461538461539,0.7307692307692307,0.8461538461538461,1.0,1.0,1.0,0.0
phase,early,522,0.30842911877394635,0.7471264367816092,0.8639846743295019,0.975095785440613,0.9865900383141762,0.9961685823754789,1.0,0.04980842911877394
phase,late,530,0.6811320754716981,0.7188679245283018,0.779245283018868,0.8226415094339623,0.9245283018867925,0.9886792452830189,1.0,0.052830188679245285
phase,middle,530,0.4679245283018868,0.5811320754716981,0.7622641509433963,0.9113207547169812,0.9415094339622642,0.9867924528301887,1.0,0.04905660377358491
candidate_count,1-8,318,0.7044025157232704,0.9622641509433962,1.0,1.0,1.0,1.0,1.0,0.08176100628930817
candidate_count,17+,954,0.4088050314465409,0.6132075471698113,0.7442348008385744,0.8825995807127882,0.9287211740041929,0.9842767295597484,1.0,0.018867924528301886
candidate_count,9-16,310,0.5032258064516129,0.6064516129032258,0.7741935483870968,0.864516129032258,0.967741935483871,1.0,1.0,0.11612903225806452
