beam_edge,beam_end_id,beam_ordering_score,beam_search_score,beam_start_id,beam_won,candidate_count,dict_size,match_id,match_winner,phase,reference_edge,reference_end_id,reference_ordering_score,reference_rank,reference_search_score,reference_start_id,required_char,risk_level,same_edge,seed,top_12,top_16,top_2,top_4,top_6,top_8,turn,widened_edge,widened_selects_reference,original_winner_agent,counterfactual_winner_agent,original_match_turns,counterfactual_match_turns,classification,counterfactual_edge_history
る→る,63,-30.0,533.144,63,False,640,1000,D1000_seed0_beam_negamax_vs_alpha_beta,alpha_beta,early,よ→び,42,-49.0,10,237.26,60,ANY,normal,False,0,True,True,False,False,False,False,1,る→る,False,alpha_beta,alpha_beta,26,34,same_outcome_longer_survival,"[[42, 19], [19, 63], [63, 63], [63, 55], [55, 66], [66, 9], [9, 10], [10, 5], [5, 60], [60, 41], [41, 28], [28, 29], [29, 2], [2, 9], [9, 64], [64, 55], [55, 2], [2, 55], [55, 58], [58, 55], [55, 28], [28, 9], [9, 5], [5, 28], [28, 58], [58, 10], [10, 2], [2, 37], [37, 2], [2, 3], [3, 9], [9, 61], [61, 63]]"
る→る,63,-30.0,533.144,63,False,640,1000,D1000_seed0_beam_negamax_vs_pvs,pvs,early,よ→び,42,-49.0,10,237.26,60,ANY,normal,False,0,True,True,False,False,False,False,1,る→る,False,pvs,pvs,26,34,same_outcome_longer_survival,"[[42, 19], [19, 63], [63, 63], [63, 55], [55, 66], [66, 9], [9, 10], [10, 5], [5, 60], [60, 41], [41, 28], [28, 29], [29, 2], [2, 9], [9, 64], [64, 55], [55, 2], [2, 55], [55, 58], [58, 55], [55, 28], [28, 9], [9, 5], [5, 28], [28, 58], [58, 10], [10, 2], [2, 37], [37, 2], [2, 3], [3, 9], [9, 61], [61, 63]]"
や→わ,66,-468.0,454.8034482758621,58,False,18,3000,D3000_seed0_beam_negamax_vs_alpha_beta,alpha_beta,middle,や→う,2,-898.5,10,448.5,58,や,normal,False,0,True,True,False,False,False,False,25,や→う,True,alpha_beta,beam_negamax,38,33,outcome_improved,"[[2, 28], [28, 2], [2, 11], [11, 2], [2, 37], [37, 63], [63, 59], [59, 63]]"
や→わ,66,-468.0,454.8034482758621,58,False,18,3000,D3000_seed0_beam_negamax_vs_pvs,pvs,middle,や→う,2,-898.5,10,448.5,58,や,normal,False,0,True,True,False,False,False,False,25,や→う,True,pvs,beam_negamax,38,33,outcome_improved,"[[2, 28], [28, 2], [2, 11], [11, 2], [2, 37], [37, 63], [63, 59], [59, 63]]"
つ→ぜ,22,-1162.0,1255.5,28,False,35,10000,D10000_seed0_alpha_beta_vs_beam_negamax,alpha_beta,middle,つ→め,56,-2323.5,12,1555.5,28,つ,normal,False,0,True,True,False,False,False,False,68,つ→の,False,alpha_beta,alpha_beta,112,114,same_outcome_longer_survival,"[[56, 28], [28, 22], [22, 61], [61, 56], [56, 63], [63, 59], [59, 20], [20, 28], [28, 8], [8, 10], [10, 63], [63, 33], [33, 63], [63, 1], [1, 63], [63, 2], [2, 63], [63, 55], [55, 8], [8, 58], [58, 16], [16, 2], [2, 55], [55, 58], [58, 55], [55, 58], [58, 8], [8, 8], [8, 55], [55, 28], [28, 28], [28, 58], [58, 28], [28, 39], [39, 63], [63, 31], [31, 63], [63, 31], [31, 63], [63, 19], [19, 63], [63, 0], [0, 63], [63, 7], [7, 63], [63, 67]]"
つ→や,58,-1735.0,219.5,28,False,35,10000,D10000_seed0_beam_negamax_vs_alpha_beta,alpha_beta,middle,つ→つ,28,-2127.0,10,1664.0,28,つ,normal,False,0,True,True,False,False,False,False,35,つ→つ,True,alpha_beta,beam_negamax,61,60,outcome_improved,"[[28, 58], [58, 28], [28, 66], [66, 20], [20, 2], [2, 63], [63, 59], [59, 63], [63, 46], [46, 63], [63, 59], [59, 63], [63, 19], [19, 63], [63, 0], [0, 63], [63, 7], [7, 63], [63, 2], [2, 20], [20, 64], [64, 63], [63, 1], [1, 63], [63, 67]]"
つ→や,58,-1735.0,219.5,28,False,35,10000,D10000_seed0_beam_negamax_vs_pvs,pvs,middle,つ→つ,28,-2127.0,10,1664.0,28,つ,normal,False,0,True,True,False,False,False,False,35,つ→や,False,pvs,beam_negamax,61,60,outcome_improved,"[[28, 58], [58, 28], [28, 66], [66, 20], [20, 2], [2, 63], [63, 59], [59, 63], [63, 46], [46, 63], [63, 59], [59, 63], [63, 19], [19, 63], [63, 0], [0, 63], [63, 7], [7, 63], [63, 2], [2, 20], [20, 64], [64, 63], [63, 1], [1, 63], [63, 67]]"
つ→ぜ,22,-1162.0,1255.5,28,False,35,10000,D10000_seed0_pvs_vs_beam_negamax,pvs,middle,つ→め,56,-2323.5,12,1555.5,28,つ,normal,False,0,True,True,False,False,False,False,68,つ→の,False,pvs,pvs,112,114,same_outcome_longer_survival,"[[56, 28], [28, 22], [22, 61], [61, 56], [56, 63], [63, 59], [59, 20], [20, 28], [28, 8], [8, 10], [10, 63], [63, 33], [33, 63], [63, 1], [1, 63], [63, 2], [2, 63], [63, 55], [55, 8], [8, 58], [58, 16], [16, 2], [2, 55], [55, 58], [58, 55], [55, 58], [58, 8], [8, 8], [8, 55], [55, 28], [28, 28], [28, 58], [58, 28], [28, 39], [39, 63], [63, 31], [31, 63], [63, 31], [31, 63], [63, 19], [19, 63], [63, 0], [0, 63], [63, 7], [7, 63], [63, 67]]"
や→の,37,-2822.5,4059.5,58,False,35,20000,D20000_seed0_alpha_beta_vs_beam_negamax,alpha_beta,middle,や→つ,28,-4220.5,10,626.5,58,や,normal,False,0,True,True,False,False,False,False,96,や→わ,False,alpha_beta,alpha_beta,150,150,same_outcome,"[[28, 63], [63, 2], [2, 58], [58, 37], [37, 20], [20, 2], [2, 58], [58, 36], [36, 63], [63, 33], [33, 63], [63, 59], [59, 63], [63, 59], [59, 63], [63, 19], [19, 63], [63, 19], [19, 63], [63, 19], [19, 63], [63, 19], [19, 63], [63, 19], [19, 63], [63, 1], [1, 63], [63, 1], [1, 63], [63, 1], [1, 63], [63, 1], [1, 63], [63, 9], [9, 63], [63, 62], [62, 63], [63, 19], [19, 63], [63, 31], [31, 63], [63, 31], [31, 63], [63, 44], [44, 63], [63, 1], [1, 63], [63, 0], [0, 63], [63, 7], [7, 63], [63, 18], [18, 63], [63, 67]]"
の→ず,20,-704.0,896.5,37,False,35,20000,D20000_seed0_beam_negamax_vs_alpha_beta,alpha_beta,early,の→や,58,-3333.0,12,936.5,37,の,normal,False,0,True,True,False,False,False,False,3,の→や,True,alpha_beta,beam_negamax,285,162,outcome_improved,"[[58, 58], [58, 58], [58, 58], [58, 58], [58, 58], [58, 16], [16, 58], [58, 58], [58, 58], [58, 10], [10, 20], [20, 20], [20, 55], [55, 10], [10, 46], [46, 10], [10, 46], [46, 20], [20, 61], [61, 10], [10, 42], [42, 20], [20, 64], [64, 20], [20, 6], [6, 20], [20, 28], [28, 10], [10, 37], [37, 20], [20, 28], [28, 10], [10, 8], [8, 16], [16, 43], [43, 16], [16, 12], [12, 46], [46, 16], [16, 28], [28, 58], [58, 10], [10, 8], [8, 16], [16, 28], [28, 22], [22, 16], [16, 28], [28, 58], [58, 36], [36, 16], [16, 28], [28, 58], [58, 36], [36, 58], [58, 36], [36, 16], [16, 28], [28, 22], [22, 58], [58, 8], [8, 16], [16, 60], [60, 20], [20, 60], [60, 20], [20, 60], [60, 10], [10, 61], [61, 10], [10, 28], [28, 36], [36, 43], [43, 10], [10, 28], [28, 36], [36, 43], [43, 10], [10, 39], [39, 10], [10, 32], [32, 10], [10, 32], [32, 10], [10, 32], [32, 10], [10, 32], [32, 10], [10, 60], [60, 58], [58, 8], [8, 10], [10, 63], [63, 63], [63, 46], [46, 63], [63, 63], [63, 63], [63, 12], [12, 63], [63, 2], [2, 63], [63, 2], [2, 63], [63, 2], [2, 63], [63, 28], [28, 63], [63, 62], [62, 63], [63, 31], [31, 63], [63, 31], [31, 63], [63, 52], [52, 63], [63, 42], [42, 63], [63, 1], [1, 63], [63, 1], [1, 63], [63, 1], [1, 63], [63, 1], [1, 63], [63, 1], [1, 63], [63, 59], [59, 63], [63, 19], [19, 63], [63, 19], [19, 63], [63, 19], [19, 63], [63, 55], [55, 63], [63, 59], [59, 63], [63, 33], [33, 63], [63, 9], [9, 63], [63, 19], [19, 63], [63, 19], [19, 63], [63, 19], [19, 63], [63, 44], [44, 63], [63, 0], [0, 63], [63, 7], [7, 63], [63, 18], [18, 63], [63, 67]]"
