feature,outcome,sample_count,pearson_r,descriptive_only
total_words,mean_match_turns,7,0.9913271866928809,True
total_words,danger_turn_rate,7,-0.8081799821363946,True
total_words,beam_top8_retention,7,-0.38136208037239105,True
safe_words,mean_match_turns,7,0.991339058008169,True
safe_words,danger_turn_rate,7,-0.8084927631166475,True
safe_words,beam_top8_retention,7,-0.3805483590787143,True
edge_types,mean_match_turns,7,0.93890015888952,True
edge_types,danger_turn_rate,7,-0.9178621153458655,True
edge_types,beam_top8_retention,7,-0.28405709193714906,True
safe_edge_types,mean_match_turns,7,0.9397461642198387,True
safe_edge_types,danger_turn_rate,7,-0.9162237834149997,True
safe_edge_types,beam_top8_retention,7,-0.284481462372385,True
start_word_hhi,mean_match_turns,7,0.6213278721341332,True
start_word_hhi,danger_turn_rate,7,-0.1497601509147007,True
start_word_hhi,beam_top8_retention,7,-0.5027997689861952,True
mean_outgoing_words_active,mean_match_turns,7,0.9913271866928808,True
mean_outgoing_words_active,danger_turn_rate,7,-0.8081799821363945,True
mean_outgoing_words_active,beam_top8_retention,7,-0.3813620803723911,True
largest_strong_component,mean_match_turns,7,0.6403391397634712,True
largest_strong_component,danger_turn_rate,7,-0.9397063485031658,True
largest_strong_component,beam_top8_retention,7,0.05336846948711542,True
cycle_char_count,mean_match_turns,7,0.6403391397634712,True
cycle_char_count,danger_turn_rate,7,-0.9397063485031658,True
cycle_char_count,beam_top8_retention,7,0.05336846948711542,True
