agent,seat,games,wins,losses,draws,win_rate,first_games,first_win_rate,second_games,second_win_rate,mean_turns,median_turns,p95_turns,min_turns,max_turns,mean_time_sec
alpha_beta,first,24,16,8,0,0.6666666666666666,24,0.6666666666666666,0,0.0,89.58333333333333,58.5,229.0,17,321,0.08232881979766628
alpha_beta,second,24,19,5,0,0.7916666666666666,0,0.0,24,0.7916666666666666,93.125,59.0,285.0,4,321,0.08314159779180273
beam_negamax,first,24,9,15,0,0.375,24,0.375,0,0.0,91.125,57.5,285.0,7,285,0.07401051266247309
beam_negamax,second,24,13,11,0,0.5416666666666666,0,0.0,24,0.5416666666666666,86.04166666666667,73.5,208.0,4,208,0.07495024140568589
greedy,first,24,0,24,0,0.0,24,0.0,0,0.0,46.291666666666664,31.5,105.0,4,105,0.0004352506079805139
greedy,second,24,0,24,0,0.0,0,0.0,24,0.0,49.75,50.0,96.0,7,100,3.7423295343658374e-05
minimax,first,12,8,4,0,0.6666666666666666,12,0.6666666666666666,0,0.0,49.333333333333336,56.0,90.0,15,90,0.026217827138796227
minimax,second,12,8,4,0,0.6666666666666666,0,0.0,12,0.6666666666666666,38.416666666666664,38.0,72.0,4,72,0.024721768621957657
pvs,first,24,16,8,0,0.6666666666666666,24,0.6666666666666666,0,0.0,89.58333333333333,58.5,229.0,17,321,0.09228001913041022
pvs,second,24,19,5,0,0.7916666666666666,0,0.0,24,0.7916666666666666,93.125,59.0,285.0,4,321,0.09162264990753471
