dict_size,seed,agent,games,wins,losses,draws,win_rate,first_games,first_win_rate,second_games,second_win_rate,mean_turns,median_turns,p95_turns,min_turns,max_turns,mean_time_sec
1000,0,alpha_beta,8,5,3,0,0.625,4,0.5,4,0.75,23.625,26.5,32.0,4,32,0.013163905731262353
1000,0,beam_negamax,8,5,3,0,0.625,4,0.5,4,0.75,21.625,25.0,35.0,4,35,0.022820458839826585
1000,0,greedy,8,0,8,0,0.0,4,0.0,4,0.0,9.0,5.5,17.0,4,17,0.0004580721856438599
1000,0,minimax,8,5,3,0,0.625,4,0.5,4,0.75,26.125,32.0,35.0,4,35,0.011634506336526506
1000,0,pvs,8,5,3,0,0.625,4,0.5,4,0.75,23.625,26.5,32.0,4,32,0.015253013781939967
10000,0,alpha_beta,6,5,1,0,0.8333333333333334,3,0.6666666666666666,3,1.0,63.666666666666664,61.0,112.0,37,112,0.11019839882140288
10000,0,beam_negamax,6,2,4,0,0.3333333333333333,3,0.3333333333333333,3,0.3333333333333333,74.83333333333333,61.0,112.0,50,112,0.09479246277863473
10000,0,greedy,6,0,6,0,0.0,3,0.0,3,0.0,46.166666666666664,50.0,53.0,37,53,0.00019410368383095358
10000,0,pvs,6,5,1,0,0.8333333333333334,3,0.6666666666666666,3,1.0,63.666666666666664,61.0,112.0,37,112,0.11582342128413002
20000,0,alpha_beta,6,5,1,0,0.8333333333333334,3,0.6666666666666666,3,1.0,162.66666666666666,174.5,285.0,68,285,0.11279502348995953
20000,0,beam_negamax,6,2,4,0,0.3333333333333333,3,0.3333333333333333,3,0.3333333333333333,175.16666666666666,150.0,285.0,81,285,0.10018593278300734
20000,0,greedy,6,0,6,0,0.0,3,0.0,3,0.0,77.83333333333333,75.0,100.0,68,100,0.00013843532130705067
20000,0,pvs,6,5,1,0,0.8333333333333334,3,0.6666666666666666,3,1.0,162.66666666666666,174.5,285.0,68,285,0.1179479377305029
20000,1,alpha_beta,6,5,1,0,0.8333333333333334,3,0.6666666666666666,3,1.0,173.33333333333334,211.5,229.0,78,229,0.11966016545592695
20000,1,beam_negamax,6,2,4,0,0.3333333333333333,3,0.3333333333333333,3,0.3333333333333333,173.5,208.0,215.0,96,215,0.09924409161891595
20000,1,greedy,6,0,6,0,0.0,3,0.0,3,0.0,85.5,81.0,99.0,78,99,0.00012610615991312215
20000,1,pvs,6,5,1,0,0.8333333333333334,3,0.6666666666666666,3,1.0,173.33333333333334,211.5,229.0,78,229,0.13327672531445622
20000,2,alpha_beta,6,5,1,0,0.8333333333333334,3,0.6666666666666666,3,1.0,189.0,149.5,321.0,88,321,0.11228977225858516
20000,2,beam_negamax,6,2,4,0,0.3333333333333333,3,0.3333333333333333,3,0.3333333333333333,129.16666666666666,149.0,150.0,82,150,0.10739583256956196
20000,2,greedy,6,0,6,0,0.0,3,0.0,3,0.0,93.83333333333333,91.5,105.0,82,105,0.00011775246496229571
20000,2,pvs,6,5,1,0,0.8333333333333334,3,0.6666666666666666,3,1.0,189.0,149.5,321.0,88,321,0.13075870128148107
3000,0,alpha_beta,8,4,4,0,0.5,4,0.5,4,0.5,38.75,34.5,61.0,26,61,0.07786850682823947
3000,0,beam_negamax,8,6,2,0,0.75,4,0.5,4,1.0,45.5,41.5,90.0,16,90,0.053672045189870926
3000,0,greedy,8,0,8,0,0.0,4,0.0,4,0.0,28.625,26.0,55.0,16,55,0.00021040860905735374
3000,0,minimax,8,6,2,0,0.75,4,0.75,4,0.75,52.375,50.0,90.0,19,90,0.027583890131154837
3000,0,pvs,8,4,4,0,0.5,4,0.5,4,0.5,38.75,34.5,61.0,26,61,0.0893019476231344
5000,0,alpha_beta,8,6,2,0,0.75,4,1.0,4,0.5,44.25,48.0,61.0,20,61,0.06417132018949932
5000,0,beam_negamax,8,3,5,0,0.375,4,0.25,4,0.5,49.875,52.5,72.0,24,72,0.06917601836218945
5000,0,greedy,8,0,8,0,0.0,4,0.0,4,0.0,23.0,21.0,31.0,20,31,0.0003172426927612366
5000,0,minimax,8,5,3,0,0.625,4,0.75,4,0.5,53.125,59.0,72.0,20,72,0.03719099717344949
5000,0,pvs,8,6,2,0,0.75,4,1.0,4,0.5,44.25,48.0,61.0,20,61,0.07379795650083276
