dict_size,agent,games,wins,losses,draws,win_rate,first_games,first_win_rate,second_games,second_win_rate,mean_turns,median_turns,p95_turns,min_turns,max_turns,mean_time_sec
1000,alpha_beta,8,5,3,0,0.625,4,0.5,4,0.75,23.625,26.5,32.0,4,32,0.013163905731262353
1000,beam_negamax,8,5,3,0,0.625,4,0.5,4,0.75,21.625,25.0,35.0,4,35,0.022820458839826585
1000,greedy,8,0,8,0,0.0,4,0.0,4,0.0,9.0,5.5,17.0,4,17,0.0004580721856438599
1000,minimax,8,5,3,0,0.625,4,0.5,4,0.75,26.125,32.0,35.0,4,35,0.011634506336526506
1000,pvs,8,5,3,0,0.625,4,0.5,4,0.75,23.625,26.5,32.0,4,32,0.015253013781939967
10000,alpha_beta,6,5,1,0,0.8333333333333334,3,0.6666666666666666,3,1.0,63.666666666666664,61.0,112.0,37,112,0.11019839882140288
10000,beam_negamax,6,2,4,0,0.3333333333333333,3,0.3333333333333333,3,0.3333333333333333,74.83333333333333,61.0,112.0,50,112,0.09479246277863473
10000,greedy,6,0,6,0,0.0,3,0.0,3,0.0,46.166666666666664,50.0,53.0,37,53,0.00019410368383095358
10000,pvs,6,5,1,0,0.8333333333333334,3,0.6666666666666666,3,1.0,63.666666666666664,61.0,112.0,37,112,0.11582342128413002
20000,alpha_beta,18,15,3,0,0.8333333333333334,9,0.6666666666666666,9,1.0,175.0,174.5,321.0,68,321,0.11491498706815723
20000,beam_negamax,18,6,12,0,0.3333333333333333,9,0.3333333333333333,9,0.3333333333333333,159.27777777777777,150.0,285.0,81,285,0.10227528565716175
20000,greedy,18,0,18,0,0.0,9,0.0,9,0.0,85.72222222222223,81.5,105.0,68,105,0.00012743131539415617
20000,pvs,18,15,3,0,0.8333333333333334,9,0.6666666666666666,9,1.0,175.0,174.5,321.0,68,321,0.1273277881088134
3000,alpha_beta,8,4,4,0,0.5,4,0.5,4,0.5,38.75,34.5,61.0,26,61,0.07786850682823947
3000,beam_negamax,8,6,2,0,0.75,4,0.5,4,1.0,45.5,41.5,90.0,16,90,0.053672045189870926
3000,greedy,8,0,8,0,0.0,4,0.0,4,0.0,28.625,26.0,55.0,16,55,0.00021040860905735374
3000,minimax,8,6,2,0,0.75,4,0.75,4,0.75,52.375,50.0,90.0,19,90,0.027583890131154837
3000,pvs,8,4,4,0,0.5,4,0.5,4,0.5,38.75,34.5,61.0,26,61,0.0893019476231344
5000,alpha_beta,8,6,2,0,0.75,4,1.0,4,0.5,44.25,48.0,61.0,20,61,0.06417132018949932
5000,beam_negamax,8,3,5,0,0.375,4,0.25,4,0.5,49.875,52.5,72.0,24,72,0.06917601836218945
5000,greedy,8,0,8,0,0.0,4,0.0,4,0.0,23.0,21.0,31.0,20,31,0.0003172426927612366
5000,minimax,8,5,3,0,0.625,4,0.75,4,0.5,53.125,59.0,72.0,20,72,0.03719099717344949
5000,pvs,8,6,2,0,0.75,4,1.0,4,0.5,44.25,48.0,61.0,20,61,0.07379795650083276
