group,matches,first_wins,second_wins,draws,first_win_rate,mean_turns,median_turns,max_turns,dict_size,seed,first_agent,second_agent
all,108,49,59,0,0.4537037037037037,75.83333333333333,54.5,321,,,,
dict_size,20,8,12,0,0.4,20.8,25.0,35,1000,,,
dict_size,12,5,7,0,0.4166666666666667,62.083333333333336,57.0,112,10000,,,
dict_size,36,15,21,0,0.4166666666666667,148.75,127.0,321,20000,,,
dict_size,20,9,11,0,0.45,40.8,38.0,90,3000,,,
dict_size,20,12,8,0,0.6,42.9,48.0,72,5000,,,
"dict_size,seed",20,8,12,0,0.4,20.8,25.0,35,1000,0,,
"dict_size,seed",12,5,7,0,0.4166666666666667,62.083333333333336,57.0,112,10000,0,,
"dict_size,seed",12,5,7,0,0.4166666666666667,144.58333333333334,125.0,285,20000,0,,
"dict_size,seed",12,5,7,0,0.4166666666666667,151.41666666666666,153.5,229,20000,1,,
"dict_size,seed",12,5,7,0,0.4166666666666667,150.25,127.0,321,20000,2,,
"dict_size,seed",20,9,11,0,0.45,40.8,38.0,90,3000,0,,
"dict_size,seed",20,12,8,0,0.6,42.9,48.0,72,5000,0,,
"first_agent,second_agent",7,5,2,0,0.7142857142857143,107.28571428571429,112,208,,,alpha_beta,beam_negamax
"first_agent,second_agent",7,7,0,0,1.0,50.42857142857143,50,88,,,alpha_beta,greedy
"first_agent,second_agent",3,1,2,0,0.3333333333333333,45.666666666666664,44,61,,,alpha_beta,minimax
"first_agent,second_agent",7,3,4,0,0.42857142857142855,129.85714285714286,61,321,,,alpha_beta,pvs
"first_agent,second_agent",7,0,7,0,0.0,118.28571428571429,61,285,,,beam_negamax,alpha_beta
"first_agent,second_agent",7,7,0,0,1.0,55.285714285714285,50,100,,,beam_negamax,greedy
"first_agent,second_agent",3,2,1,0,0.6666666666666666,48.0,45,72,,,beam_negamax,minimax
"first_agent,second_agent",7,0,7,0,0.0,118.28571428571429,61,285,,,beam_negamax,pvs
"first_agent,second_agent",7,0,7,0,0.0,49.714285714285715,37,105,,,greedy,alpha_beta
"first_agent,second_agent",7,0,7,0,0.0,53.142857142857146,53,99,,,greedy,beam_negamax
"first_agent,second_agent",3,0,3,0,0.0,14.333333333333334,19,20,,,greedy,minimax
"first_agent,second_agent",7,0,7,0,0.0,49.714285714285715,37,105,,,greedy,pvs
"first_agent,second_agent",3,2,1,0,0.6666666666666666,50.0,57,61,,,minimax,alpha_beta
"first_agent,second_agent",3,1,2,0,0.3333333333333333,63.666666666666664,66,90,,,minimax,beam_negamax
"first_agent,second_agent",3,3,0,0,1.0,33.666666666666664,31,55,,,minimax,greedy
"first_agent,second_agent",3,2,1,0,0.6666666666666666,50.0,57,61,,,minimax,pvs
"first_agent,second_agent",7,3,4,0,0.42857142857142855,129.85714285714286,61,321,,,pvs,alpha_beta
"first_agent,second_agent",7,5,2,0,0.7142857142857143,107.28571428571429,112,208,,,pvs,beam_negamax
"first_agent,second_agent",7,7,0,0,1.0,50.42857142857143,50,88,,,pvs,greedy
"first_agent,second_agent",3,1,2,0,0.3333333333333333,45.666666666666664,44,61,,,pvs,minimax
