agent,outcome,games,mean_turns,median_turns,p95_turns,min_turns,max_turns,at_least_100_rate,at_least_200_rate,at_least_300_rate
alpha_beta,all,48,91.35416666666667,59.0,285.0,4,321,0.2916666666666667,0.14583333333333334,0.041666666666666664
alpha_beta,loss,13,91.0,56,321.0,24,321,0.23076923076923078,0.15384615384615385,0.07692307692307693
alpha_beta,win,35,91.48571428571428,61,285.0,4,321,0.3142857142857143,0.14285714285714285,0.02857142857142857
beam_negamax,all,48,88.58333333333333,61.0,215.0,4,285,0.3125,0.125,0.0
beam_negamax,loss,26,119.42307692307692,112.0,285.0,26,285,0.5384615384615384,0.23076923076923078,0.0
beam_negamax,win,22,52.13636363636363,51.5,99.0,4,100,0.045454545454545456,0.0,0.0
greedy,all,48,48.020833333333336,37.0,100.0,4,105,0.0625,0.0,0.0
greedy,loss,48,48.020833333333336,37.0,100.0,4,105,0.0625,0.0,0.0
minimax,all,24,43.875,44.0,72.0,4,90,0.0,0.0,0.0
minimax,loss,8,51.75,53.0,90.0,27,90,0.0,0.0,0.0
minimax,win,16,39.9375,39.5,72.0,4,72,0.0,0.0,0.0
pvs,all,48,91.35416666666667,59.0,285.0,4,321,0.2916666666666667,0.14583333333333334,0.041666666666666664
pvs,loss,13,91.0,56,321.0,24,321,0.23076923076923078,0.15384615384615385,0.07692307692307693
pvs,win,35,91.48571428571428,61,285.0,4,321,0.3142857142857143,0.14285714285714285,0.02857142857142857
