dict_size,seed,left_agent,right_agent,left_result,left_wins,right_wins
10000,0,alpha_beta,beam_negamax,two_wins,2,0
10000,0,alpha_beta,greedy,two_wins,2,0
10000,0,alpha_beta,pvs,split,1,1
10000,0,beam_negamax,greedy,two_wins,2,0
10000,0,beam_negamax,pvs,two_losses,0,2
10000,0,greedy,pvs,two_losses,0,2
1000,0,alpha_beta,beam_negamax,split,1,1
1000,0,alpha_beta,greedy,two_wins,2,0
1000,0,alpha_beta,minimax,split,1,1
1000,0,alpha_beta,pvs,split,1,1
1000,0,beam_negamax,greedy,two_wins,2,0
1000,0,beam_negamax,minimax,split,1,1
1000,0,beam_negamax,pvs,split,1,1
1000,0,greedy,minimax,two_losses,0,2
1000,0,greedy,pvs,two_losses,0,2
1000,0,minimax,pvs,split,1,1
20000,0,alpha_beta,beam_negamax,two_wins,2,0
20000,0,alpha_beta,greedy,two_wins,2,0
20000,0,alpha_beta,pvs,split,1,1
20000,0,beam_negamax,greedy,two_wins,2,0
20000,0,beam_negamax,pvs,two_losses,0,2
20000,0,greedy,pvs,two_losses,0,2
20000,1,alpha_beta,beam_negamax,two_wins,2,0
20000,1,alpha_beta,greedy,two_wins,2,0
20000,1,alpha_beta,pvs,split,1,1
20000,1,beam_negamax,greedy,two_wins,2,0
20000,1,beam_negamax,pvs,two_losses,0,2
20000,1,greedy,pvs,two_losses,0,2
20000,2,alpha_beta,beam_negamax,two_wins,2,0
20000,2,alpha_beta,greedy,two_wins,2,0
20000,2,alpha_beta,pvs,split,1,1
20000,2,beam_negamax,greedy,two_wins,2,0
20000,2,beam_negamax,pvs,two_losses,0,2
20000,2,greedy,pvs,two_losses,0,2
3000,0,alpha_beta,beam_negamax,split,1,1
3000,0,alpha_beta,greedy,two_wins,2,0
3000,0,alpha_beta,minimax,two_losses,0,2
3000,0,alpha_beta,pvs,split,1,1
3000,0,beam_negamax,greedy,two_wins,2,0
3000,0,beam_negamax,minimax,two_wins,2,0
3000,0,beam_negamax,pvs,split,1,1
3000,0,greedy,minimax,two_losses,0,2
3000,0,greedy,pvs,two_losses,0,2
3000,0,minimax,pvs,two_wins,2,0
5000,0,alpha_beta,beam_negamax,two_wins,2,0
5000,0,alpha_beta,greedy,two_wins,2,0
5000,0,alpha_beta,minimax,split,1,1
5000,0,alpha_beta,pvs,split,1,1
5000,0,beam_negamax,greedy,two_wins,2,0
5000,0,beam_negamax,minimax,split,1,1
5000,0,beam_negamax,pvs,two_losses,0,2
5000,0,greedy,minimax,two_losses,0,2
5000,0,greedy,pvs,two_losses,0,2
5000,0,minimax,pvs,split,1,1
