match_id,turn,agent,candidate_count,survival_min,survival_max,survival_varies,survival_changes_static_best,selected_equals_attack_best,selected_equals_total_best,agent_won
D1000_seed0_alpha_beta_vs_beam_negamax,7,alpha_beta,9,0.0,136.8375,True,False,False,False,False
D1000_seed0_alpha_beta_vs_beam_negamax,8,beam_negamax,7,0.0,249.45,True,False,False,False,True
D1000_seed0_alpha_beta_vs_beam_negamax,9,alpha_beta,7,23.925,249.45,True,False,True,True,False
D1000_seed0_alpha_beta_vs_beam_negamax,12,beam_negamax,6,24.96666666666667,266.8,True,False,True,True,True
D1000_seed0_alpha_beta_vs_beam_negamax,15,alpha_beta,6,23.925,137.6375,True,False,False,False,False
D1000_seed0_alpha_beta_vs_beam_negamax,17,alpha_beta,11,0.0,98.57142857142857,True,False,True,True,False
D1000_seed0_alpha_beta_vs_beam_negamax,21,alpha_beta,5,23.639999999999997,118.88749999999999,True,False,False,False,False
D1000_seed0_alpha_beta_vs_beam_negamax,23,alpha_beta,4,23.37,27.027272727272727,True,False,True,True,False
D1000_seed0_alpha_beta_vs_pvs,7,alpha_beta,9,0.0,136.8375,True,False,False,False,True
D1000_seed0_alpha_beta_vs_pvs,8,pvs,7,0.0,249.45,True,False,True,True,False
D1000_seed0_alpha_beta_vs_pvs,11,alpha_beta,8,0.0,136.8375,True,False,False,False,True
D1000_seed0_alpha_beta_vs_pvs,12,pvs,11,0.0,81.72,True,False,False,False,False
D1000_seed0_alpha_beta_vs_pvs,16,pvs,7,28.885714285714286,81.5142857142857,True,False,False,False,False
D1000_seed0_alpha_beta_vs_pvs,17,alpha_beta,7,23.925,380.7,True,False,True,True,True
D1000_seed0_alpha_beta_vs_pvs,20,pvs,7,28.45714285714286,102.3,True,False,False,False,False
D1000_seed0_alpha_beta_vs_pvs,21,alpha_beta,6,23.729999999999997,136.7,True,False,False,False,True
D1000_seed0_alpha_beta_vs_pvs,23,alpha_beta,10,0.0,96.96000000000001,True,False,False,False,True
D1000_seed0_alpha_beta_vs_pvs,24,pvs,5,23.189999999999998,117.94999999999999,True,False,False,False,False
D1000_seed0_alpha_beta_vs_pvs,26,pvs,4,22.92,26.536363636363635,True,False,True,True,False
D1000_seed0_beam_negamax_vs_alpha_beta,3,beam_negamax,9,0.0,136.8375,True,False,False,False,False
D1000_seed0_beam_negamax_vs_alpha_beta,4,alpha_beta,6,25.566666666666666,267.0,True,False,False,False,True
D1000_seed0_beam_negamax_vs_alpha_beta,8,alpha_beta,8,0.0,127.55454545454546,True,False,False,False,True
D1000_seed0_beam_negamax_vs_alpha_beta,9,beam_negamax,7,0.0,249.3,True,False,False,False,False
