agent,candidate_bucket,turns,mean_elapsed_time_sec,median_elapsed_time_sec,p95_elapsed_time_sec,max_elapsed_time_sec,mean_nodes_searched,median_nodes_searched,p95_nodes_searched,max_nodes_searched,mean_leaf_evaluations,mean_ordering_evaluations,mean_completed_root_moves,mean_cutoff_count,mean_root_candidate_count,mean_opponent_legal_word_count,mean_opponent_safe_word_count,mean_opponent_active_edge_type_count,mean_opponent_safe_edge_type_count,mean_opponent_destination_count,mean_opponent_safe_destination_count,mean_own_safe_word_count,mean_own_safe_edge_type_count,mean_own_safe_destination_count,mean_attack_score,mean_survival_score,mean_survival_weight,mean_total_score,time_per_node_sec,timeout_rate,win_rate_from_position
alpha_beta,1-8,220,0.06230571818181818,0.035103499999999996,0.179997,0.335067,652.2,403.5,1892.0,2614.0,441.6818181818182,4640.754545454545,4.968181818181818,136.79090909090908,4.968181818181818,180.3272727272727,155.9227272727273,30.10909090909091,29.322727272727274,30.10909090909091,29.322727272727274,6.55,4.409090909090909,4.409090909090909,-8188.979545454546,191.93342802310005,0.5972727272727273,-8048.4068748947975,9.553161328092331e-05,0.0,0.4681818181818182
alpha_beta,17-32,610,0.1455876213114754,0.115543,0.368202,0.713865,1290.0868852459016,1048.0,2793.0,6767.0,894.9967213114754,10768.026229508198,8.0,259.6,24.560655737704916,98.32131147540984,84.51639344262296,26.488524590163934,25.547540983606556,26.488524590163934,25.547540983606556,64.19508196721311,23.572131147540983,23.572131147540983,11037.804098360655,0.0,0.0,11037.804098360655,0.00011285102032777052,0.0,0.7098360655737705
alpha_beta,33+,1105,0.14286447873303168,0.125104,0.29372,0.7955,1164.1963800904978,1037.0,2431.0,4808.0,820.916742081448,11235.447963800905,8.0,225.2343891402715,86.3393665158371,74.13031674208145,60.413574660633486,19.823529411764707,18.847058823529412,19.823529411764707,18.847058823529412,407.9864253393665,84.00633484162896,44.04343891402715,17478.56561085973,0.0,0.0,17478.56561085973,0.00012271510303263976,0.0,0.8171945701357466
alpha_beta,9-16,255,0.12061879215686273,0.088274,0.35525,0.558242,1123.0941176470587,883.0,2468.0,5615.0,789.556862745098,8181.725490196079,8.0,213.1921568627451,12.172549019607843,141.7686274509804,121.55294117647058,28.415686274509802,27.501960784313727,28.415686274509802,27.501960784313727,19.580392156862747,11.172549019607843,11.172549019607843,8866.578431372549,26.901297752347457,0.041176470588235294,8875.99388558587,0.0001073986500878176,0.0,0.6274509803921569
beam_negamax,1-8,397,0.06421405793450882,0.067881,0.139034,0.269887,672.0302267002519,673.0,1225.0,1400.0,356.29722921914356,6163.977329974811,4.894206549118388,0.0,4.894206549118388,244.11335012594458,209.98992443324937,36.075566750629726,35.221662468513856,36.075566750629726,35.221662468513856,5.851385390428211,4.211586901763225,4.211586901763225,-32583.99622166247,229.8301846845979,0.6214105793450881,-32416.691692153046,9.555233586710446e-05,0.0,0.2040302267002519
beam_negamax,17-32,535,0.11228581682242991,0.10229,0.21867,0.498435,1316.181308411215,1400.0,1400.0,1400.0,699.5738317757009,12406.078504672898,8.0,0.0,24.317757009345794,87.9196261682243,75.52897196261682,25.753271028037382,24.786915887850466,25.753271028037382,24.786915887850466,63.714018691588784,23.33084112149533,23.33084112149533,9338.793457943926,0.0,0.0,9338.793457943926,8.531181540480319e-05,0.0,0.27850467289719627
beam_negamax,33+,818,0.13161839242053788,0.1063425,0.262414,1.0009,1365.1674816625916,1400.0,1400.0,1400.0,746.4156479217604,15403.281173594132,7.997555012224939,0.0,100.0122249388753,78.78728606356968,65.13814180929096,22.01833740831296,21.045232273838632,22.01833740831296,21.045232273838632,455.06601466992663,97.2114914425428,43.22738386308068,9360.155256723716,0.0,0.0,9360.155256723716,9.641190124177604e-05,0.0012224938875305623,0.29706601466992666
beam_negamax,9-16,379,0.1144561055408971,0.105709,0.232352,0.397958,1317.2189973614775,1400.0,1400.0,1400.0,703.8601583113457,12385.941952506597,8.0,0.0,11.74934036939314,187.62005277044855,160.77572559366754,34.894459102902374,33.93931398416886,34.894459102902374,33.93931398416886,19.496042216358838,10.75461741424802,10.75461741424802,1467.1160949868074,25.993615361129667,0.040633245382585746,1476.213860363203,8.689223718315953e-05,0.0,0.26649076517150394
greedy,1-8,1166,0.0002044073756432247,4e-05,0.000214,0.01415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
minimax,1-8,121,0.016152809917355373,0.015243,0.033484,0.049114,242.47107438016528,230.0,420.0,491.0,202.9090909090909,429.099173553719,4.6115702479338845,0.0,4.6115702479338845,20.14876033057851,17.84297520661157,11.314049586776859,10.727272727272727,11.314049586776859,10.727272727272727,5.338842975206612,4.338842975206612,4.338842975206612,49100.739669421484,163.2936133281439,0.6768595041322315,49213.85002140078,6.661747162479976e-05,0.0,0.5867768595041323
