agent,phase,turns,mean_elapsed_time_sec,median_elapsed_time_sec,p95_elapsed_time_sec,max_elapsed_time_sec,mean_nodes_searched,median_nodes_searched,p95_nodes_searched,max_nodes_searched,mean_leaf_evaluations,mean_ordering_evaluations,mean_completed_root_moves,mean_cutoff_count,mean_root_candidate_count,mean_opponent_legal_word_count,mean_opponent_safe_word_count,mean_opponent_active_edge_type_count,mean_opponent_safe_edge_type_count,mean_opponent_destination_count,mean_opponent_safe_destination_count,mean_own_safe_word_count,mean_own_safe_edge_type_count,mean_own_safe_destination_count,mean_attack_score,mean_survival_score,mean_survival_weight,mean_total_score,time_per_node_sec,timeout_rate,win_rate_from_position
alpha_beta,early,723,0.19653022268326417,0.178858,0.409009,0.7955,1680.1549100968189,1601.0,2982.0,6767.0,1226.8755186721992,13359.352697095435,7.67911479944675,303.7842323651452,92.7731673582296,89.90179806362379,74.72060857538035,24.529737206085755,23.61134163208852,24.529737206085755,23.61134163208852,377.54218533886586,89.80912863070539,28.73167358229599,-1874.746887966805,20.16077642045972,0.07413554633471646,-1859.8134574442458,0.00011697148965385528,0.0,0.7316735822959889
alpha_beta,late,736,0.07452334782608695,0.066463,0.175929,0.329696,655.1005434782609,582.0,1368.0,4026.0,421.32065217391306,6582.686141304348,7.584239130434782,143.22282608695653,33.650815217391305,105.31385869565217,88.5625,20.887228260869566,19.942934782608695,20.887228260869566,19.942934782608695,190.8383152173913,32.6875,32.6875,39991.38722826087,29.050842552734004,0.08029891304347826,40011.689302935025,0.00011375864142991659,0.0,0.7323369565217391
alpha_beta,middle,731,0.1288621244870041,0.114342,0.284815,0.524694,1103.0875512995897,974.0,2122.0,6703.0,758.4746922024624,10379.347469220245,7.823529411764706,227.97537619699042,31.110807113543093,102.87688098495212,88.10670314637483,25.752393980848154,24.79480164158687,25.752393980848154,24.79480164158687,113.54035567715458,30.143638850889193,30.143638850889193,-2150.3987688098496,17.9583086472312,0.0399452804377565,-2140.0188356777626,0.00011681948938249435,0.0,0.7264021887824897
beam_negamax,early,701,0.11566919258202567,0.102253,0.229533,0.408664,1299.920114122682,1400.0,1400.0,1400.0,711.0285306704708,13030.199714693295,7.639087018544936,0.0,91.0641940085592,105.11840228245364,89.679029957204,28.22681883024251,27.27246790299572,28.22681883024251,27.27246790299572,370.2082738944365,88.05420827389443,25.059914407988586,-2212.9793152639086,31.43287403742097,0.08523537803138374,-2195.2163856711813,8.898176997598886e-05,0.0,0.268188302425107
beam_negamax,late,716,0.10152149581005587,0.097691,0.206061,0.498435,1053.741620111732,1163.0,1400.0,1400.0,552.745810055866,10951.472067039105,6.972067039106145,0.0,23.98603351955307,191.66480446927375,162.2332402234637,28.906424581005588,27.987430167597765,28.906424581005588,27.987430167597765,116.65642458100558,23.019553072625698,23.019553072625698,4576.425977653631,83.98685836884042,0.20481843575418995,4637.3491703398495,9.634382269089e-05,0.0,0.2737430167597765
beam_negamax,middle,712,0.11634144241573033,0.10229250000000001,0.244292,1.0009,1293.7682584269662,1400.0,1400.0,1400.0,700.6404494382023,13206.577247191011,7.654494382022472,0.0,28.379213483146067,96.32865168539325,82.8188202247191,26.47752808988764,25.5126404494382,26.47752808988764,25.5126404494382,102.52949438202248,27.445224719101123,27.445224719101123,-2039.8462078651685,26.5802363052411,0.0782303370786517,-2020.4710229142427,8.992448350617642e-05,0.0014044943820224719,0.26685393258426965
greedy,early,384,0.0005216744791666667,5.7e-05,0.003631,0.01415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
greedy,late,397,3.375566750629723e-05,1.9e-05,8.8e-05,0.001034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
greedy,middle,385,6.393506493506494e-05,4.9e-05,0.000149,0.000388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
minimax,early,172,0.03733387209302326,0.033684000000000006,0.086944,0.114951,423.86046511627904,516.0,572.0,576.0,366.20348837209303,1057.343023255814,7.017441860465116,0.0,97.94767441860465,24.575581395348838,21.122093023255815,13.488372093023257,12.790697674418604,13.488372093023257,12.790697674418604,201.6046511627907,93.12209302325581,17.86627906976744,-583.1569767441861,65.19010282593497,0.21656976744186046,-542.1214841438572,8.80805717107429e-05,0.0,0.6104651162790697
