agent,dict_size,turns,mean_elapsed_time_sec,median_elapsed_time_sec,p95_elapsed_time_sec,max_elapsed_time_sec,mean_nodes_searched,median_nodes_searched,p95_nodes_searched,max_nodes_searched,mean_leaf_evaluations,mean_ordering_evaluations,mean_completed_root_moves,mean_cutoff_count,mean_root_candidate_count,mean_opponent_legal_word_count,mean_opponent_safe_word_count,mean_opponent_active_edge_type_count,mean_opponent_safe_edge_type_count,mean_opponent_destination_count,mean_opponent_safe_destination_count,mean_own_safe_word_count,mean_own_safe_edge_type_count,mean_own_safe_destination_count,mean_attack_score,mean_survival_score,mean_survival_weight,mean_total_score,time_per_node_sec,timeout_rate,win_rate_from_position
alpha_beta,1000,95,0.016216315789473686,0.01454,0.043449,0.062827,335.61052631578946,321.0,866.0,927.0,183.0421052631579,1120.6947368421052,6.126315789473685,74.65263157894736,34.747368421052634,9.042105263157895,8.010526315789473,6.726315789473684,6.242105263157895,6.726315789473684,6.242105263157895,45.242105263157896,32.17894736842105,9.863157894736842,52399.14736842105,82.22230020424745,0.4231578947368421,52452.52933437127,4.8318853307405205e-05,0.0,0.5684210526315789
alpha_beta,10000,190,0.22177202105263158,0.2065825,0.504335,0.713865,1243.1842105263158,1106.5,2779.0,4726.0,891.9421052631579,9380.157894736842,7.821052631578947,226.6315789473684,63.247368421052634,54.82631578947368,46.33684210526316,17.98421052631579,16.99473684210526,17.98421052631579,16.99473684210526,224.56842105263158,61.242105263157896,27.81578947368421,19875.84736842105,34.63358414592667,0.05842105263157894,19893.435849155496,0.00017839031349886752,0.0,0.8368421052631579
alpha_beta,20000,1572,0.13933095165394402,0.1219355,0.287374,0.7955,1186.1800254452926,1054.5,2440.0,4808.0,833.4382951653944,11696.594783715012,7.885496183206107,235.16412213740458,52.01590330788804,125.07633587786259,105.27671755725191,27.09796437659033,26.104325699745548,27.09796437659033,26.104325699745548,262.5165394402036,50.64821882951654,34.83142493638677,5079.614821882951,11.747829418319085,0.019020356234096692,5086.364842590026,0.0001174618933594326,0.0,0.7608142493638677
alpha_beta,3000,155,0.09658510967741936,0.062991,0.343612,0.430367,1482.9032258064517,960.0,5228.0,6767.0,1076.7354838709678,6005.167741935484,7.180645161290323,272.13548387096773,46.86451612903226,22.774193548387096,19.838709677419356,13.567741935483872,12.72258064516129,13.567741935483872,12.72258064516129,86.98709677419355,44.36774193548387,14.69032258064516,25254.564516129034,51.017120517871994,0.20225806451612904,25295.362804041924,6.513244289754187e-05,0.0,0.4
alpha_beta,5000,178,0.07563239325842697,0.0583495,0.193066,0.280753,790.1685393258427,691.5,1810.0,2258.0,492.42134831460675,4968.696629213483,7.168539325842697,166.7808988764045,57.48876404494382,35.32022471910113,30.764044943820224,17.84269662921348,17.10112359550562,17.84269662921348,17.10112359550562,130.85955056179776,55.258426966292134,20.292134831460675,32878.2893258427,46.732831791760006,0.1648876404494382,32923.11552283544,9.57167863490935e-05,0.0,0.7191011235955056
beam_negamax,1000,87,0.027828804597701148,0.027971,0.05189,0.077556,605.3333333333334,607.0,1009.0,1044.0,245.09195402298852,2044.9770114942528,5.574712643678161,0.0,35.770114942528735,12.862068965517242,11.344827586206897,8.344827586206897,7.885057471264368,8.344827586206897,7.885057471264368,46.11494252873563,33.04597701149425,8.67816091954023,57151.10344827586,76.56876513334416,0.5362068965517242,57205.364045295166,4.597269481999088e-05,0.0,0.5057471264367817
beam_negamax,10000,225,0.17242286222222222,0.166965,0.339317,0.498435,1224.6,1400.0,1400.0,1400.0,669.2933333333333,11180.808888888889,7.368888888888889,0.0,50.275555555555556,94.32,80.80444444444444,26.057777777777776,25.075555555555557,26.057777777777776,25.075555555555557,167.47555555555556,48.43555555555555,20.20888888888889,-10884.046666666667,88.76298304874068,0.17022222222222222,-10833.257671879004,0.0001407993322082494,0.0,0.22666666666666666
beam_negamax,20000,1435,0.11660822299651567,0.103587,0.212478,1.0009,1296.8787456445993,1400.0,1400.0,1400.0,708.5707317073171,14783.0787456446,7.6606271777003485,0.0,48.15818815331011,169.13240418118468,143.74006968641115,31.837630662020906,30.85156794425087,31.837630662020906,30.85156794425087,235.33728222996515,46.75679442508711,29.429965156794424,-7605.404529616725,33.439175947410476,0.0645993031358885,-7582.313803166923,8.991451466694894e-05,0.0006968641114982578,0.1916376306620209
beam_negamax,3000,183,0.0670908087431694,0.069949,0.104915,0.136191,1118.1803278688524,1232.0,1400.0,1400.0,591.0928961748634,6080.109289617486,7.262295081967213,0.0,42.89071038251366,25.114754098360656,21.59016393442623,13.98360655737705,13.109289617486338,13.98360655737705,13.109289617486338,79.52459016393442,40.63934426229508,15.502732240437158,32190.505464480873,57.68349775653898,0.21065573770491802,32238.384719152415,5.9999990226118746e-05,0.0,0.7923497267759563
beam_negamax,5000,199,0.07930620100502513,0.070068,0.164824,0.244837,970.0452261306533,1029.0,1400.0,1400.0,483.26633165829145,6826.804020100502,6.693467336683417,0.0,49.42713567839196,49.5678391959799,43.24120603015076,22.618090452261306,21.723618090452263,22.618090452261306,21.723618090452263,110.98994974874371,47.45226130653266,16.175879396984925,13933.213567839195,79.99855384474995,0.23065326633165828,13992.623916907703,8.175515828407731e-05,0.0,0.2964824120603015
greedy,1000,34,0.00023570588235294118,2.3e-05,0.001814,0.002023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
greedy,10000,153,0.00033994117647058827,5.4e-05,0.000257,0.01415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
greedy,20000,776,0.00016257860824742267,3.8e-05,0.000161,0.012643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
greedy,3000,113,0.00022390265486725664,4.9e-05,0.000175,0.0079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
greedy,5000,90,0.0002983555555555556,4.4999999999999996e-05,0.000237,0.005977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
