match_id,turn,risk_level,root_candidate_count,nodes_searched,elapsed_time_sec,null_window_searches,research_count,research_rate,had_research
D1000_seed0_alpha_beta_vs_pvs,2,near_death,2,540,0.02545,356,20,0.056179775280898875,True
D1000_seed0_alpha_beta_vs_pvs,4,danger,4,468,0.021103,314,5,0.01592356687898089,True
D1000_seed0_alpha_beta_vs_pvs,6,near_death,1,248,0.010013,160,5,0.03125,True
D1000_seed0_alpha_beta_vs_pvs,8,caution,7,329,0.01376,213,4,0.018779342723004695,True
D1000_seed0_alpha_beta_vs_pvs,10,normal,12,523,0.02043,320,13,0.040625,True
D1000_seed0_alpha_beta_vs_pvs,12,caution,11,556,0.020719,327,13,0.039755351681957186,True
D1000_seed0_alpha_beta_vs_pvs,14,danger,6,794,0.031135,478,25,0.05230125523012552,True
D1000_seed0_alpha_beta_vs_pvs,16,caution,7,361,0.013813,208,8,0.038461538461538464,True
D1000_seed0_alpha_beta_vs_pvs,18,danger,3,388,0.01372,214,7,0.03271028037383177,True
D1000_seed0_alpha_beta_vs_pvs,20,caution,7,470,0.016725,263,20,0.07604562737642585,True
D1000_seed0_alpha_beta_vs_pvs,22,normal,19,324,0.010696,148,6,0.04054054054054054,True
D1000_seed0_alpha_beta_vs_pvs,24,caution,5,122,0.00333,52,1,0.019230769230769232,True
D1000_seed0_alpha_beta_vs_pvs,26,caution,4,20,0.000462,8,0,0.0,False
D1000_seed0_beam_negamax_vs_pvs,2,near_death,1,248,0.010283,160,5,0.03125,True
D1000_seed0_beam_negamax_vs_pvs,4,caution,6,465,0.019258,289,8,0.02768166089965398,True
D1000_seed0_beam_negamax_vs_pvs,6,normal,20,350,0.014186,208,5,0.02403846153846154,True
D1000_seed0_beam_negamax_vs_pvs,8,caution,8,355,0.015107,208,6,0.028846153846153848,True
D1000_seed0_beam_negamax_vs_pvs,10,caution,6,155,0.006548,92,3,0.03260869565217391,True
D1000_seed0_beam_negamax_vs_pvs,12,normal,20,218,0.008397,132,2,0.015151515151515152,True
D1000_seed0_beam_negamax_vs_pvs,14,normal,20,171,0.006363,103,2,0.019417475728155338,True
D1000_seed0_beam_negamax_vs_pvs,16,danger,3,190,0.006789,103,5,0.04854368932038835,True
D1000_seed0_beam_negamax_vs_pvs,18,normal,12,234,0.007033,111,3,0.02702702702702703,True
D1000_seed0_beam_negamax_vs_pvs,20,caution,7,115,0.003233,53,1,0.018867924528301886,True
D1000_seed0_beam_negamax_vs_pvs,22,danger,5,89,0.002788,52,0,0.0,False
D1000_seed0_beam_negamax_vs_pvs,24,normal,8,80,0.002138,39,0,0.0,False
D1000_seed0_beam_negamax_vs_pvs,26,normal,10,80,0.002282,41,0,0.0,False
D1000_seed0_pvs_vs_alpha_beta,1,normal,640,585,0.026896,360,8,0.022222222222222223,True
D1000_seed0_pvs_vs_alpha_beta,3,normal,18,981,0.04569,654,14,0.021406727828746176,True
D1000_seed0_pvs_vs_alpha_beta,5,near_death,2,222,0.010022,139,4,0.02877697841726619,True
D1000_seed0_pvs_vs_alpha_beta,7,caution,9,737,0.031908,441,25,0.05668934240362812,True
D1000_seed0_pvs_vs_alpha_beta,9,danger,4,369,0.014065,222,5,0.02252252252252252,True
D1000_seed0_pvs_vs_alpha_beta,11,caution,8,517,0.020055,291,12,0.041237113402061855,True
D1000_seed0_pvs_vs_alpha_beta,13,normal,12,428,0.016593,259,9,0.03474903474903475,True
D1000_seed0_pvs_vs_alpha_beta,15,normal,8,649,0.026114,386,20,0.05181347150259067,True
D1000_seed0_pvs_vs_alpha_beta,17,caution,7,333,0.012846,195,5,0.02564102564102564,True
D1000_seed0_pvs_vs_alpha_beta,19,normal,20,443,0.017571,244,7,0.028688524590163935,True
D1000_seed0_pvs_vs_alpha_beta,21,caution,6,548,0.040466,309,12,0.038834951456310676,True
D1000_seed0_pvs_vs_alpha_beta,23,caution,10,199,0.013776,110,4,0.03636363636363636,True
D1000_seed0_pvs_vs_alpha_beta,25,normal,9,78,0.00319,42,0,0.0,False
D1000_seed0_pvs_vs_alpha_beta,27,danger,5,16,0.000991,7,0,0.0,False
D1000_seed0_pvs_vs_beam_negamax,1,normal,640,585,0.027543,360,8,0.022222222222222223,True
D1000_seed0_pvs_vs_beam_negamax,3,normal,18,981,0.045059,654,14,0.021406727828746176,True
D1000_seed0_pvs_vs_beam_negamax,5,near_death,2,222,0.009949,139,4,0.02877697841726619,True
D1000_seed0_pvs_vs_beam_negamax,7,caution,9,737,0.031866,441,25,0.05668934240362812,True
D1000_seed0_pvs_vs_beam_negamax,9,caution,7,337,0.012767,209,6,0.028708133971291867,True
D1000_seed0_pvs_vs_beam_negamax,11,normal,20,497,0.01971,289,14,0.04844290657439446,True
D1000_seed0_pvs_vs_beam_negamax,13,danger,3,259,0.011072,155,12,0.07741935483870968,True
D1000_seed0_pvs_vs_beam_negamax,15,caution,6,838,0.033501,519,22,0.04238921001926782,True
D1000_seed0_pvs_vs_beam_negamax,17,caution,11,446,0.017277,261,12,0.04597701149425287,True
D1000_seed0_pvs_vs_beam_negamax,19,near_death,2,173,0.006293,95,4,0.042105263157894736,True
D1000_seed0_pvs_vs_beam_negamax,21,caution,5,128,0.003756,56,1,0.017857142857142856,True
D1000_seed0_pvs_vs_beam_negamax,23,caution,4,20,0.00047,8,0,0.0,False
D1000_seed0_greedy_vs_pvs,2,near_death,1,248,0.011006,160,5,0.03125,True
D1000_seed0_greedy_vs_pvs,4,danger,5,19,0.001092,10,0,0.0,False
D1000_seed0_pvs_vs_greedy,1,normal,640,585,0.0434,360,8,0.022222222222222223,True
