dict_size,agent,games,wins,losses,win_rate,first_games,first_wins,second_games,second_wins,mean_time_sec,internal_timeout_count,first_win_rate,second_win_rate
1000,alpha_beta,8,5,3,0.625,4,2,4,3,0.013163905731262353,0,0.5,0.75
1000,beam_negamax,8,5,3,0.625,4,2,4,3,0.022820458839826585,0,0.5,0.75
1000,greedy,8,0,8,0.0,4,0,4,0,0.0004580721856438599,0,0.0,0.0
1000,minimax,8,5,3,0.625,4,2,4,3,0.011634506336526506,0,0.5,0.75
1000,pvs,8,5,3,0.625,4,2,4,3,0.015253013781939967,0,0.5,0.75
3000,alpha_beta,8,4,4,0.5,4,2,4,2,0.07786850682823947,0,0.5,0.5
3000,beam_negamax,8,6,2,0.75,4,2,4,4,0.053672045189870926,0,0.5,1.0
3000,greedy,8,0,8,0.0,4,0,4,0,0.00021040860905735374,0,0.0,0.0
3000,minimax,8,6,2,0.75,4,3,4,3,0.027583890131154837,0,0.75,0.75
3000,pvs,8,4,4,0.5,4,2,4,2,0.0893019476231344,0,0.5,0.5
5000,alpha_beta,8,6,2,0.75,4,4,4,2,0.06417132018949932,0,1.0,0.5
5000,beam_negamax,8,3,5,0.375,4,1,4,2,0.06917601836218945,0,0.25,0.5
5000,greedy,8,0,8,0.0,4,0,4,0,0.0003172426927612366,0,0.0,0.0
5000,minimax,8,5,3,0.625,4,3,4,2,0.03719099717344949,0,0.75,0.5
5000,pvs,8,6,2,0.75,4,4,4,2,0.07379795650083276,0,1.0,0.5
10000,alpha_beta,6,5,1,0.8333333333333334,3,2,3,3,0.11019839882140288,0,0.6666666666666666,1.0
10000,beam_negamax,6,2,4,0.3333333333333333,3,1,3,1,0.09479246277863473,0,0.3333333333333333,0.3333333333333333
10000,greedy,6,0,6,0.0,3,0,3,0,0.00019410368383095358,0,0.0,0.0
10000,pvs,6,5,1,0.8333333333333334,3,2,3,3,0.11582342128413002,0,0.6666666666666666,1.0
20000,alpha_beta,18,15,3,0.8333333333333334,9,6,9,9,0.11491498706815723,0,0.6666666666666666,1.0
20000,beam_negamax,18,6,12,0.3333333333333333,9,3,9,3,0.10227528565716175,0,0.3333333333333333,0.3333333333333333
20000,greedy,18,0,18,0.0,9,0,9,0,0.00012743131539415617,0,0.0,0.0
20000,pvs,18,15,3,0.8333333333333334,9,6,9,9,0.1273277881088134,0,0.6666666666666666,1.0
