first_agent,second_agent,matches,first_wins,second_wins,first_win_rate,mean_turn_count
alpha_beta,beam_negamax,7,5,2,0.7142857142857143,107.28571428571429
alpha_beta,greedy,7,7,0,1.0,50.42857142857143
alpha_beta,minimax,3,1,2,0.3333333333333333,45.666666666666664
alpha_beta,pvs,7,3,4,0.42857142857142855,129.85714285714286
beam_negamax,alpha_beta,7,0,7,0.0,118.28571428571429
beam_negamax,greedy,7,7,0,1.0,55.285714285714285
beam_negamax,minimax,3,2,1,0.6666666666666666,48.0
beam_negamax,pvs,7,0,7,0.0,118.28571428571429
greedy,alpha_beta,7,0,7,0.0,49.714285714285715
greedy,beam_negamax,7,0,7,0.0,53.142857142857146
greedy,minimax,3,0,3,0.0,14.333333333333334
greedy,pvs,7,0,7,0.0,49.714285714285715
minimax,alpha_beta,3,2,1,0.6666666666666666,50.0
minimax,beam_negamax,3,1,2,0.3333333333333333,63.666666666666664
minimax,greedy,3,3,0,1.0,33.666666666666664
minimax,pvs,3,2,1,0.6666666666666666,50.0
pvs,alpha_beta,7,3,4,0.42857142857142855,129.85714285714286
pvs,beam_negamax,7,5,2,0.7142857142857143,107.28571428571429
pvs,greedy,7,7,0,1.0,50.42857142857143
pvs,minimax,3,1,2,0.3333333333333333,45.666666666666664
