position_id,seed,phase,risk_level,reference_edge,reference_score,reference_timed_out,candidate_rank,beam_edge,beam_score,same_move,score_difference,win_impact,top_2,top_4,top_8,top_12,top_16
seed0_early_t0,0,early,normal,20→20,936.5,False,13,0→35,866.5,False,70.0,unknown,False,False,False,False,True
seed0_middle_t39,0,middle,normal,55→63,2284.0,False,1,55→63,3526.0,True,-1242.0,none,True,True,True,True,True
seed0_late_t69,0,late,normal,1→63,3526.0,False,1,1→63,3526.0,True,0.0,none,True,True,True,True,True
seed0_caution_t60,0,caution,caution,63→19,266.5,False,2,63→1,266.5,False,0.0,unknown,True,True,True,True,True
seed0_danger_t70,0,danger,danger,63→1,116.5,False,2,63→1,116.5,True,0.0,none,True,True,True,True,True
seed0_critical_t75,0,critical,critical,63→63,999997.0,False,1,63→63,999997.0,True,0.0,none,True,True,True,True,True
seed1_early_t0,1,early,normal,0→20,916.5,False,14,0→35,846.5,False,70.0,unknown,False,False,False,False,True
seed1_middle_t33,1,middle,normal,1→63,734.0,False,1,1→63,734.0,True,0.0,none,True,True,True,True,True
seed1_late_t57,1,late,normal,1→63,754.0,False,1,1→63,704.0,True,50.0,none,True,True,True,True,True
seed1_caution_t48,1,caution,caution,63→19,266.5,False,2,63→19,266.5,True,0.0,none,True,True,True,True,True
seed1_danger_t58,1,danger,danger,63→0,116.5,False,2,63→0,116.5,True,0.0,none,True,True,True,True,True
seed1_critical_t63,1,critical,critical,63→63,999997.0,False,1,63→63,999997.0,True,0.0,none,True,True,True,True,True
seed2_early_t0,2,early,normal,20→20,907.5,False,1,20→20,887.5,True,20.0,none,True,True,True,True,True
seed2_middle_t113,2,middle,normal,32→10,897.5,False,2,32→10,1178.0,True,-280.5,none,True,True,True,True,True
seed2_late_t217,2,late,normal,1→63,13150.633910034601,False,1,1→63,13171.009533678756,True,-20.375623644154985,none,True,True,True,True,True
seed2_caution_t56,2,caution,caution,20→28,1047.5,False,1,20→27,877.5,False,170.0,unknown,True,True,True,True,True
seed2_danger_t204,2,danger,danger,20→27,507.5,False,1,20→27,194.5,True,313.0,none,True,True,True,True,True
seed2_critical_t222,2,critical,critical,20→7,-999996.0,False,1,20→7,-999996.0,True,0.0,none,True,True,True,True,True
