matchup,first_agent,second_agent,match_id,dict_size,random_seed,winner,loss_reason,turn,player,agent,required_start_char,edge_index,start_id,end_id,edge_count_before,edge_count_after,previous_word,word,start_char,end_char,next_required_start_char,elapsed_time_sec,timed_out,score,effective_depth,next_depth,adaptive_depth,pruned_count,nodes_searched,leaf_evaluations,ordering_evaluations,full_survival_evaluations,simple_survival_evaluations,completed_root_moves,ordering_time_sec,evaluation_time_sec,search_time_sec,total_search_time_sec,elapsed_ratio,risk_level,attack_score,survival_score,survival_weight,total_score,opponent_legal_word_count,opponent_safe_word_count,opponent_active_edge_type_count,opponent_safe_edge_type_count,opponent_destination_count,opponent_safe_destination_count,own_safe_word_count,own_safe_edge_type_count,own_safe_destination_count,root_candidate_count,searched_root_candidate_count,cutoff_count,pruned_move_count,beam_pruned_move_count,null_window_search_count,null_window_searches,research_count,research_rate,beam_widths_used,evaluated_moves,chain_so_far
alpha_beta vs beam_negamax,alpha_beta,beam_negamax,D20000_seed0_alpha_beta_vs_beam_negamax_0,20000,0,first,ended_with_n,1,first,alpha_beta,ANY,35,0,35,1,0,,,あ,ぬ,ぬ,0.106728,False,-906.5,4,4,False,13691,1198,843,14889,0,0,12,0.037632415420375764,0.06205321301240474,0.09844004106707871,0.10672808298841119,0.10672808298841119,normal,-610.0,0.0,0.0,-610.0,22,22,17,17,17,17,16954,2829,66,2895,12,299,13691,0,0,0,0,0.0,{},12,あ→ぬ
alpha_beta vs beam_negamax,alpha_beta,beam_negamax,D20000_seed0_alpha_beta_vs_beam_negamax_0,20000,0,first,ended_with_n,2,second,beam_negamax,ぬ,2443,35,63,4,3,,,ぬ,る,る,0.07919,False,-876.5,4,4,False,0,1260,768,13381,0,0,12,0.03311895567458123,0.04089602071326226,0.0791211249306798,0.07918999996036291,0.07918999996036291,normal,-936.5,0.0,0.0,-936.5,41,34,20,19,20,19,22,17,17,17,12,0,0,12121,0,0,0,0.0,"{""0"": 12, ""1"": 8, ""2"": 4, ""3"": 2}",12,あ→ぬ -> ぬ→る
alpha_beta vs beam_negamax,alpha_beta,beam_negamax,D20000_seed0_alpha_beta_vs_beam_negamax_0,20000,0,first,ended_with_n,3,first,alpha_beta,る,4347,63,63,3,2,,,る,る,る,0.072093,False,-866.5,4,4,False,9120,847,587,9967,0,0,12,0.024769494659267366,0.04305550816934556,0.07202458300162107,0.07209270796738565,0.07209270796738565,normal,-916.5,0.0,0.0,-916.5,40,33,20,19,20,19,34,19,19,20,12,219,9120,0,0,0,0,0.0,{},12,あ→ぬ -> ぬ→る -> る→る
alpha_beta vs beam_negamax,alpha_beta,beam_negamax,D20000_seed0_alpha_beta_vs_beam_negamax_0,20000,0,first,ended_with_n,4,second,beam_negamax,る,4296,63,12,1,0,,,る,げ,げ,0.079464,False,-836.5,4,4,False,0,1260,768,13452,0,0,12,0.033703795284964144,0.04056214971933514,0.07939145795535296,0.07946412498131394,0.07946412498131394,normal,-3878.5,0.0,0.0,-3878.5,200,157,34,33,34,33,33,19,19,20,12,0,0,12192,0,0,0,0.0,"{""0"": 12, ""1"": 8, ""2"": 4, ""3"": 2}",12,あ→ぬ -> ぬ→る -> る→る -> る→げ
alpha_beta vs beam_negamax,alpha_beta,beam_negamax,D20000_seed0_alpha_beta_vs_beam_negamax_0,20000,0,first,ended_with_n,5,first,alpha_beta,げ,879,12,63,2,1,,,げ,る,る,0.064845,False,-836.5,4,4,False,7502,723,511,8225,0,0,12,0.02055241260677576,0.0405558692291379,0.0647442500339821,0.06484495894983411,0.06484495894983411,normal,-886.5,0.0,0.0,-886.5,39,32,19,18,19,18,157,33,33,34,12,177,7502,0,0,0,0,0.0,{},12,あ→ぬ -> ぬ→る -> る→る -> る→げ -> げ→る
alpha_beta vs beam_negamax,alpha_beta,beam_negamax,D20000_seed0_alpha_beta_vs_beam_negamax_0,20000,0,first,ended_with_n,6,second,beam_negamax,る,4312,63,28,1,0,,,る,つ,つ,0.077995,False,-806.5,4,4,False,0,1260,768,13370,0,0,12,0.033113037003204226,0.03973849827889353,0.07793024997226894,0.07799495896324515,0.07799495896324515,normal,-4360.5,0.0,0.0,-4360.5,204,185,49,48,49,48,32,18,18,19,12,0,0,12110,0,0,0,0.0,"{""0"": 12, ""1"": 8, ""2"": 4, ""3"": 2}",12,あ→ぬ -> ぬ→る -> る→る -> る→げ -> げ→る -> る→つ
alpha_beta vs beam_negamax,alpha_beta,beam_negamax,D20000_seed0_alpha_beta_vs_beam_negamax_0,20000,0,first,ended_with_n,7,first,alpha_beta,つ,1967,28,63,2,1,,,つ,る,る,0.070575,False,-816.5,4,4,False,7783,802,580,8585,0,0,12,0.021594295045360923,0.04489432601258159,0.07043954194523394,0.07057466695550829,0.07057466695550829,normal,-856.5,0.0,0.0,-856.5,38,31,18,17,18,17,185,48,48,49,12,186,7783,0,0,0,0,0.0,{},12,あ→ぬ -> ぬ→る -> る→る -> る→げ -> げ→る -> る→つ -> つ→る
alpha_beta vs beam_negamax,alpha_beta,beam_negamax,D20000_seed0_alpha_beta_vs_beam_negamax_0,20000,0,first,ended_with_n,8,second,beam_negamax,る,4346,63,62,1,0,,,る,り,り,0.07758,False,-776.5,4,4,False,0,1260,768,13257,0,0,12,0.03317575773689896,0.0392999853938818,0.07751654193270952,0.07757974998094141,0.07757974998094141,normal,-6949.5,0.0,0.0,-6949.5,359,298,42,41,42,41,31,17,17,18,12,0,0,11997,0,0,0,0.0,"{""0"": 12, ""1"": 8, ""2"": 4, ""3"": 2}",12,あ→ぬ -> ぬ→る -> る→る -> る→げ -> げ→る -> る→つ -> つ→る -> る→り
alpha_beta vs beam_negamax,alpha_beta,beam_negamax,D20000_seed0_alpha_beta_vs_beam_negamax_0,20000,0,first,ended_with_n,9,first,alpha_beta,り,4279,62,63,14,13,,,り,る,る,0.07587,False,-786.5,4,4,False,7726,860,637,8586,0,0,12,0.021568996249698102,0.05000185570679605,0.07575041602831334,0.07587004196830094,0.07587004196830094,normal,-826.5,0.0,0.0,-826.5,37,30,17,16,17,16,298,41,41,42,12,186,7726,0,0,0,0,0.0,{},12,あ→ぬ -> ぬ→る -> る→る -> る→げ -> げ→る -> る→つ -> つ→る -> る→り -> り→る
alpha_beta vs beam_negamax,alpha_beta,beam_negamax,D20000_seed0_alpha_beta_vs_beam_negamax_0,20000,0,first,ended_with_n,10,second,beam_negamax,る,4336,63,52,1,0,,,る,ぽ,ぽ,0.076042,False,-776.5,4,4,False,0,1260,768,13151,0,0,12,0.032608830952085555,0.03839051374234259,0.07598454097751528,0.0760421670274809,0.0760421670274809,normal,-1187.5,0.0,0.0,-1187.5,52,47,21,20,21,20,30,16,16,17,12,0,0,11891,0,0,0,0.0,"{""0"": 12, ""1"": 8, ""2"": 4, ""3"": 2}",12,あ→ぬ -> ぬ→る -> る→る -> る→げ -> げ→る -> る→つ -> つ→る -> る→り -> り→る -> る→ぽ
