config_id,agent,position_id,seed,risk_level,repetition,selected_edge,score,elapsed_time_sec,timed_out,nodes_searched,completed_root_moves,effective_depth
alpha_beta_d3_b8,alpha_beta,seed0_early_t0,0,normal,0,0→35,906.5,0.015816417057067156,False,97,8,3
alpha_beta_d3_b8,alpha_beta,seed0_early_t0,0,normal,1,0→35,906.5,0.015545625006780028,False,97,8,3
alpha_beta_d3_b8,alpha_beta,seed0_early_t0,0,normal,2,0→35,906.5,0.015464458032511175,False,97,8,3
alpha_beta_d3_b8,alpha_beta,seed0_early_t0,0,normal,3,0→35,906.5,0.01559845800511539,False,97,8,3
alpha_beta_d3_b8,alpha_beta,seed0_early_t0,0,normal,4,0→35,906.5,0.01601720799226314,False,97,8,3
alpha_beta_d3_b8,alpha_beta,seed0_middle_t39,0,normal,0,55→63,2284.0,0.012000874965451658,False,120,8,3
alpha_beta_d3_b8,alpha_beta,seed0_middle_t39,0,normal,1,55→63,2284.0,0.012245584046468139,False,120,8,3
alpha_beta_d3_b8,alpha_beta,seed0_middle_t39,0,normal,2,55→63,2284.0,0.012194959097541869,False,120,8,3
alpha_beta_d3_b8,alpha_beta,seed0_middle_t39,0,normal,3,55→63,2284.0,0.012173374998383224,False,120,8,3
alpha_beta_d3_b8,alpha_beta,seed0_middle_t39,0,normal,4,55→63,2284.0,0.012187917018309236,False,120,8,3
alpha_beta_d3_b8,alpha_beta,seed0_late_t69,0,normal,0,1→63,3526.0,0.010953124961815774,False,81,8,3
alpha_beta_d3_b8,alpha_beta,seed0_late_t69,0,normal,1,1→63,3526.0,0.010933915968053043,False,81,8,3
alpha_beta_d3_b8,alpha_beta,seed0_late_t69,0,normal,2,1→63,3526.0,0.01092550007160753,False,81,8,3
alpha_beta_d3_b8,alpha_beta,seed0_late_t69,0,normal,3,1→63,3526.0,0.010914832935668528,False,81,8,3
alpha_beta_d3_b8,alpha_beta,seed0_late_t69,0,normal,4,1→63,3526.0,0.010938624967820942,False,81,8,3
