config_id,agent,depth,branch_limit,run_count,mean_time_sec,median_time_sec,p95_time_sec,timeout_rate,mean_nodes,mean_completed_root_moves,mean_effective_depth,stable_position_rate,beam_widths
alpha_beta_d3_b8,alpha_beta,3,8,60,0.010029662547943493,0.012053166516125202,0.016080165980383754,0.0,81.33333333333333,6.666666666666667,3.0,1.0,
alpha_beta_d3_b12,alpha_beta,3,12,60,0.017347674403572454,0.015983041550498456,0.03952016693074256,0.0,140.16666666666666,8.833333333333334,3.0,1.0,
alpha_beta_d3_b16,alpha_beta,3,16,60,0.025429763866122813,0.019238541484810412,0.05915837502107024,0.0,208.83333333333334,10.833333333333334,3.0,1.0,
alpha_beta_d4_b8,alpha_beta,4,8,60,0.029928700039939336,0.022715646075084805,0.062331417109817266,0.0,294.9166666666667,6.666666666666667,4.0,1.0,
alpha_beta_d4_b12,alpha_beta,4,12,60,0.05013000006826284,0.04333466698881239,0.1193667909828946,0.0,488.75,8.833333333333334,4.0,1.0,
alpha_beta_d4_b16,alpha_beta,4,16,60,0.07881682982163814,0.06217845855280757,0.22522379201836884,0.0,760.5833333333334,10.833333333333334,4.0,1.0,
alpha_beta_d5_b8,alpha_beta,5,8,60,0.07193244588755382,0.07822243752889335,0.14396975003182888,0.0,687.0833333333334,6.666666666666667,5.0,1.0,
alpha_beta_d5_b12,alpha_beta,5,12,60,0.1958369451710799,0.09984712448203936,0.6589448340237141,0.0,1831.0833333333333,8.833333333333334,5.0,1.0,
alpha_beta_d5_b16,alpha_beta,5,16,60,0.32817385969489504,0.13530204148264602,1.0000387909822166,0.13333333333333333,2846.65,10.533333333333333,5.0,1.0,
pvs_d3_b8,pvs,3,8,60,0.011027004203060641,0.012473020993638784,0.01596795895602554,0.0,93.5,6.666666666666667,3.0,1.0,
pvs_d3_b12,pvs,3,12,60,0.0192041909651986,0.017163916490972042,0.05101345805451274,0.0,167.83333333333334,8.833333333333334,3.0,1.0,
pvs_d3_b16,pvs,3,16,60,0.027169517398579045,0.02347502048360184,0.05722770793363452,0.0,234.91666666666666,10.833333333333334,3.0,1.0,
pvs_d4_b8,pvs,4,8,60,0.03016391663889711,0.025914791971445084,0.06554191594477743,0.0,299.5,6.666666666666667,4.0,1.0,
pvs_d4_b12,pvs,4,12,60,0.049137474939925596,0.04552045854507014,0.08263445808552206,0.0,481.8333333333333,8.833333333333334,4.0,1.0,
pvs_d4_b16,pvs,4,16,60,0.07269112288486212,0.07133991701994091,0.1475204579764977,0.0,701.9166666666666,10.833333333333334,4.0,1.0,
pvs_d5_b8,pvs,5,8,60,0.07356745203142054,0.0808441040571779,0.1542465410893783,0.0,737.0833333333334,6.666666666666667,5.0,1.0,
pvs_d5_b12,pvs,5,12,60,0.19011155354091896,0.1133221875061281,0.771476041059941,0.0,1864.0,8.833333333333334,5.0,1.0,
pvs_d5_b16,pvs,5,16,60,0.3214580410043709,0.1596991250407882,1.0000331670744345,0.06666666666666667,2975.0666666666666,10.766666666666667,5.0,1.0,
beam_d4_w12-8-4-2,beam_negamax,4,,60,0.07669108058713997,0.07507464598165825,0.18112187506631017,0.0,837.3333333333334,8.833333333333334,4.0,1.0,"(12, 8, 4, 2)"
beam_d5_w12-8-4-2,beam_negamax,5,,60,0.15871492565687126,0.16454379208153114,0.37391537497751415,0.0,1851.0833333333333,8.833333333333334,5.0,1.0,"(12, 8, 4, 2)"
beam_d5_w16-10-6-3,beam_negamax,5,,60,0.6107132757490035,0.720183270983398,1.000026624999009,0.18333333333333332,7070.566666666667,9.866666666666667,5.0,1.0,"(16, 10, 6, 3)"
beam_d5_w8-6-4-2,beam_negamax,5,,60,0.09159964999028793,0.09612475044559687,0.1870784170459956,0.0,1048.9166666666667,6.666666666666667,5.0,1.0,"(8, 6, 4, 2)"
