agent_name,dict_size,with_random_win_rate,without_random_win_rate
alpha_beta,1000,1.000000,1.000000
greedy,1000,0.375000,0.166667
minimax,1000,0.750000,0.666667
monte_carlo,1000,0.375000,0.166667
alpha_beta,3000,1.000000,1.000000
greedy,3000,0.375000,0.333333
minimax,3000,0.750000,0.666667
monte_carlo,3000,0.250000,0.000000
alpha_beta,5000,1.000000,1.000000
greedy,5000,0.500000,0.333333
minimax,5000,0.750000,0.666667
monte_carlo,5000,0.250000,0.000000
alpha_beta,10000,0.750000,0.666667
greedy,10000,0.375000,0.166667
minimax,10000,1.000000,1.000000
monte_carlo,10000,0.375000,0.166667
